Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94)
1.1905922698758645e-17,0.13078664456002764,0.46346346346346345,0.0,0.0,0.0,0.07307307307286151,0.0,5.328037705831169e-21,2.647658191735985e-25,4.3729198373455803e-26,1.3336689972573978e-22,2.0210178614049717e-32,3.705316811230427e-21,1.783567779196916e-27,0.0,0.46346346346346345,6.824064884422169e-16,1.4390653212659413e-13,1.439065342975096e-13,1.3391116715814887e-13,3.8517128565962135e-16,2.972299489752058e-16,1.3814706425911175e-23,1.3074353323039802e-31,1.1277530594263923e-36,4.609292103705656e-45,1.0753390888634011e-32,3.711992197590098e-34,1.9682216309017615e-43
2.382218937901056e-17,0.13078664456005534,0.46346346346346345,0.0,0.0,0.0,0.07307307307264978,0.0,2.132603569884716e-20,1.059753282060685e-24,1.7503075083366017e-25,5.338151502626092e-22,1.618043117534104e-31,1.4830923216007064e-20,7.13891912557632e-27,0.0,0.46346346346346345,1.3654068502968075e-15,2.879380891073675e-13,2.8793809779668695e-13,2.679386700053844e-13,7.706772015267606e-16,5.947181067166808e-16,5.529482515129971e-23,1.046094444088231e-30,1.8047910127480235e-35,1.4741985439481808e-43,8.609172488464526e-32,2.97185067071608e-33,3.1517096961383766e-42
4.76547227395144e-17,0.13078664456011074,0.46346346346346345,0.0,0.0,0.0,0.07307307307222632,0.0,8.533191811049633e-20,4.2403935666561934e-24,7.003509575138447e-25,2.1359558249557424e-21,1.2949261911864756e-30,5.934300812950964e-20,2.856497455090511e-26,0.0,0.46346346346346345,2.7314105513432134e-15,5.760011954418864e-13,5.760012302104817e-13,5.359936527819527e-13,1.5416890021872401e-15,1.1896943396468706e-15,2.2125130372038355e-22,8.361568793466324e-30,2.8853793500909363e-34,4.706550922848564e-42,6.889828458373759e-31,2.3783835226108252e-32,5.04475822570619e-41
9.531978946052206e-17,0.13078664456022152,0.46346346346346345,0.0,0.0,0.0,0.0730730730713794,0.0,3.4138321218383433e-19,1.6964335811866956e-23,2.8018595997143865e-24,8.545213330374462e-21,1.0361376028131071e-29,2.374106511076505e-19,1.1427849200348504e-25,0.0,0.46346346346346345,5.46342986278472e-15,1.152127377602814e-12,1.1521275166998299e-12,1.0721035266634938e-12,3.0837124792130195e-15,2.3796464752963058e-15,8.851491113325708e-22,6.67399610539934e-29,4.6065059773984624e-33,1.4982256640998915e-40,5.512707887847078e-30,1.9030678257913139e-31,8.073160122809717e-40
1.906499229025374e-16,0.13078664456044303,0.46346346346346345,0.0,0.0,0.0,0.07307307306968558,0.0,1.3656437857112791e-18,6.786286893224232e-23,1.1208348373885238e-23,3.418362865778415e-20,8.289886369425822e-29,9.497197075512247e-19,4.571511186894839e-25,0.0,0.46346346346346345,1.0927516123060889e-14,2.3043796198922422e-12,2.3043801763255444e-12,2.1443229077403195e-12,6.167758936083977e-15,4.759549425752194e-15,3.540883218046466e-21,5.313443219299183e-28,7.33607481901344e-32,4.743057465995892e-39,4.410262370076823e-29,1.522598257532798e-30,1.2918064768818295e-38
3.813101897865681e-16,0.1307866445608861,0.46346346346346345,0.0,0.0,0.0,0.07307307306629793,0.0,5.462795821334801e-18,2.71462545099802e-22,4.483520047658677e-23,1.3674002611848713e-19,6.632221512547256e-28,3.79903192545021e-18,1.8286784621701927e-24,0.0,0.46346346346346345,2.1855879193172855e-14,4.608883616341491e-12,4.6088858421649224e-12,4.288760203149948e-12,1.2335849861104462e-14,9.519350043298373e-15,1.416409813910954e-20,4.209531847549662e-27,1.162760374829601e-30,1.4855178754558702e-37,3.5278611712137843e-28,1.2181355353375351e-29,2.066897733106053e-37
7.626307235546295e-16,0.13078664456177222,0.46346346346346345,0.0,0.0,0.0,0.07307307305952263,0.0,2.1851615023231697e-17,1.0858724603980185e-21,1.79344311661806e-22,5.46970812581066e-19,5.305899270483783e-27,1.5196424965807624e-17,7.314859293451869e-24,0.0,0.46346346346346345,4.371336753153144e-14,9.217889656722393e-12,9.217898560194481e-12,8.577628927001144e-12,2.4672023756267422e-14,1.9038930144979006e-14,5.665745712975545e-20,3.3032662654016263e-26,1.826003723842242e-29,4.556461360793937e-36,2.8215303026188386e-27,9.74530130922021e-29,3.306807698730746e-36
1.5252717910907522e-15,0.1307866445635445,0.46346346346346345,0.0,0.0,0.0,0.07307307304597202,0.0,8.740724656080128e-17,4.343535528892356e-21,7.1738343205261495e-22,2.1879021462261277e-18,4.2447635856980647e-26,6.078622294102892e-17,2.925970780442058e-23,0.0,0.46346346346346345,8.743139299995617e-14,1.8435893927420425e-11,1.8435929541648827e-11,1.7155342906895544e-11,4.934433972714306e-14,3.807800581509873e-14,2.2663143597564405e-19,2.5450709036621384e-25,2.8171909818353153e-28,1.343023430394311e-34,2.2559311334175166e-26,7.796310934543273e-28,5.289959110207452e-35
3.050553926162998e-15,0.13078664456708894,0.46346346346346345,0.0,0.0,0.0,0.0730730730188708,0.0,3.496299430632342e-16,1.737424250581471e-20,2.8695394257580194e-21,8.751626213062889e-18,3.395821087590506e-25,2.4314536628239804e-16,1.1703921038963031e-22,0.0,0.46346346346346345,1.748796390969873e-13,3.687187122861431e-11,3.6872013686074634e-11,3.431067699596635e-11,9.868884439158752e-14,7.615581902561467e-14,9.065248710439372e-19,1.895608870430765e-24,4.2062865521589216e-27,3.680663670724467e-33,1.8026473399607797e-25,6.237050157293408e-27,8.460789379817989e-34
4.575836061235243e-15,0.1307866445706335,0.46346346346346345,0.0,0.0,0.0,0.07307307299176957,0.0,7.429635338879519e-16,3.692033822747501e-20,6.097767349629091e-21,1.8597194036348752e-17,9.709924407866924e-25,5.166835568303456e-16,2.487083767084196e-22,0.0,0.46346346346346345,2.6234008034755167e-13,5.530781728965894e-11,5.5308120011953743e-11,5.146591721483315e-11,1.4803322177921943e-13,1.1423329410964976e-13,1.926360286826826e-18,5.207334674268937e-24,1.4987271950596504e-26,1.5792254836030264e-32,5.150994093856654e-25,1.7834034702152738e-26,3.1135708693903716e-33
