Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1970832472685718e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307284,0.0,8.075928697333695e-27,4.013165717821016e-31,6.628216796164988e-32,2.021497666313135e-28,5.386563047670663e-41,5.6163030751367065e-27,2.703427969249591e-33,0.0,0.46346346346346345,6.861263956250395e-19,1.4469109590023625e-16,1.4469109590352678e-16,1.346412398625097e-16,3.8727120210712905e-19,2.988504275825675e-19,2.0939526643239146e-29,3.4868293486386473e-40,5.665631582411854e-48
3.351833092352001e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307247,0.0,4.877860933037563e-26,2.423952093586142e-30,4.003442944719082e-31,1.2209845904035581e-27,6.3949276499512575e-40,3.392247057241553e-26,1.6328704933867667e-32,0.0,0.46346346346346345,1.9211539101838915e-18,4.0513506851442707e-16,4.0513506853430197e-16,3.7699547159629336e-16,1.0843593658745608e-18,8.367811971637076e-19,1.2647474091462013e-28,4.1395595242446725e-39,1.267377871112674e-46
7.661332782518859e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.0730730730730717,0.0,2.3484800649566526e-25,1.1670285907757158e-29,1.9274854440778788e-30,5.878515212894962e-27,6.278577887610504e-39,1.6332209340382264e-25,7.861568533978017e-32,0.0,0.46346346346346345,4.3912089490367155e-18,9.260230137178701e-16,9.260230138135592e-16,8.617039349889252e-16,2.4785356933078214e-18,1.912642736056062e-18,6.089214346272296e-28,4.0642350255787076e-38,2.504119690864975e-45
1.6280332162852577e-19,0.1307866445600004,0.46346346346346345,0.0,0.0,0.0,0.07307307307307018,0.0,1.0256429443257925e-24,5.096720461977428e-29,8.417835328578038e-30,2.567302035449258e-26,5.553331038042251e-38,7.132704903237827e-25,3.4333535203271913e-31,0.0,0.46346346346346345,9.331319065682844e-18,1.967798904025003e-15,1.9677989044429024e-15,1.831120861474446e-15,5.266888347767928e-18,4.0643658127610655e-18,2.6593198820570028e-27,3.5947537326850246e-37,4.455927850301593e-44
3.351833092352001e-19,0.13078664456000078,0.46346346346346345,0.0,0.0,0.0,0.07307307307306711,0.0,4.281857393206042e-24,2.1277804638989567e-28,3.514280543030244e-29,1.0717980619876424e-25,4.66790934922826e-37,2.9777638884702703e-24,1.4333575087383225e-30,0.0,0.46346346346346345,1.921153945473703e-17,4.051350684240253e-15,4.051350685984903e-15,3.769954713246519e-15,1.084359365506249e-17,8.367811961852252e-18,1.1102137011536089e-26,3.021579992148069e-36,7.515508327663234e-43
6.799432844485489e-19,0.13078664456000158,0.46346346346346345,0.0,0.0,0.0,0.07307307307306099,0.0,1.749278457762094e-23,8.692677474055804e-28,1.4356982689721721e-28,4.378644799285508e-25,3.827034105171467e-36,1.2165137096213376e-23,5.855733113790583e-30,0.0,0.46346346346346345,3.897198085589309e-17,8.218454243074698e-15,8.218454250202156e-15,7.647622411994783e-15,2.199700426314901e-17,1.6974704242759353e-17,4.5355852165783334e-26,2.477229359916741e-35,1.2344030528692785e-41
1.3694632348752463e-18,0.13078664456000316,0.46346346346346345,0.0,0.0,0.0,0.07307307307304874,0.0,7.070863204326365e-23,3.5137192200674665e-27,5.803321943454684e-28,1.769918233928597e-24,3.099231436829916e-35,4.917342911129105e-23,2.3669809477356557e-29,0.0,0.46346346346346345,7.849286615039601e-17,1.6552661354359354e-14,1.655266138316967e-14,1.5402957790307796e-14,4.430382545331159e-17,3.418848873547245e-17,1.8333560570992572e-25,2.0060525320856783e-34,2.0009510132842214e-40
2.748503135728641e-18,0.13078664456000638,0.46346346346346345,0.0,0.0,0.0,0.07307307307302423,0.0,2.843162989633634e-22,1.4128510453743305e-26,2.333490222984117e-27,7.116763355094583e-24,2.494531080805778e-34,1.977241951701397e-22,9.517526271351214e-29,0.0,0.46346346346346345,1.5753464670816506e-16,3.3221075551391746e-14,3.322107566723677e-14,3.091362847019977e-14,8.891746772959503e-17,6.861605744449423e-17,7.371844029768059e-25,1.614529659746956e-33,3.222245993230702e-39
5.506582937435431e-18,0.13078664456001282,0.46346346346346345,0.0,0.0,0.0,0.07307307307297523,0.0,1.1402355175713216e-21,5.666164612114317e-26,9.358339420705682e-27,2.8541403946122155e-23,2.0017040816804612e-33,7.9296245244523e-22,3.816953703833405e-28,0.0,0.46346346346346345,3.156182476987559e-16,6.655790384330882e-14,6.655790430789916e-14,6.193496952304747e-14,1.781447518659949e-16,1.3747119375692013e-16,2.9564391361141106e-24,1.2953723407386825e-32,5.171699678574972e-38
