Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82)
1.2727966746334232e-17,0.13078664456002956,0.46346346346346345,0.0,0.0,0.0,0.0730730730728469,0.0,6.089185932184758e-21,3.025895077466736e-25,4.997622667780718e-26,1.524193194850044e-22,2.46921024761209e-32,4.2346477682796026e-21,2.038363171669104e-27,0.0,0.46346346346346345,7.295233669821324e-16,1.5384255378010727e-13,1.5384255637092691e-13,1.4315705873457128e-13,4.11765424235809e-16,3.177521784409761e-16,1.5788235788023554e-23,1.5973112153597735e-31,1.4729225463144784e-36,6.435363843674826e-45,1.3138116070194053e-32,6.883626585044734e-34,3.901935939672655e-43,3.463754499781148e-22,1.0977335520427698e-22,1.109331373489491e-30,1.0229435445780384e-35
2.5466991674029312e-17,0.1307866445600592,0.46346346346346345,0.0,0.0,0.0,0.07307307307262055,0.0,2.4372612088455875e-20,1.2111466090277225e-24,2.000351435319777e-25,6.100745015783426e-22,1.9768695315004143e-31,1.6949626404612377e-20,8.158764678469118e-27,0.0,0.46346346346346345,1.459681900967055e-15,3.07818764347385e-13,3.078187747174153e-13,2.864384842945919e-13,8.238885824464473e-16,6.357803881654926e-16,6.3194084868102e-23,1.2779728954403192e-30,2.357082798954431e-35,2.0580404972659747e-43,1.0518378914865257e-31,5.51108657778012e-33,6.248161651927455e-42,1.38640441495993e-21,4.393794899168564e-22,8.875511946345112e-30,1.636992204244962e-34
5.094504152941947e-17,0.13078664456011838,0.46346346346346345,0.0,0.0,0.0,0.07307307307216786,0.0,9.752219101547563e-20,4.846164083848405e-24,8.004010920773411e-25,2.441092724594984e-21,1.5820963527705704e-30,6.782057969531385e-20,3.264568490912161e-26,0.0,0.46346346346346345,2.920003020704217e-15,6.157711761162411e-13,6.157712176098689e-13,5.730013071417841e-13,1.6481348633548114e-15,1.2718367028659865e-15,2.5285862466908367e-22,1.0214131120497918e-29,3.768035176934919e-34,6.569298563786972e-42,8.417735859022735e-31,4.4105438260989266e-32,1.0001064670510164e-40,5.5474230116344846e-21,1.7580902098424733e-21,7.093706721152427e-29,2.6168977543293767e-33
1.0190114124019979e-16,0.1307866445602368,0.46346346346346345,0.0,0.0,0.0,0.07307307307126247,0.0,3.9015223360767724e-19,1.9387812417790353e-23,3.2021252390195256e-24,9.765960918128666e-21,1.2659173244426594e-29,2.7132645021418296e-19,1.3060398852538027e-25,0.0,0.46346346346346345,5.840661467248366e-15,1.231675962191159e-12,1.2316761281926811e-12,1.1461268397447942e-12,3.29662728311991e-15,2.543948913272965e-15,1.0115989191605257e-21,8.151277987347469e-29,6.014674740206818e-33,2.0904065441016856e-40,6.735205163909553e-30,3.5291045885343316e-31,1.6004757685494904e-39,2.2193300122118986e-20,7.03350509507049e-21,5.6610575019937e-28,4.1771879763067505e-32
2.0381334066176042e-16,0.13078664456047362,0.46346346346346345,0.0,0.0,0.0,0.0730730730694517,0.0,1.5607356839868123e-18,7.75575649850061e-23,1.280954085633733e-23,3.906702679264138e-20,1.0128298064559533e-28,1.085393885924432e-18,5.224584026716783e-25,0.0,0.46346346346346345,1.1682043188620472e-14,2.4634853844898342e-12,2.463486048549905e-12,2.2923774525854973e-12,6.593611554443743e-15,5.088171658112074e-15,4.04672315638121e-21,6.487375593549488e-28,9.575517163124306e-32,6.612858033694276e-39,5.388255798174038e-29,2.8235508061891635e-30,2.5609571477250366e-38,8.878039201397421e-20,2.813630580840704e-20,4.505479594576626e-27,6.650192927974153e-31
4.0763773950488167e-16,0.13078664456094727,0.46346346346346345,0.0,0.0,0.0,0.07307307306583015,0.0,6.24319465546171e-18,3.1024291261379357e-22,5.124022797693779e-23,1.562744964709887e-19,8.103019695627521e-28,4.341750247417163e-18,2.089918092971369e-24,0.0,0.46346346346346345,2.3365065944535907e-14,4.927103629682689e-12,4.927106286030589e-12,4.584876868807068e-12,1.31875778242672e-14,1.01766104439004e-14,1.618753656569384e-20,5.136146897919799e-27,1.5167314518713555e-30,2.068111390947881e-37,4.31013748419325e-28,2.2589463822456172e-29,4.097533160019961e-37,3.551357505001638e-19,1.1254976852308216e-19,3.567053854678138e-26,1.0533700451523381e-29
8.152865371911242e-16,0.13078664456189457,0.46346346346346345,0.0,0.0,0.0,0.07307307305858704,0.0,2.497326976079622e-17,1.2409971290249015e-21,2.0496491850001168e-22,6.251109473811452e-19,6.48256415553393e-27,1.7367338621765515e-17,8.359837996418823e-24,0.0,0.46346346346346345,4.6732148709339654e-14,9.854337722451582e-12,9.8543483480556e-12,9.169868463422344e-12,2.6375501272627226e-14,2.0353461199993457e-14,6.475134635897434e-20,4.0251732049437995e-26,2.3788971630133924e-29,6.325504739525744e-36,3.447117422333166e-27,1.8071976191837995e-28,6.555558495682802e-36,1.4205697584367644e-18,4.502079627060663e-19,2.7954858227669386e-25,1.65214617528984e-28
1.6305841325636092e-15,0.1307866445637892,0.46346346346346345,0.0,0.0,0.0,0.07307307304410082,0.0,9.989395965741537e-17,4.964040855868196e-21,8.198667065803972e-22,2.500471174102286e-18,5.186104120610353e-26,6.946993550476829e-17,3.3439656493326287e-23,0.0,0.46346346346346345,9.347046325314254e-14,1.9708796317531426e-11,1.9708838820349784e-11,1.8339822701433258e-11,5.2751311804279475e-14,4.070705545085312e-14,2.590070911330379e-19,3.093683881055199e-25,3.6615065089456425e-28,1.8545814196282988e-34,2.756009144855781e-26,1.4457714886645065e-27,1.0486911745630883e-34,5.682319675446598e-18,1.800848066322752e-18,2.148570655454398e-24,2.542925654503351e-27
3.2611793233085793e-15,0.13078664456757846,0.46346346346346345,0.0,0.0,0.0,0.0730730730151284,0.0,3.9957678648999374e-16,1.985627916086393e-20,3.279473046174264e-21,1.0001951156604687e-17,4.148893912384336e-25,2.7788015004303933e-16,1.337590210371566e-22,0.0,0.46346346346346345,1.8696368841596056e-13,3.941767514593402e-11,3.941784515783156e-11,3.6679615373311076e-11,1.0550278740795037e-13,8.141381491212989e-14,1.036026329991172e-18,2.2940797906758264e-24,5.443622628054209e-27,5.035049923225501e-33,2.202077317371609e-25,1.156618159987796e-26,1.6772402493106813e-33,2.272925701297568e-17,7.203412966220663e-18,1.593251001868056e-23,3.7806279693398027e-26
4.891774514053549e-15,0.13078664457136768,0.46346346346346345,0.0,0.0,0.0,0.07307307298615598,0.0,8.491003486617259e-16,4.219467801964596e-20,6.968875304535267e-21,2.1254200897597303e-17,1.1863238610344191e-24,5.904947255928224e-16,2.842379259219705e-22,0.0,0.46346346346346345,2.804735096724212e-13,5.912651561265417e-11,5.912687688812352e-11,5.5019292241779387e-11,1.5825411755262533e-13,1.221201453378273e-13,2.2015486549316104e-18,6.28679674899502e-24,1.9358145949381716e-26,2.1523388617276043e-32,6.292074969987109e-25,3.307200556058652e-26,6.172170371619489e-33,4.829954175370194e-17,1.5307253002745053e-17,4.3662266318808344e-23,1.3444377923156233e-25
