Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36)
1.2116663354882798e-17,0.13078664456002817,0.46346346346346345,0.0,0.0,0.0,0.07307307307285778,0.0,5.5183247574110635e-21,2.742217413131709e-25,4.529095548095729e-26,1.3813000820252776e-22,2.130247678107788e-32,3.837649545275425e-21,1.847266626292359e-27,0.0,0.46346346346346345,6.944854260469083e-16,1.4645374812118461e-13,1.464537503696328e-13,1.3628145994333241e-13,3.919890057477305e-16,3.024910642289018e-16,1.4308088785825186e-23,1.3780830783511434e-31,1.209732458726678e-36,5.031803109275528e-45,1.1334577255727975e-32,3.912613996887475e-34,2.111319266848107e-43,3.1390275225398394e-22
2.424385378479156e-17,0.13078664456005634,0.46346346346346345,0.0,0.0,0.0,0.0730730730726423,0.0,2.208767975615088e-20,1.0976016137728493e-24,1.8128184925973983e-25,5.528800164088222e-22,1.7054933814808781e-31,1.5360598971388316e-20,7.393880505612474e-27,0.0,0.46346346346346345,1.3895752552338522e-15,2.9303473405183226e-13,2.9303474305148447e-13,2.726813140081233e-13,7.843185646347668e-16,6.05244907149855e-16,5.726964023570301e-23,1.1026084496573773e-30,1.9359655764513016e-35,1.6092921433562762e-43,9.074469548363347e-32,3.132470087266519e-33,3.3808515023061696e-42,1.2564290067523006e-21
4.8498234644609087e-17,0.1307866445601127,0.46346346346346345,0.0,0.0,0.0,0.07307307307221135,0.0,8.837948601583164e-20,4.391836195717389e-24,7.253634931674855e-25,2.212240276489835e-21,1.3649129709484398e-30,6.14624006866732e-20,2.9585152074938e-26,0.0,0.46346346346346345,2.7797579972786452e-15,5.861966980137057e-13,5.861967340240365e-13,5.454809965154354e-13,1.5689776502252625e-15,1.2107525074906884e-15,2.2915313519961285e-22,8.813099648952054e-30,3.0950269133731013e-34,5.137605214381977e-42,7.262198844616716e-31,2.5069278561235165e-32,5.411531609950172e-41,5.02735214986997e-21
9.700699636424414e-17,0.1307866445602254,0.46346346346346345,0.0,0.0,0.0,0.07307307307134944,0.0,3.5357546497203176e-19,1.7570204961452556e-23,2.9019260256458616e-24,8.850402040651293e-21,1.0921376451531781e-29,2.4588959820947615e-19,1.1835986560968952e-25,0.0,0.46346346346346345,5.560135816052474e-15,1.1725205943397671e-12,1.172520738404533e-12,1.0910802590409993e-12,3.1382956926719604e-15,2.4217673661681677e-15,9.167615732272578e-22,7.034089895079741e-29,4.9409995322039375e-33,1.6352850961924332e-40,5.8106468913013666e-30,2.005922798601328e-31,8.660108200017032e-40,2.0112678600349216e-20
1.9402451980351424e-16,0.1307866445604509,0.46346346346346345,0.0,0.0,0.0,0.07307307306962564,0.0,1.414416739736114e-18,7.028654293026973e-23,1.1608646623351984e-23,3.540449269957739e-20,8.737929007878661e-29,9.836382307440431e-19,4.734779354904814e-25,0.0,0.46346346346346345,1.1120940792342086e-14,2.3451682606011625e-12,2.3451688369070807e-12,2.1822783741360435e-12,6.276931262628311e-15,4.843795715507209e-15,3.667343282129448e-21,5.599643479441777e-28,7.868111538800438e-32,5.175971442673342e-39,4.648613994932698e-29,1.60489000982381e-30,1.3857249234670322e-38,8.045723318037072e-20
3.880595666820544e-16,0.1307866445609018,0.46346346346346345,0.0,0.0,0.0,0.07307307306617802,0.0,5.657895365506468e-18,2.8115763685698543e-22,4.643645838255277e-23,1.416237597766781e-19,6.990672257817469e-28,3.9347113347300875e-18,1.8939883363125146e-24,0.0,0.46346346346346345,2.2242748099929e-14,4.69046308756115e-12,4.690465392878262e-12,4.36467296450303e-12,1.2554200342793847e-14,9.687846942128292e-15,1.466995838162697e-20,4.435513514614999e-27,1.2468814105776864e-30,1.6204980412028852e-37,3.7185159958406592e-28,1.2839720004355374e-29,2.217165932677983e-37,3.2184179723350962e-19
7.761296604391347e-16,0.13078664456180358,0.46346346346346345,0.0,0.0,0.0,0.07307307305928279,0.0,2.263202739271324e-17,1.1246536265842027e-21,1.8574947161857162e-22,5.665067748624366e-19,5.592666062615838e-27,1.5739152010071808e-17,7.576103700723915e-24,0.0,0.46346346346346345,4.4487152135452595e-14,9.381050719230786e-12,9.381059940683918e-12,8.729455585954503e-12,2.5108730264144405e-14,1.937592750719589e-14,5.868093452182912e-20,3.479439294386763e-26,1.957477722597624e-29,4.966870913078895e-36,2.97400096784058e-27,1.0272004544850842e-28,3.5472142724558026e-36,1.2873915303292494e-18
1.5522698479532956e-15,0.1307866445636072,0.46346346346346345,0.0,0.0,0.0,0.07307307304549232,0.0,9.052891431558677e-17,4.498661852871982e-21,7.430043166629366e-22,2.266051831914699e-18,4.474178764899105e-26,6.295714012406514e-17,3.030469282887128e-23,0.0,0.46346346346346345,8.897911789045064e-14,1.876221789357568e-11,1.8762254779739992e-11,1.7458994591806664e-11,5.021775715098854e-14,3.8752001085060024e-14,2.347253904101737e-19,2.6791180566494007e-25,3.0181901533553636e-28,1.4619953810238526e-34,2.3778183064824198e-26,8.217676964336097e-28,5.674522851648245e-35,5.149603699852408e-18
3.104550222981617e-15,0.13078664456721445,0.46346346346346345,0.0,0.0,0.0,0.0730730730179114,0.0,3.6211656976501725e-16,1.7994751607462837e-20,2.972023358690299e-21,9.064266878746237e-18,3.5793527565152487e-25,2.518289745593888e-16,1.2121914586932102e-22,0.0,0.46346346346346345,1.7797568015666519e-13,3.7524519886343725e-11,3.7524667431563955e-11,3.491796765594152e-11,1.0043567910176975e-13,7.750379803512188e-14,9.389005605061118e-19,1.9931821639341917e-24,4.501439401175267e-27,3.9970111377268046e-33,1.900012678546767e-25,6.574142540427232e-27,9.075802220662036e-34,2.059840111981144e-17
4.6568305980099385e-15,0.1307866445708217,0.46346346346346345,0.0,0.0,0.0,0.07307307299033047,0.0,7.694974969514733e-16,3.823892299610249e-20,6.31554584759074e-21,1.9261615683487373e-17,1.023470850536925e-24,5.351360983595936e-16,2.5759071488159746e-22,0.0,0.46346346346346345,2.669848731995126e-13,5.6286789523245816e-11,5.628710305703248e-11,5.237683577314059e-11,1.506534692301647e-13,1.1625524478293503e-13,1.995158306749567e-18,5.4719733897830515e-24,1.6030845063779473e-26,1.7133167309365438e-32,5.429160789803859e-25,1.8797905754784812e-26,3.339884921784778e-33,4.377149388886454e-17
