Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23)
1.2323800809908567e-17,0.13078664456002864,0.46346346346346345,0.0,0.0,0.0,0.07307307307285409,0.0,5.708611815266094e-21,2.8367766346026495e-25,4.685271254751071e-26,1.4289311196195726e-22,2.2413773848343085e-32,3.969982286324566e-21,1.9109654744506335e-27,0.0,0.46346346346346345,7.063579420122689e-16,1.489574122300238e-13,1.4895741465891724e-13,1.3861122623744804e-13,3.9869015783407214e-16,3.0766222436682193e-16,1.4801471078148075e-23,1.4499585856049546e-31,1.2945872060888024e-36,5.476731508226344e-45,1.1925871987685314e-32,6.2484776352620615e-34,3.42943623817513e-43,3.247269848409901e-22,1.0291252157439116e-22
2.4658308657879608e-17,0.1307866445600573,0.46346346346346345,0.0,0.0,0.0,0.07307307307263493,0.0,2.284932386369384e-20,1.1354499455452396e-24,1.8753294735798597e-25,5.719448447874858e-22,1.7944647154563707e-31,1.5890274782845288e-20,7.64884189415774e-27,0.0,0.46346346346346345,1.4133308403055231e-15,2.9804423718373774e-13,2.9804424690564106e-13,2.773428704256001e-13,7.977266904638239e-16,6.15591715948217e-16,5.924445477896811e-23,1.1601037534330763e-30,2.0717391678829543e-35,1.7515493816159656e-43,9.547858961961302e-32,5.002581263610948e-33,5.4915494596422416e-42,1.2997541429199528e-21,4.119182803611734e-22
4.932732435382169e-17,0.13078664456011463,0.46346346346346345,0.0,0.0,0.0,0.07307307307219661,0.0,9.142705432323358e-20,4.543278825260605e-24,7.503760261974613e-25,2.288524425768771e-21,1.436117073491767e-30,6.358179369261281e-20,3.060532966706964e-26,0.0,0.46346346346346345,2.827280435423886e-15,5.962178783108225e-13,5.962179172110984e-13,5.548061322961077e-13,1.5957997224299717e-15,1.2314506009092506e-15,2.370549623481189e-22,9.272457436503363e-30,3.312019076306218e-34,5.59149104846544e-42,7.641044797767999e-31,4.0035850990303713e-32,8.790001871703902e-41,5.2007091045793095e-21,1.64820964017941e-21
9.866535574570586e-17,0.13078664456022926,0.46346346346346345,0.0,0.0,0.0,0.07307307307131998,0.0,3.6576772097737287e-19,1.817607411489517e-23,3.001992430584035e-24,9.155588332428051e-21,1.1491117378322397e-29,2.5436854890219196e-19,1.2244123976078745e-25,0.0,0.46346346346346345,5.655194819788541e-15,1.1925651254436221e-12,1.1925652810700492e-12,1.1097325500139585e-12,3.1919456531888642e-15,2.4631679780244258e-15,9.48374000470005e-22,7.400404402596687e-29,5.287193248310851e-33,1.7795876175936274e-40,6.113766091230326e-30,3.203475886481385e-31,1.4066693164352168e-39,2.0806219113909704e-20,6.5939115729639445e-21
1.973414185294742e-16,0.1307866445604586,0.46346346346346345,0.0,0.0,0.0,0.0730730730695667,0.0,1.4631897195005309e-18,7.271021695915659e-23,1.2008944704856413e-23,3.6625337391539244e-20,9.193764903514397e-29,1.0175567826666993e-18,4.898047566510383e-25,0.0,0.46346346346346345,1.1311084365033654e-14,2.385259479223757e-12,2.3852601017800765e-12,2.219584961357164e-12,6.384236982013172e-15,4.926601161028284e-15,3.793803068977317e-21,5.890754463992311e-28,8.418700872095925e-32,5.631660045338061e-39,4.8911081850961725e-29,2.5630232861056628e-30,2.2508449562618642e-38,8.323161950867445e-20,2.6377791044480442e-20
3.946935440970109e-16,0.13078664456091718,0.46346346346346345,0.0,0.0,0.0,0.07307307306606015,0.0,5.8529951156043976e-18,2.9085272886105786e-22,4.803771494475716e-23,1.4650733862897046e-19,7.355358088136155e-28,4.070390973859402e-18,1.9592982453329297e-24,0.0,0.46346346346346345,2.2623106561619754e-14,4.770647624842303e-12,4.770650115168487e-12,4.439288087674895e-12,1.2768817508889018e-14,9.853461242138657e-15,1.5175816406263102e-20,4.665320666202554e-27,1.3339179780829174e-30,1.7625159645204567e-37,3.9124818542350397e-28,2.050514752135221e-29,3.6013593815926622e-37,3.3293978205923374e-19,1.0551544243814797e-19
7.893977952320842e-16,0.1307866445618344,0.46346346346346345,0.0,0.0,0.0,0.07307307305904703,0.0,2.34124414096412e-17,1.1634347947455414e-21,1.9215462082499954e-22,5.860414986688431e-19,5.884421334506848e-27,1.628188089317231e-17,7.837348387026749e-24,0.0,0.46346346346346345,4.524812337943688e-14,9.541421668313558e-12,9.541431629817549e-12,8.878687554846052e-12,2.5537970039558658e-14,1.9707156264839014e-14,6.070439417202441e-20,3.658516149691511e-26,2.0934544189382413e-29,5.3983079365501854e-36,3.1291154444998676e-27,1.6404487992535912e-28,5.761759312286732e-36,1.3317842762598723e-18,4.2207023524283103e-19
1.5788062975022309e-15,0.13078664456366887,0.46346346346346345,0.0,0.0,0.0,0.07307307304502082,0.0,9.365059525005538e-17,4.65378819265288e-21,7.686251152697011e-22,2.3441916097119033e-18,4.707585244588017e-26,6.512807201792118e-17,3.134968008558544e-23,0.0,0.46346346346346345,9.050204671574215e-14,1.9082960764201197e-11,1.90830006105952e-11,1.7757459347414486e-11,5.107624100864213e-14,3.941444575270999e-14,2.428192029310281e-19,2.8152625690095253e-25,3.225917919760819e-28,1.5868624149281827e-34,2.5018124376583756e-26,1.3123715366772447e-27,9.217133616685313e-35,5.327175717542247e-18,1.688297142640904e-18
3.1576233020425246e-15,0.1307866445673378,0.46346346346346345,0.0,0.0,0.0,0.07307307301696839,0.0,3.746033019041753e-16,1.861526083551923e-20,3.074506603592673e-21,9.376828281243207e-18,3.766078235684021e-25,2.605127005229114e-16,1.2539909920707596e-22,0.0,0.46346346346346345,1.810254522077668e-13,3.8166002991824756e-11,3.816616237799303e-11,3.55148943661226e-11,1.021526465783646e-13,7.882862250274749e-14,9.712751149562522e-19,2.0921375757084887e-24,4.806068369238349e-27,4.3281005145064774e-33,1.9990506379650903e-25,1.0498986080755899e-26,1.4741756545759611e-33,2.1308686624132668e-17,6.75321513835972e-18
4.736440306582818e-15,0.13078664457100672,0.46346346346346345,0.0,0.0,0.0,0.07307307298891595,0.0,7.960317614992736e-16,3.955750813267405e-20,6.533322378233681e-21,1.992581068778853e-17,1.076862615174094e-24,5.535889763980905e-16,2.6647310411751016e-22,0.0,0.46346346346346345,2.7156441653593546e-13,5.724900925536435e-11,5.7249347951157836e-11,5.327222081906872e-11,1.5322891578022145e-13,1.1824239703149504e-13,2.063953081673407e-18,5.740147665275005e-24,1.7107272618038405e-26,1.8535007174351387e-32,5.712088900702606e-25,3.0020505219294577e-26,5.424935685660845e-33,4.528084376788715e-17,1.4350592208788933e-17
