Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90)
0.0,0.13078664456,0.46346346346346345,0.0,0.0,0.0,0.07307307307307306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46346346346346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2217679731008107e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307286,0.0,8.412425726383671e-27,4.180380956064379e-31,6.904392495999119e-32,2.1057267357410234e-28,5.72670613459743e-41,5.85031570326221e-27,2.8160708013001852e-33,0.0,0.46346346346346345,7.002748201559455e-19,1.4767473136649533e-16,1.4767473136992298e-16,1.3741763999938962e-16,3.9525701551513667e-19,3.050129404120059e-19,2.1812006920001946e-29,3.707010641694085e-40,6.147603565328889e-48,4.995423954625622e-59
3.42095032468227e-20,0.13078664456000005,0.46346346346346345,0.0,0.0,0.0,0.07307307307307245,0.0,5.0811051385741474e-26,2.5249500974865353e-30,4.170253067408503e-31,1.2718589483348716e-27,6.7987455227300095e-40,3.5335906846204513e-26,1.7009067639428007e-32,0.0,0.46346346346346345,1.9607694989718352e-18,4.1348924781969256e-16,4.134892478403956e-16,3.847693919787764e-16,1.1067196434159237e-18,8.540362330833233e-19,1.317445217856016e-28,4.400958391394259e-39,1.3751929413438051e-46,2.0613709903222564e-57
7.819315027845188e-20,0.1307866445600002,0.46346346346346345,0.0,0.0,0.0,0.07307307307307168,0.0,2.4463334009899874e-25,1.2156547820589914e-29,2.0077973375740517e-30,6.123453346744301e-27,6.675048669668161e-39,1.701271806283765e-25,8.189133889543266e-32,0.0,0.46346346346346345,4.481758866744365e-18,9.451182807001097e-16,9.451182807997856e-16,8.794728958594922e-16,2.52964489911166e-18,1.952082818144785e-18,6.342931610655041e-28,4.3208772124731517e-38,2.7171435198252334e-45,8.1545376171423555e-56
1.6616044434171026e-19,0.1307866445600004,0.46346346346346345,0.0,0.0,0.0,0.07307307307307011,0.0,1.0683780670002623e-24,5.309083814568264e-29,8.76857846720626e-30,2.674272953574152e-26,5.904004954805491e-38,7.429900940819189e-25,3.576409916992307e-31,0.0,0.46346346346346345,9.523737642852426e-18,2.0083763463570332e-15,2.008376346792345e-15,1.868879903308692e-15,5.375495410079787e-18,4.148175987143015e-18,2.7701248771026718e-27,3.821749469175412e-37,4.834990293466338e-44,2.9102671720133837e-54
3.42095032468227e-19,0.13078664456000078,0.46346346346346345,0.0,0.0,0.0,0.07307307307306699,0.0,4.460268117874448e-24,2.2164379832351774e-28,3.6607088989372835e-29,1.116456314554637e-25,4.962671905825079e-37,3.1018373837781867e-24,1.493080738256323e-30,0.0,0.46346346346346345,1.960769535732055e-17,4.13489247725524e-15,4.1348924790725835e-15,3.847693916958164e-15,1.1067196430322653e-17,8.540362320640707e-18,1.1564726053346879e-26,3.2123812790913615e-36,8.154845528142366e-43,9.832936429148017e-53
6.939642087212604e-19,0.1307866445600016,0.46346346346346345,0.0,0.0,0.0,0.07307307307306073,0.0,1.8221650601290738e-23,9.05487236886632e-28,1.495519030136264e-28,4.561088332459341e-25,4.068698257657885e-36,1.2672017808186582e-23,6.09972199342722e-30,0.0,0.46346346346346345,3.977561143526482e-17,8.387924737389094e-15,8.38792474481353e-15,7.805321939261402e-15,2.2450598464034834e-17,1.7324734969641013e-17,4.724567933659845e-26,2.6336559993696695e-35,1.339412075563563e-41,3.232723781886712e-51
1.3977025612273273e-18,0.13078664456000327,0.46346346346346345,0.0,0.0,0.0,0.07307307307304822,0.0,7.365482504184537e-23,3.6601241876174035e-27,6.045127024083086e-28,1.8436648269038974e-24,3.294937332731102e-35,5.1222321987939797e-23,2.46560515380657e-29,0.0,0.46346346346346345,8.011144618718544e-17,1.6893989251006562e-14,1.6893989281017308e-14,1.572057796388505e-14,4.5217402504364987e-17,3.48934801956613e-17,1.909745892588284e-25,2.1327247529578482e-34,2.171167693307892e-40,1.0484415075575368e-49
2.8051792662394613e-18,0.13078664456000652,0.46346346346346345,0.0,0.0,0.0,0.07307307307302321,0.0,2.961628113942455e-22,1.4717198389695263e-26,2.4307189819943223e-27,7.413295160711263e-24,2.6520522112940627e-34,2.0596270327817582e-22,9.914089865308811e-29,0.0,0.46346346346346345,1.60783126075155e-16,3.3906118251640535e-14,3.3906118372312436e-14,3.1551089933201033e-14,9.075101047664848e-17,7.003097035978064e-17,7.679004195876654e-25,1.7164766208685063e-33,3.496350648503087e-39,3.3771483142747897e-48
5.6201326762637295e-18,0.13078664456001307,0.46346346346346345,0.0,0.0,0.0,0.0730730730729732,0.0,1.187745330595431e-21,5.902254804590136e-26,9.748270227648535e-27,2.973062910375854e-23,2.1281048676624663e-33,8.260025544374372e-22,3.97599344094584e-28,0.0,0.46346346346346345,3.2212652738760734e-16,6.793037614650462e-14,6.79303766304529e-14,6.321211355210773e-14,1.8181822598770817e-16,1.4030594953633425e-16,3.0796240986758353e-24,1.377162532766386e-32,5.611621129871181e-38,1.0839812251608565e-46
