Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25)
1.292531133251859e-17,0.13078664456003003,0.46346346346346345,0.0,0.0,0.0,0.07307307307284341,0.0,6.27947299050167e-21,3.1204542989184684e-25,5.153798374161061e-26,1.5718242389380073e-22,2.585864523955753e-32,4.366998157965361e-21,2.1020623395827893e-27,0.0,0.46346346346346345,7.408344919244104e-16,1.56227851872545e-13,1.562278545443454e-13,1.4537668030770053e-13,4.181497649310448e-16,3.2267886232688014e-16,1.6281618141964167e-23,1.672749926539266e-31,1.566403024499256e-36,6.949813811055794e-45,1.3758749787522258e-32,1.1157847585241229e-33,6.422814545721029e-43,3.571996825286253e-22,1.1320377252036016e-22,1.161723499267491e-30,1.0878656634606153e-35,1.797854704056173e-26
2.5861852301294796e-17,0.1307866445600601,0.46346346346346345,0.0,0.0,0.0,0.07307307307261356,0.0,2.5134256199696672e-20,1.2489949407847282e-24,2.062862416082073e-25,6.291393351557152e-22,2.0702638800604042e-31,1.7479372855792917e-20,8.41372862691615e-27,0.0,0.46346346346346345,1.4823140202552753e-15,3.1259143280490144e-13,3.125914434990657e-13,2.9087965557528984e-13,8.366628102444733e-16,6.456380351975438e-16,6.516889990468835e-23,1.3383159768729735e-30,2.5066524720210353e-35,2.2225122013936914e-43,1.1015256797883045e-31,8.932956208601965e-33,1.0284720628821527e-41,1.4297295508353938e-21,4.53110098704334e-22,9.294594193736823e-30,1.7408682300650207e-34,7.195845512487128e-26
5.173493423884721e-17,0.13078664456012024,0.46346346346346345,0.0,0.0,0.0,0.07307307307215384,0.0,1.0056975935247138e-19,4.997606713268463e-24,8.254136249311176e-25,2.517376915476618e-21,1.6568402107712592e-30,6.994025534562545e-20,3.3665882986874734e-26,0.0,0.46346346346346345,2.9652772553040365e-15,6.253185850111308e-13,6.253186278017168e-13,5.81885576954091e-13,1.6736888642486394e-15,1.291556272916941e-15,2.6076045576573616e-22,1.0696200802007274e-29,4.007057945615502e-34,7.093974591564653e-42,8.815378832860042e-31,7.148909732957519e-32,1.646176767792051e-40,5.720779964005429e-21,1.8130305267228103e-21,7.428503784695438e-29,2.7828989040452294e-33,2.879068542065326e-25
1.0348109811395203e-16,0.13078664456024044,0.46346346346346345,0.0,0.0,0.0,0.07307307307123441,0.0,4.023444898498136e-19,1.9993681570247415e-23,3.302191642547837e-24,1.0071147542745826e-20,1.325723758572629e-29,2.7980653161614686e-19,1.34685526570612e-25,0.0,0.46346346346346345,5.931220438950275e-15,1.2507728507896586e-12,1.2507730219798586e-12,1.1638973030862064e-12,3.3477408257662294e-15,2.5833923162681672e-15,1.043211377995669e-21,8.535639957798582e-29,6.395958803018046e-33,2.257159960424091e-40,7.05336340661357e-30,5.719941730756694e-31,2.634264141855395e-39,2.2886840616968742e-20,7.253302111917646e-21,5.927996677807583e-28,4.441989548888118e-32,1.1516493247080877e-24
2.0697342586416169e-16,0.13078664456048097,0.46346346346346345,0.0,0.0,0.0,0.07307307306939556,0.0,1.609508665645771e-18,7.998123900600731e-23,1.3209838926561784e-23,4.0287874146869355e-20,1.0606794831639616e-28,1.1193169606338556e-18,5.387865347585007e-25,0.0,0.46346346346346345,1.1863173660442325e-14,2.5016812278110087e-12,2.501681912627478e-12,2.327920288848678e-12,6.6958441628386004e-15,5.1670626746215956e-15,4.173183196011601e-21,6.792727913097151e-28,1.0181732418597593e-31,7.139098361113842e-39,5.642780077633203e-29,4.575952447738111e-30,4.21475669778516e-38,9.155477819257797e-20,2.901556522666648e-20,4.717546692127092e-27,7.071209253168511e-31,4.605648117739031e-24
4.1395808136458104e-16,0.13078664456096198,0.46346346346346345,0.0,0.0,0.0,0.07307307306571785,0.0,6.438294420716687e-18,3.1993800455477623e-22,5.284148444889808e-23,1.611580966110707e-19,8.485835065109988e-28,4.477447975082959e-18,2.1552384842830927e-24,0.0,0.46346346346346345,2.3727347520262427e-14,5.0034973637110404e-12,5.0035001030878926e-12,4.655964394368085e-12,1.3392048493133413e-14,1.0334396477942303e-14,1.6693396612987204e-20,5.3770396050683085e-27,1.612504725168705e-30,2.231906115520732e-37,4.513724212415067e-28,3.660239573142166e-29,6.742371629937945e-37,3.6623373412823257e-19,1.1606694769508238e-19,3.734353897448664e-26,1.1198846079474036e-29,1.841275740126136e-23
8.279273923654196e-16,0.13078664456192396,0.46346346346346345,0.0,0.0,0.0,0.07307307305836244,0.0,2.5753683898983394e-17,1.2797782966815117e-21,2.113700669844699e-22,6.446458413125814e-19,6.788823373212546e-27,1.7910139833709524e-17,8.621166453313173e-24,0.0,0.46346346346346345,4.745676490754828e-14,1.0007127162941656e-11,1.000713812066806e-11,9.312045141396772e-12,2.678444777833376e-14,2.0669036431118687e-14,6.677482219536661e-20,4.2126524019253416e-26,2.528352257889965e-29,6.82186393845192e-36,3.609922928176043e-27,2.927149001422696e-28,1.0783012997217791e-35,1.4649624947859415e-18,4.642769529650421e-19,2.9256903689580415e-25,1.7559429365510645e-28,7.356798465555141e-23
1.655866014367097e-15,0.13078664456384795,0.46346346346346345,0.0,0.0,0.0,0.07307307304365163,0.0,1.030156415619689e-16,5.1191671916113386e-21,8.454874994113413e-22,2.578612310023595e-18,5.431113846944497e-26,7.164115650274463e-17,3.44853124914943e-23,0.0,0.46346346346346345,9.491987835511548e-14,2.0014376871134867e-11,2.001442070245486e-11,1.8624176779509796e-11,5.3569208847260824e-14,4.133820572424801e-14,2.6710103321034485e-19,3.2358807243713556e-25,3.889336096380061e-28,1.997575785636154e-34,2.8861468272611156e-26,2.3399730735136664e-27,1.7236904730362337e-34,5.859891616484391e-18,1.8571245024163695e-18,2.2473268522043397e-24,2.7011540888304503e-27,2.9360074725614603e-22
3.3117432583704515e-15,0.13078664456769593,0.46346346346346345,0.0,0.0,0.0,0.07307307301422998,0.0,4.120635263898741e-16,2.0476788356620226e-20,3.381956244869894e-21,1.0314523378168297e-17,4.344901967645353e-25,2.8656503071536303e-16,1.379443015800344e-22,0.0,0.46346346346346345,1.898632199615353e-13,4.002883672652736e-11,4.0029012052447117e-11,3.7248320632727686e-11,1.0713858097988818e-13,8.267610186270577e-14,1.0684019217476007e-18,2.3970053951655602e-24,5.7764673493869304e-27,5.41115588072687e-33,2.3060152392030166e-25,1.8691689287167642e-26,2.7527867528954768e-33,2.3439541904083765e-17,7.428519129053906e-18,1.664733634277133e-23,4.0117911797541135e-26,1.169049914964862e-21
4.967620502373806e-15,0.13078664457154396,0.46346346346346345,0.0,0.0,0.0,0.07307307298480833,0.0,8.756346354003709e-16,4.351326305781762e-20,7.186651703156618e-21,2.1918426762530643e-17,1.2423698537507045e-24,6.089500548744222e-16,2.931355104539833e-22,0.0,0.46346346346346345,2.8482367629854355e-13,6.004325702100411e-11,6.004362958877086e-11,5.5872345063706627e-11,1.6070780310795654e-13,1.2401355555845558e-13,2.270346397093567e-18,6.5651022332352034e-24,2.0532254458623187e-26,2.3110765777566228e-32,6.5889895013942715e-25,5.340052095070414e-26,1.012304379945806e-32,4.980888987932687e-17,1.5785603302399524e-17,4.5595126822086655e-23,1.4259807732442115e-25,2.4764051334296046e-21
