Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188),C3H5(39)
1.4924863954378654e-17,0.13078664456003466,0.46346346346346345,0.0,0.0,0.0,0.07307307307280787,3.801329127642058e-44,8.372630626117792e-21,4.160605735682053e-25,6.871731138652784e-26,2.0957656572560034e-22,3.981198860826021e-32,5.822664184770945e-21,2.802749844642813e-27,0.0,0.46346346346346345,8.554421109126081e-16,1.8039638437988223e-13,1.8039638794228276e-13,1.6786653015217225e-13,4.828377576001182e-16,3.7259745284059473e-16,2.1708823994274796e-23,2.575098805744739e-31,2.7844358427230285e-36,1.4263309733062882e-44,2.118294864325354e-32,1.7178598527992656e-33,1.141831104394144e-42,4.762662398413418e-22,1.509383629006367e-22,1.788404091181966e-30,1.9337885054461558e-35,2.3971262789273887e-26,5.868799621724001e-36,2.1416970723228072e-75,4.467496342261481e-83,3.46028816338628e-54,8.090226003238634e-81,9.07255659556347e-89,3.9027994031622445e-89,2.466750063295834e-87,1.1245283735815973e-93,2.474171669929902e-97,5.285498426882721e-39
2.986269477578978e-17,0.13078664456006941,0.46346346346346345,0.0,0.0,0.0,0.07307307307254246,6.087079396247883e-43,3.3512341376350575e-20,1.6653265907478914e-24,2.7504831999102223e-25,8.388524511483846e-22,3.1873797294506145e-31,2.3305830267437125e-20,1.1218305304465419e-26,0.0,0.46346346346346345,1.7116292945099455e-15,3.6094949460309524e-13,3.6094950886198087e-13,3.3587889142642805e-13,9.660949930726868e-16,7.455185739849246e-16,8.689186497870723e-23,2.0600434004017072e-30,4.455373481231936e-35,4.560282581104583e-43,1.6959045382157203e-31,1.3753135155502605e-32,1.8283864755905216e-41,1.906306039517794e-21,6.041467945936409e-22,1.430698577266508e-29,3.0942535220377664e-34,9.594353998149931e-26,4.6986081646619113e-35,2.7468782470725213e-73,1.1451491960285917e-80,1.1082093059750319e-52,1.0376360533578857e-78,2.325496749547735e-86,1.0006291135415532e-86,3.163865509378684e-85,5.766052638032368e-91,6.346817720586167e-95,4.231615387010287e-38
5.973835641861204e-17,0.1307866445601388,0.46346346346346345,0.0,0.0,0.0,0.07307307307201164,9.743291300785847e-42,1.3409301068332378e-19,6.663475641979905e-24,1.1005514826756015e-24,3.356502588173365e-21,2.5508723355803037e-30,9.32536721379111e-20,4.4887847731931575e-26,0.0,0.46346346346346345,3.4240092328873602e-15,7.220557021715436e-13,7.220557592256579e-13,6.719035750997709e-13,1.9326094151875704e-15,1.4913606722443516e-15,3.4768059520218218e-22,1.6461033445918697e-29,7.120793023013936e-34,1.4549183401470926e-41,1.3572080523055507e-30,1.100638551798149e-31,2.9265098989766637e-40,7.627706392486201e-21,2.4173740062325055e-21,1.1432176174287672e-28,4.9453858282952976e-33,3.838672687870984e-25,3.760314512083494e-34,3.519414992990248e-71,2.9301620970076566e-78,3.5476676392170554e-51,1.3294918183305862e-76,5.950248920329867e-84,2.561556402617222e-84,4.053916775319689e-83,2.95209520196474e-88,1.6264634354448755e-92,3.3865829235878053e-37
1.1948967970425654e-16,0.1307866445602777,0.46346346346346345,0.0,0.0,0.0,0.07307307307094997,1.5592438465750578e-40,5.364593055039355e-19,2.665824228800916e-23,4.402922052177264e-24,1.3428196997329662e-20,2.0410851827126557e-29,3.7307536223563317e-19,1.795807320855434e-25,0.0,0.46346346346346345,6.848791394374051e-15,1.444268065796533e-12,1.44426829405013e-12,1.343952786945817e-12,3.865638064096357e-15,2.9830442926465136e-15,1.390948404191642e-21,1.313058432908263e-28,1.1361472120755581e-32,4.6250452853911045e-40,1.0859230458265148e-29,8.806296743012055e-31,4.683051208387915e-39,3.05157856794469e-20,9.671069248023959e-21,9.119183109586266e-28,7.89053594718446e-32,1.535464145143401e-24,3.0088228968858813e-33,4.50673505522224e-69,7.482562722566093e-76,1.1354323865079771e-49,1.7025448174084568e-74,1.5194303764771214e-81,6.547355241504207e-82,5.191929597475063e-81,1.509101603028372e-85,4.166089285192571e-90,2.709788144265425e-36
2.3899232627554557e-16,0.1307866445605554,0.46346346346346345,0.0,0.0,0.0,0.07307307306882664,2.4950440349235908e-39,2.1460114398170244e-18,1.06641653562925e-22,1.7613117465552966e-23,5.3717167718399694e-20,1.6330227854382057e-28,1.4924225081479556e-18,7.183822861425563e-25,0.0,0.46346346346346345,1.3698444856282148e-14,2.8886925869989133e-12,2.8886935000875134e-12,2.68805058863564e-12,7.731694580630251e-15,5.9664092289859856e-15,5.564243464434277e-21,1.0440851305915163e-27,1.8071984860026374e-31,1.4602048713086145e-38,8.687415622408119e-29,7.044932326493785e-30,7.492628760314129e-38,1.220730231099797e-19,3.868741843676308e-20,7.251167504722992e-27,1.2550987750211462e-30,6.1403181184198416e-24,2.4072868139428982e-32,5.7690581740646154e-67,1.9046152780812603e-73,3.6333818599455144e-48,2.1796523563675073e-72,3.867386109494549e-79,1.6696553132611808e-79,6.648746444630048e-79,7.6967747024801e-83,1.0670105989752072e-87,2.168047979817179e-35
4.779976194181237e-16,0.13078664456111078,0.46346346346346345,0.0,0.0,0.0,0.07307307306458,3.992273760527392e-38,8.584391645894246e-18,4.265840185129442e-22,7.045530377255234e-23,2.1487747965780317e-19,1.30647960258101e-27,5.969929785160314e-18,2.8736532283579245e-24,0.0,0.46346346346346345,2.7398108335895237e-14,5.777540805213512e-12,5.777544457715778e-12,5.376243704008525e-12,1.5463804488565342e-14,1.1933129883820831e-14,2.225785579971883e-20,8.251516044665349e-27,2.8576342192532394e-30,4.548927855867592e-37,6.948992915345897e-28,5.634976076052824e-29,1.1985568743229348e-36,4.883115296579525e-19,1.547559155071217e-19,5.730678744634542e-26,1.9846274813936872e-29,2.454597973105265e-23,1.9259207870452791e-31,1.2921847608056912e-64,8.420695630201372e-71,1.1624977814778894e-46,4.8599558263543325e-70,1.6796628242111962e-76,7.373769406041197e-77,1.491184774338263e-76,6.792665690189007e-80,4.77815643113231e-85,1.73453932781216e-34
9.560082057032798e-16,0.1307866445622216,0.46346346346346345,0.0,0.0,0.0,0.07307307305608671,6.387801278582045e-37,3.433823787799281e-17,1.706371161763565e-21,2.8182668536992163e-22,8.595279284172232e-19,1.045207456758019e-26,2.3880179658528545e-17,1.1494903892825151e-23,0.0,0.46346346346346345,5.479886151877335e-14,1.1555233944883951e-11,1.1555248555184197e-11,1.0752619982745756e-11,3.092801180392079e-14,2.3866534322236654e-14,8.903304582785911e-20,6.444476157546346e-26,4.467130339179597e-29,1.3809347103384272e-35,5.557296081116427e-27,4.5061116452455085e-28,1.9167023164661472e-35,1.953282399590575e-18,6.190358218704256e-19,4.4756952947567605e-25,3.1024272572422385e-28,9.80558181370058e-23,1.540773059991373e-30,1.6581676646642428e-62,2.1163269495686635e-68,3.718520258797525e-45,6.2402343987233345e-68,4.220154543226467e-74,1.8667665313077097e-74,1.9210775215254283e-74,3.4421954187681718e-77,1.2331474071557682e-82,1.3876941702983084e-33
1.912029378273592e-15,0.13078664456444322,0.46346346346346345,0.0,0.0,0.0,0.07307307303910011,1.0220614690734408e-35,1.3735413018358652e-16,6.825557051662182e-21,1.1273161010021565e-21,3.4381508654326378e-18,8.361742343620647e-26,9.552148771187727e-17,4.5980538330426825e-23,0.0,0.46346346346346345,1.0960607278285232e-13,2.311060703720482e-11,2.3110665478951822e-11,2.150533273233408e-11,6.185637643270129e-14,4.773319571503297e-14,3.5613431294690875e-19,4.921196579533738e-25,6.832747234831864e-28,3.992610493903908e-34,4.442644702202435e-26,3.6017815120423075e-27,3.0634531902255517e-34,7.813181407600557e-18,2.4761651178222835e-18,3.41778515631113e-24,4.745364411407988e-27,3.9119031705928923e-22,1.2326328615043492e-29,2.1188643443882892e-60,5.177429068894339e-66,1.188938319435034e-43,7.986400951299557e-66,1.0328918764083167e-71,4.63216312724829e-72,2.4874445460170304e-72,1.7083510449674151e-74,3.1933014692827892e-80,1.1102161527995722e-32
3.824071723414216e-15,0.13078664456888653,0.46346346346346345,0.0,0.0,0.0,0.07307307300512693,1.6353096512717302e-34,5.494175666613308e-16,2.7302390844951086e-20,4.509270474128471e-21,1.3752706767173117e-17,6.689407094252212e-25,3.8208627328687962e-16,1.839266988100229e-22,0.0,0.46346346346346345,2.1924331493402066e-13,4.6221300473886924e-11,4.6221534241676006e-11,4.3010599001150504e-11,1.237129056835687e-13,9.546592857232545e-14,1.4245327844907743e-18,3.6075225690709865e-24,1.0045937100575544e-26,1.0578021251817793e-32,3.5489559286015283e-25,2.8764374790044763e-26,4.891031589499684e-33,3.125266322395422e-17,9.904685594498276e-18,2.5054481645413022e-23,6.976973903439878e-26,1.5565347452581129e-21,9.861118250639067e-29,2.7027969586802047e-58,1.2167702442175165e-63,3.798219475069274e-42,1.0229311748859009e-63,2.432456796586879e-69,1.1181833575279619e-69,3.315180427213013e-70,8.248226889299242e-72,8.510600056040685e-78,8.882544116166991e-32
5.736114068554841e-15,0.1307866445733298,0.46346346346346345,0.0,0.0,0.0,0.07307307297115374,6.019035673880324e-34,1.167511507514652e-15,5.801770229565179e-20,9.58218935363483e-21,2.922459451675708e-17,1.912750907611994e-24,8.119321645799935e-16,3.9085008555316962e-22,0.0,0.46346346346346345,3.289033767379182e-13,6.933194116272975e-11,6.933243791945488e-11,6.451570604079099e-11,1.8556923492877076e-13,1.4319807150915883e-13,3.0271197374580625e-18,9.82471835556511e-24,3.554418276800822e-26,4.4785852580558465e-32,1.0139315117875177e-24,8.216650465452401e-26,1.798372616672854e-32,6.641168356976685e-17,2.1047452984100762e-17,6.823353295116366e-23,2.468575265075784e-25,3.2956203357179592e-21,2.8196673209800583e-28,1.394109998096292e-57,7.278982389696379e-63,1.7329456697828143e-41,5.291089563357761e-63,1.456337957682834e-68,6.752044002644704e-69,1.743099834113611e-69,5.795120095570153e-71,5.309026494316e-77,2.5399816931854262e-31
