Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15)
9.807615088517385e-18,0.1307866445600227,0.46346346346346345,0.0,0.0,0.0,0.07307307307289936,0.0,3.615496956148991e-21,1.622489393789092e-25,1.3467677843883227e-26,8.69402965888607e-23,6.704651251339003e-33,2.5049775122010817e-21,1.2102924619499883e-27,0.0,0.46346346346346345,4.240413502591988e-21,1.1854435088533878e-13,1.1854435235849484e-13,1.1031057594802479e-13
1.9623751128458328e-17,0.13078664456004546,0.46346346346346345,0.0,0.0,0.0,0.07307307307272551,0.0,1.4471409862489206e-20,6.4941859334723505e-25,5.390580808850009e-26,3.479877522953028e-22,5.367797615098301e-32,1.0026438006544105e-20,4.8443239033568744e-27,0.0,0.46346346346346345,9.157808668633673e-21,2.371916925318111e-13,2.371916984282745e-13,2.2071698560911378e-13
3.925602320834022e-17,0.1307866445600909,0.46346346346346345,0.0,0.0,0.0,0.0730730730723778,0.0,5.79044875808306e-20,2.598520303427728e-24,2.1569343937048516e-25,1.3924042281051183e-21,4.295869313750089e-31,4.011881044946355e-20,1.9383605176354676e-26,0.0,0.46346346346346345,2.1013368827412785e-20,4.74486370649215e-13,4.744863942427484e-13,4.4152978935838773e-13
7.8520567368104e-17,0.13078664456018188,0.46346346346346345,0.0,0.0,0.0,0.0730730730716824,0.0,2.316556414318767e-19,1.0395773453730754e-23,8.62914140202571e-25,5.5705231426176816e-21,3.437347885129322e-30,1.6050135266016476e-19,7.754703886117387e-26,0.0,0.46346346346346345,5.2807568343779384e-20,9.490757061818598e-13,9.490758005713544e-13,8.831553345653281e-13
1.5704965568763156e-16,0.13078664456036376,0.46346346346346345,0.0,0.0,0.0,0.0730730730702916,0.0,9.266978691251972e-19,4.1586479647438243e-23,3.451936935716196e-24,2.2283902465656874e-20,2.750138999246671e-29,6.420575584444657e-19,3.1021337141081137e-25,0.0,0.46346346346346345,1.487282833079495e-19,1.8982542944385065e-12,1.89825467202719e-12,1.7664061758128485e-12
3.1410783232668665e-16,0.13078664456072758,0.46346346346346345,0.0,0.0,0.0,0.07307307306750999,0.0,3.706941415147267e-18,1.6635269938752292e-22,1.3808305228358897e-23,8.913920822734084e-20,2.2002149847923277e-28,2.5683339119725616e-18,1.240903742227794e-24,0.0,0.46346346346346345,4.698989700516727e-19,3.796611139717284e-12,3.796612650133284e-12,3.532906861643013e-12
6.282241856047969e-16,0.13078664456145517,0.46346346346346345,0.0,0.0,0.0,0.07307307306194677,0.0,1.4828060155102238e-17,6.654244305204472e-22,5.523430962987462e-23,3.5656385732969576e-19,1.7602127084832214e-27,1.0273538038934831e-17,4.963714066715464e-24,0.0,0.46346346346346345,1.6295573155178455e-18,7.593323505337245e-12,7.59332954712261e-12,7.065904246648329e-12
1.2564568921610175e-15,0.13078664456291036,0.46346346346346345,0.0,0.0,0.0,0.07307307305082034,0.0,5.931278650968867e-17,2.66172555733335e-21,2.209392057764142e-22,1.4262680987855963e-18,1.4081851838731386e-26,4.1094517189107014e-17,1.9855043126987527e-23,0.0,0.46346346346346345,6.018141452104466e-18,1.518674293683047e-11,1.5186767104205344e-11,1.4131883070074906e-11
2.5129223052734584e-15,0.13078664456582076,0.46346346346346345,0.0,0.0,0.0,0.07307307302856747,0.0,2.3725189298311524e-16,1.0646962452626489e-20,8.837590760792387e-22,5.7050866982276794e-18,1.1265521197519459e-25,1.6437848080868444e-16,7.942045553207658e-23,0.0,0.46346346346346345,2.3072375969838757e-17,3.037356060085973e-11,3.0373657270751484e-11,2.826377693087972e-11
3.7693877183859e-15,0.13078664456873118,0.46346346346346345,0.0,0.0,0.0,0.0730730730063146,0.0,5.041603514876372e-16,2.262483798181645e-20,1.8779875611998205e-21,1.212330575777492e-17,3.221235421528262e-25,3.4930417148299334e-16,1.687685428613714e-22,0.0,0.46346346346346345,4.840367319410701e-17,4.55603570659614e-11,4.556056248964264e-11,4.239560700592408e-11
