Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188)
1.4754288478607422e-17,0.13078664456003428,0.46346346346346345,0.0,0.0,0.0,0.0730730730728109,3.5924007273637723e-44,8.182343568757962e-21,4.06604651410052e-25,6.715555433198333e-26,2.0481346191460175e-22,3.8462502715974713e-32,5.690330909999356e-21,2.7390509796575864e-27,0.0,0.46346346346346345,8.456652980799917e-16,1.783346437284691e-13,1.7833464720990598e-13,1.6594799258672707e-13,4.773194306589711e-16,3.683390566541283e-16,2.1215441647025917e-23,2.487834144727962e-31,2.6593316818217057e-36,1.346691954059237e-44,2.046492411571681e-32,1.6596307272405052e-33,1.090519690582478e-42,4.65442007411977e-22,1.4750794560032014e-22,1.7277988520613704e-30,1.846903763026234e-35,2.3426472472216568e-26,5.669868027422269e-36,1.9761203025201023e-75,4.075032222368645e-83,3.232730677366698e-54,2.0275617916523463e-82,1.0204007907902801e-89,9.669426062084549e-91,2.906242727483288e-94,2.753986003253956e-95,2.873257104441915e-104
2.9521395626614156e-17,0.1307866445600686,0.46346346346346345,0.0,0.0,0.0,0.07307307307254851,5.752521701635381e-43,3.275069727277227e-20,1.6274782588869685e-24,2.6879722198892046e-25,8.197876223568692e-22,3.0793388079771723e-31,2.277615232406684e-20,1.0963343781209075e-26,0.0,0.46346346346346345,1.6920671324669807e-15,3.56824222137447e-13,3.568242360722672e-13,3.320401497458132e-13,9.550535451840148e-16,7.369980829666049e-16,8.491704999567761e-23,1.9902505359035255e-30,4.255230949647583e-35,4.305743923876155e-43,1.6384197873644894e-31,1.3286956585662005e-32,1.7462230903925446e-41,1.862980904612233e-21,5.904161859322674e-22,1.3822274845633743e-29,2.9552546817796517e-34,9.37630939223955e-26,4.53934193092973e-35,2.534514951303459e-73,1.0445582005521605e-80,1.0353307493335837e-52,2.6000797902105365e-80,2.615163801615227e-87,2.4787228943098252e-88,1.4896762663283267e-91,1.4119547788544285e-92,2.9455427724868846e-101
5.905560992262763e-17,0.13078664456013725,0.46346346346346345,0.0,0.0,0.0,0.07307307307202375,9.207780980310927e-42,1.3104544240765118e-19,6.512033011728187e-24,1.0755389504150718e-24,3.2802184355905824e-21,2.4644067696488324e-30,9.113427063649187e-20,4.386766906181158e-26,0.0,0.46346346346346345,3.3848762458059056e-15,7.138033663701063e-13,7.138034221275363e-13,6.642244260723431e-13,1.9105217265136275e-15,1.4743159948357164e-15,3.3977876453386064e-22,1.59036264313574e-29,6.801032089478536e-34,1.3737635800815163e-41,1.311204173813918e-30,1.0633314572398438e-31,2.7950005140754685e-40,7.454349447877424e-21,2.362433690359401e-21,1.1045057373025301e-28,4.723312071453326e-33,3.751437243627788e-25,3.6328531218521915e-34,3.2473279288813217e-71,2.6728196696630017e-78,3.314365287340219e-51,3.331248121634857e-78,6.691086872220266e-85,6.345170457900995e-86,7.622915324521161e-89,7.22881810373198e-90,3.014567398916822e-98
1.1812403851465456e-16,0.1307866445602745,0.46346346346346345,0.0,0.0,0.0,0.07307307307097423,1.473544719148404e-40,5.242670497524781e-19,2.605237312889761e-23,4.3028556533958315e-24,1.3123010679120664e-20,1.971899604169333e-29,3.645963778351177e-19,1.7549934931065527e-25,0.0,0.46346346346346345,6.770516250744421e-15,1.427761604494243e-12,1.4277618275602587e-12,1.3285928267588682e-12,3.821457898290983e-15,2.9489512555508037e-15,1.3593359487792605e-21,1.2686400958492132e-28,1.0851652705118161e-32,4.3674010438353534e-40,1.0491151824410242e-29,8.507805048387124e-31,4.47261110442639e-39,2.9822245246706275e-20,9.4512722392047e-21,8.81069798608787e-28,7.536466621061661e-32,1.5005729255569816e-24,2.906834420475665e-33,4.158322192659177e-69,6.825637185706982e-76,1.0607644913821884e-49,4.2663710549580045e-76,1.7086350435638023e-82,1.6220112094396254e-83,3.893188097007048e-86,3.6958048826900054e-87,3.079212258867159e-95
2.3626089569870845e-16,0.13078664456054906,0.46346346346346345,0.0,0.0,0.0,0.07307307306887517,2.357911348909545e-39,2.0972384620838666e-18,1.0421797948868285e-22,1.7212819433307116e-23,5.24963228150166e-20,1.5776690853388124e-28,1.4585038236205118e-18,7.020553960131827e-25,0.0,0.46346346346346345,1.3541883373671122e-14,2.8556778793778172e-12,2.855678771714406e-12,2.657329020266058e-12,7.643329478318459e-15,5.898219524890283e-15,5.4377834521171106e-21,1.008836185162987e-27,1.7262214687532615e-31,1.3790741204593386e-38,8.392960417233648e-29,6.806151071707e-30,7.155947047690478e-38,1.1929863742829576e-19,3.780815908223675e-20,7.006363651516904e-27,1.1988602524001493e-30,6.000810952613674e-24,2.3256882882164026e-32,5.323066703461315e-67,1.7375187198030386e-73,3.3944486281311754e-48,5.464300078265178e-74,4.349479738354841e-80,4.138294605391765e-81,1.9821022849281668e-83,1.8858547395726875e-84,3.135383480593833e-92
4.725346100668162e-16,0.13078664456109806,0.46346346346346345,0.0,0.0,0.0,0.07307307306467706,3.772849878028513e-38,8.38929191204713e-18,4.168889261460137e-22,6.8854047604435e-23,2.099938991149675e-19,1.262194569268779e-27,5.83424963349004e-18,2.8083427680091914e-24,0.0,0.46346346346346345,2.708496607177928e-14,5.711509623686394e-12,5.711513193177262e-12,5.314798975819233e-12,1.5287069584266413e-14,1.1796747055221257e-14,2.1751995969832956e-20,7.974035752236844e-27,2.7299523012093953e-30,4.29747823289123e-37,6.713474610539972e-28,5.443997583094572e-29,1.1447031906712345e-36,4.772135500054253e-19,1.5123873683731388e-19,5.537968568994372e-26,1.8959523352227796e-29,2.398848027409636e-23,1.8606388714734992e-31,1.1922962841718917e-64,7.682963102114033e-71,1.0860537792946627e-46,1.0098410481631782e-71,1.6508980421498583e-77,1.5156448354498932e-78,1.5036888274635934e-80,1.3805622178483842e-81,4.755654897996745e-89
9.450820388030318e-16,0.1307866445621962,0.46346346346346345,0.0,0.0,0.0,0.07307307305628083,6.036712778315922e-37,3.355782399107382e-17,1.6675899906992956e-21,2.7542153931625864e-22,8.399931911006237e-19,1.0097786356493501e-26,2.3337448868423073e-17,1.1233654802949735e-23,0.0,0.46346346346346345,5.4172525277463254e-14,1.1423169890471078e-11,1.1423184168719182e-11,1.0629729161098638e-11,3.057453757974984e-14,2.359376608260965e-14,8.700957171408029e-20,6.229417858861388e-26,4.2686321022967224e-29,1.3053571067531348e-35,5.368968174931164e-27,4.353413954000378e-28,1.8305921415190635e-35,1.908889695046385e-18,6.049668355132366e-19,4.326336954658112e-25,2.96456990253315e-28,9.583017948315048e-23,1.488546294155867e-30,1.5300031960207144e-62,1.931418265355243e-68,3.474012304552843e-45,1.3049923719575527e-69,4.1422583757719914e-75,3.860572998008668e-76,7.550883387588089e-78,7.03719348325129e-79,4.7777378171682725e-86
1.8901768962754627e-15,0.13078664456439243,0.46346346346346345,0.0,0.0,0.0,0.07307307303948837,9.658861590120135e-36,1.3423245028919181e-16,6.670430688657519e-21,1.1016953276177132e-21,3.360010979783163e-18,8.07830915457504e-26,9.335054933553179e-17,4.4935515958744095e-23,0.0,0.46346346346346345,1.0835321893029091e-13,2.284647753672511e-11,2.284653465025167e-11,2.1259550628492697e-11,6.114942470519091e-14,4.718766000523909e-14,3.4804038441359575e-19,4.759339358613568e-25,6.532276836589364e-28,3.778151802395859e-34,4.292126334637096e-26,3.479763242786801e-27,2.9258597828365527e-34,7.635609721004104e-18,2.41988871129759e-18,3.3053746503792022e-24,4.536686483767048e-27,3.823227358337484e-22,1.1908509624274067e-29,1.9551300437537132e-60,4.7273667069916564e-66,1.1107709770421424e-43,1.715335217321253e-67,1.0190691776312967e-72,9.841246840284624e-74,3.7154550466008726e-75,3.587795504513181e-76,4.701839708974922e-83
3.7803666112203246e-15,0.13078664456878494,0.46346346346346345,0.0,0.0,0.0,0.07307307300590347,1.5454271866810554e-34,5.369308428426471e-16,2.668188143110243e-20,4.406787431004295e-21,1.344014450550916e-17,6.462660387255459e-25,3.734025305580469e-16,1.7974646635919896e-22,0.0,0.46346346346346345,2.1673690723049705e-13,4.56930412800881e-11,4.569326973498155e-11,4.251903795176595e-11,1.2229900349496324e-13,9.437487132948407e-14,1.3921572980598575e-18,3.4919366779506184e-24,9.612331305592385e-27,1.0028483292429292e-32,3.428773100896788e-25,2.7790464079863797e-26,4.6714671656212725e-33,3.0542380368363643e-17,9.679579647206644e-18,2.4251727057088673e-23,6.675830784280373e-26,1.5213420173341617e-21,9.526861210770246e-29,2.494037142034183e-58,1.1119594891921611e-63,3.548568817783064e-42,2.4037615208910116e-65,2.442263209526766e-70,2.6001690329837938e-71,1.7809602742855157e-72,1.89574173097193e-73,4.5075051577836025e-80
5.6705563261651865e-15,0.13078664457317749,0.46346346346346345,0.0,0.0,0.0,0.07307307297231858,5.688205567429706e-34,1.1409772667579706e-15,5.669911663372414e-20,9.364413399753978e-21,2.85603970617363e-17,1.8479156176808838e-24,7.9347926437578e-16,3.819669011772132e-22,0.0,0.46346346346346345,3.251428965539656e-13,6.853955347442232e-11,6.854003894124667e-11,6.37783696646685e-11,1.83448386824619e-13,1.4156150614029037e-13,2.958322292283985e-18,9.514446212302948e-24,3.402310822460401e-26,4.2490187380438527e-32,9.7960480800241e-25,7.93853806851306e-26,1.7176614468438264e-32,6.490234126441709e-17,2.0569103271766495e-17,6.607865504407741e-23,2.3629349039630366e-25,3.2212403812141985e-21,2.7240905732562235e-28,1.2864356209555807e-57,6.653670344582971e-63,1.61905411042657e-41,1.3666579373512447e-64,1.4768445060573324e-69,1.703756455976726e-70,1.2528017174490729e-71,1.4294049039916508e-72,3.618178158097187e-79
