Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78)
1.0790658810985503e-17,0.1307866445600251,0.46346346346346345,0.0,0.0,0.0,0.07307307307288134,0.0,4.3766024087423996e-21,2.1748620849679336e-25,3.592041303111777e-26,1.09551382171818e-22,1.5046131727012293e-32,3.0436531019200354e-21,1.4650735348911744e-27,0.0,0.46346346346346345,6.184833609766606e-16,1.3042637092674275e-13,1.3042637270999478e-13,1.2136730232516512e-13,3.4909112361388063e-16,2.693875193748474e-16,1.1347794616630077e-23,9.734273543515671e-32
2.159069265134632e-17,0.13078664456005015,0.46346346346346345,0.0,0.0,0.0,0.07307307307268945,0.0,1.751781509857601e-20,8.705116236684488e-25,1.4377526026580485e-25,4.384910183226565e-22,1.2046053824376865e-31,1.2182544126180015e-20,5.8641121547136754e-27,0.0,0.46346346346346345,1.237504881185013e-15,2.609660554662361e-13,2.609660626038913e-13,2.428400434711586e-13,6.984855324882378e-16,5.390090626539242e-16,4.542074965156017e-23,7.7890199855532745e-31
4.3190760332067945e-17,0.13078664456010036,0.46346346346346345,0.0,0.0,0.0,0.07307307307230566,0.0,7.009407607284607e-20,3.483180422699423e-24,5.752882917507354e-25,1.7545351582182134e-21,9.640503701887613e-31,4.874604283937504e-20,2.346408636507095e-26,0.0,0.46346346346346345,2.475550367271585e-15,5.220454182801641e-13,5.220454468400818e-13,4.857855069377252e-13,1.3972743247120462e-15,1.0782520814008796e-15,1.8174214570260663e-22,6.226683382998471e-30
8.639089569351121e-17,0.13078664456020075,0.46346346346346345,0.0,0.0,0.0,0.07307307307153808,0.0,2.8042192815124566e-19,1.3934990074734662e-23,2.3015275701167673e-24,7.019282508868701e-21,7.713867052106973e-30,1.95015895560186e-19,9.387161944624645e-26,0.0,0.46346346346346345,4.951651122124045e-15,1.0442041188477865e-12,1.0442042331060505e-12,9.71676358569188e-13,2.7948518070600477e-15,2.1567378476500717e-15,7.270867968913623e-22,4.971286312687173e-29
1.7279116641639771e-16,0.1307866445604015,0.46346346346346345,0.0,0.0,0.0,0.07307307307000292,0.0,1.1217788548390957e-18,5.57444990284792e-23,9.20685792710543e-24,2.807941029747901e-20,6.171678573595174e-29,7.801269312652851e-19,3.755169984713429e-25,0.0,0.46346346346346345,9.903891762545019e-15,2.088521419742107e-12,2.088521876812327e-12,1.9434577606255265e-12,5.590006363357682e-15,4.31370829517017e-15,2.9085828579838646e-21,3.959907177635891e-28
3.455917078621707e-16,0.13078664456080308,0.46346346346346345,0.0,0.0,0.0,0.0730730730669326,0.0,4.4872968144323665e-18,2.2298708700490794e-22,3.6828917351489943e-23,1.1232217265492736e-19,4.937575617082923e-28,3.120633596416194e-18,1.5021288017398391e-24,0.0,0.46346346346346345,1.9808529566241524e-14,4.177155620567126e-12,4.1771574489221426e-12,3.887019359912603e-12,1.1180313842360197e-14,8.627644850301935e-15,1.1634796610862582e-20,3.1404303475356992e-27
6.911927907537167e-16,0.1307866445616062,0.46346346346346345,0.0,0.0,0.0,0.07307307306079196,0.0,1.7949542887243424e-17,8.919666349954132e-22,1.4731856311702226e-22,4.492975199389107e-19,3.9501516361338005e-27,1.2482779483182519e-17,6.008634939290348e-24,0.0,0.46346346346346345,3.961843126497541e-14,8.354422418363299e-12,8.354429731930083e-12,7.774137739190323e-12,2.236092226599996e-14,1.725550060096947e-14,4.654006766755911e-20,2.4692722928055935e-26
1.382394956536809e-15,0.13078664456321243,0.46346346346346345,0.0,0.0,0.0,0.07307307304851067,0.0,7.179882547751485e-17,3.5679039532212e-21,5.892794189176282e-22,1.7972058683726682e-18,3.160154625091471e-26,4.993155493470255e-17,2.4034764139595536e-23,0.0,0.46346346346346345,7.924073902718798e-14,1.6708949598545093e-11,1.6708978853093277e-11,1.5548355220607888e-11,4.4722112975864405e-14,3.451114266422232e-14,1.861616441329434e-19,1.9097628222942668e-25
2.7647992881029935e-15,0.13078664456642491,0.46346346346346345,0.0,0.0,0.0,0.0730730730239481,0.0,2.871961510797402e-16,1.4271697351390447e-20,2.357123040439481e-21,7.188840089483508e-18,2.5281320005844776e-25,1.997266681685832e-16,9.613938465066624e-23,0.0,0.46346346346346345,1.5849537200564265e-13,3.341797829730589e-11,3.341809531596139e-11,3.109671307527414e-11,8.944438984630089e-14,6.902214904081326e-14,7.446462710537541e-19,1.4322852002755062e-24
4.147203619669178e-15,0.1307866445696374,0.46346346346346345,0.0,0.0,0.0,0.07307307299938552,0.0,6.102918357486243e-16,3.032741539627332e-20,5.008884236931289e-21,1.5276278743690173e-17,7.228877449286309e-25,4.24418971354052e-16,2.042962616822839e-22,0.0,0.46346346346346345,2.3776002243317713e-13,5.012698133450332e-11,5.012722999932372e-11,4.664499382215416e-11,1.3416656216781293e-13,1.0353287766990354e-13,1.5823697574381147e-18,3.949489923376536e-24
5.5296079512353624e-15,0.13078664457284994,0.46346346346346345,0.0,0.0,0.0,0.07307307297482295,0.0,1.041085478131019e-15,5.173506397285129e-20,8.544558673465997e-21,2.605950873990977e-17,1.5247787952429915e-24,7.240080921137125e-16,3.4850528964497785e-22,0.0,0.46346346346346345,3.170346903048418e-13,6.683595871017673e-11,6.683638290313277e-11,6.219319746163061e-11,1.788886299407685e-13,1.3804332855390727e-13,2.6993295319102724e-18,8.066613250397658e-24
8.29441661436773e-15,0.130786644579275,0.46346346346346345,0.0,0.0,0.0,0.07307307292569781,0.0,2.1554320308904568e-15,1.0711103271014932e-19,1.7690384396539374e-20,5.3952785354808747e-17,4.1646378025224494e-24,1.4989634238376097e-15,7.215352089899428e-22,0.0,0.46346346346346345,4.756075363608781e-13,1.0025385323562015e-10,1.0025473147287643e-10,9.328942377541512e-11,2.6833252011875987e-13,2.0706357847868996e-13,5.588591721963413e-18,2.0915400831421273e-23
1.10592252775001e-14,0.13078664458570008,0.46346346346346345,0.0,0.0,0.0,0.07307307287657268,0.0,3.665819051336283e-15,1.821680077825433e-19,3.0086638426127244e-20,9.17593394591304e-17,8.713801966442506e-24,2.5493379729049926e-15,1.2271408684233474e-21,0.0,0.46346346346346345,6.342172200906558e-13,1.3367165339481484e-10,1.336731470453065e-10,1.2438536654095446e-10,3.5777602583747775e-13,2.7608280705578345e-13,9.50468449185414e-18,4.1821993721883165e-23
1.3824033940632468e-14,0.13078664459212527,0.46346346346346345,0.0,0.0,0.0,0.07307307282744754,0.0,5.6005324616368815e-15,2.7831181470114577e-19,4.59654652463095e-20,1.4018717480068801e-16,1.5863116169916402e-23,3.8948020515664195e-15,1.8747912578988698e-21,0.0,0.46346346346346345,7.928663727235019e-13,1.6708935244757782e-10,1.6709163440601164e-10,1.5548100550736014e-10,4.472191196380047e-13,3.4510094134791713e-13,1.4520936432405236e-17,7.27913160910718e-23
1.9353651266897206e-14,0.13078664460497583,0.46346346346346345,0.0,0.0,0.0,0.07307307272919726,0.0,1.076957398938199e-14,5.351847428885714e-19,8.838939588789476e-20,2.695732633664665e-16,4.1883088450973134e-23,7.489517739320887e-15,3.605143868476685e-21,0.0,0.46346346346346345,1.1102855636813138e-12,2.33924440884675e-10,2.3392882899941746e-10,2.1767135297720733e-10,6.261040456268466e-13,4.831338584500325e-13,2.7922915019680685e-17,1.7216512673222962e-22
3.041288591942668e-14,0.13078664463067752,0.46346346346346345,0.0,0.0,0.0,0.0730730725326967,0.0,2.6274217772779252e-14,1.3056933305148999e-18,2.156403002361856e-19,6.57667889851896e-16,1.619532407921103e-22,1.827189233151446e-14,8.795385815928546e-21,0.0,0.46346346346346345,1.7456045296801679e-12,3.6759338667121446e-10,3.6760409228288213e-10,3.420483489272042e-10,9.838688821154439e-13,7.591863693416185e-13,6.812173938516077e-17,5.383090238483063e-22
4.1472120571956155e-14,0.1307866446563802,0.46346346346346345,0.0,0.0,0.0,0.07307307233619613,0.0,4.867339117196487e-14,2.4188486399797426e-18,3.994756839066715e-19,1.2183361068740664e-15,4.019234688038465e-22,3.3848846063502926e-14,1.6293622379266327e-20,0.0,0.46346346346346345,2.3815648236519805e-12,5.012606896100818e-10,5.012805220139245e-10,4.664204087847882e-10,1.341627025664748e-12,1.0352211013900022e-12,1.2619493826454206e-16,1.1431428117550476e-21
6.35905898770151e-14,0.13078664470778825,0.46346346346346345,0.0,0.0,0.0,0.07307307194319501,0.0,1.1414803731063875e-13,5.6728051271706474e-18,9.368373239198664e-19,2.8572028394823233e-15,1.4597541816173047e-21,7.93811762553303e-14,3.821171483516786e-20,0.0,0.46346346346346345,3.655408802669275e-12,7.685903685337909e-10,7.686368796391404e-10,7.15149725692376e-10,2.0571232409648922e-12,1.5872372513831735e-12,2.959423397639331e-16,3.114902200701329e-21
1.0782752848713299e-13,0.1307866448106156,0.46346346346346345,0.0,0.0,0.0,0.07307307115719278,0.0,3.2779433282209673e-13,1.629133258361537e-17,2.6902391867740097e-18,8.204800740372913e-15,7.294236562266804e-21,2.2795224700250707e-13,1.0973212199575827e-19,0.0,0.46346346346346345,6.21079011219667e-12,1.3032300195637376e-09,1.3033635865017115e-09,1.2125491557604343e-09,3.488035391959107e-12,2.6910563394742272e-12,8.497994097247647e-16,1.0145502104364328e-20
1.963014057073688e-13,0.13078664501631468,0.46346346346346345,0.0,0.0,0.0,0.07307306958518832,0.0,1.085814054313151e-12,5.3971361885438466e-17,8.911114870394742e-18,2.7177512876414587e-14,4.521273844604466e-20,7.550649035614066e-13,3.6349338827070723e-19,0.0,0.4634634634634634,1.1352324914751969e-11,2.3724305011518465e-09,2.3728729591702467e-09,2.2071112575627273e-09,6.349538631666899e-12,4.8978420140647325e-12,2.8146393774912894e-15,3.6592590850248945e-20
2.847752829276046e-13,0.13078664522207298,0.46346346346346345,0.0,0.0,0.0,0.07307306801318392,0.0,2.2847313671864177e-12,1.1357639204166363e-16,1.8749977286869567e-17,5.71845701719378e-14,1.3293030987284004e-19,1.5887382640563078e-12,7.648629805806547e-19,0.0,0.46346346346346334,1.653488838406551e-11,3.4415258958840255e-09,3.4424569352321613e-09,3.2013577500747472e-09,9.210613854304828e-12,7.1034914511572355e-12,5.921912251817585e-15,7.954816848583561e-20
3.732491601478404e-13,0.13078664542789056,0.46346346346346345,0.0,0.0,0.0,0.0730730664411795,0.0,3.924445459833419e-12,1.9510785339163299e-16,3.220573967461046e-17,9.822269028185202e-14,2.911265392030054e-19,2.728878975109879e-12,1.3138143208072418e-18,0.0,0.4634634634634633,2.175847921706001e-11,4.510516213768308e-09,4.512115502710767e-09,4.195288729225747e-09,1.2071261152378008e-11,9.308005254143742e-12,1.0171056225003393e-14,1.3900346640208064e-19
4.617230373680762e-13,0.13078664563376732,0.46346346346346345,0.0,0.0,0.0,0.07307306486917513,0.0,6.004852674123311e-12,2.985672505072312e-16,4.927728327416151e-17,1.5028849426496153e-13,5.411726371188334e-19,4.175390927642893e-12,2.0103201170883707e-18,0.0,0.46346346346346323,2.7023096116344182e-11,5.579401465023911e-09,5.581848649315675e-09,5.188904293776138e-09,1.4931480620989655e-11,1.151138404512093e-11,1.556149218929544e-14,2.1494929585665175e-19
