Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145)
1.350004739557472e-17,0.13078664456003136,0.46346346346346345,0.0,0.0,0.0,0.07307307307283319,2.517983420347345e-44,6.850334164898734e-21,3.4041319633479916e-25,5.622325492759776e-26,1.71471735282422e-22,2.946378988886946e-32,4.763997984428585e-21,2.293158929673737e-27,0.0,0.46346346346346345,7.737764231328055e-16,1.6317466941913527e-13,1.6317467233382657e-13,1.518409902061202e-13,4.367431852226241e-16,3.3702707904682934e-16,1.7761765199917375e-23,1.9059032940944147e-31,1.8640950502281117e-36,8.638053994097933e-45,1.567695180254302e-32,1.2713438784466923e-33,7.6436751319633e-43,3.8967238011012435e-22,1.2349502445951873e-22,1.3236483304998884e-30,1.294612542473291e-35,1.9612929067630942e-26,4.34334190625665e-36,1.0610438904677936e-75,2.002159503272178e-83
2.701182376369121e-17,0.1307866445600628,0.46346346346346345,0.0,0.0,0.0,0.07307307307259311,4.032054153763044e-43,2.741918852898633e-20,1.3625399361152495e-24,2.2503953579347756e-25,6.863338211750051e-22,2.3588946496962075e-31,1.906840670310448e-20,9.178613157742007e-27,0.0,0.46346346346346345,1.5482266295052702e-15,3.264911030682093e-13,3.264911147345703e-13,3.0381389074432794e-13,8.738658038628108e-16,6.743469312357749e-16,7.109334498348452e-23,1.5248092539198605e-30,2.9829508722449455e-35,2.7622201132554685e-43,1.2550964051211072e-31,1.0178354827160217e-32,1.2239651549298194e-41,1.559704957901102e-21,4.943019249940518e-22,1.0589788606056281e-29,2.0716571129413197e-34,7.849988196810401e-26,3.4773144533622993e-35,1.360866857203235e-73,5.132532076345616e-81
5.403537649992419e-17,0.13078664456012556,0.46346346346346345,0.0,0.0,0.0,0.07307307307211296,6.453912475082976e-42,1.097124643279835e-19,5.45193460200487e-24,9.0045122314497e-25,2.7462293703819825e-21,1.8878325303963112e-30,7.629845998754114e-20,3.6726418685639076e-26,0.0,0.46346346346346345,3.097131600490605e-15,6.5312395982983e-13,6.531240065104692e-13,6.077596600137864e-13,1.748111001191158e-15,1.348986517771562e-15,2.844659488080524e-22,1.2185980651351983e-29,4.768178591957694e-34,8.815494054284078e-42,1.0044378224723468e-30,8.145574790655686e-32,1.959081287490973e-40,6.2408508166311146e-21,1.977851476782964e-21,8.463154875390779e-29,3.311496676588108e-33,3.140781969386616e-25,2.782908374414935e-34,1.7436067798695353e-71,1.3135039082903565e-78
1.0808248197239015e-16,0.13078664456025116,0.46346346346346345,0.0,0.0,0.0,0.07307307307115264,1.0328361066006997e-40,4.389212582923677e-19,2.1811289031429154e-23,3.602390850352423e-24,1.0986706474626809e-20,1.5105526830903395e-29,3.0524348591916715e-19,1.4692967240312654e-25,0.0,0.46346346346346345,6.1949597754235655e-15,1.3063896312069652e-12,1.3063898179599098e-12,1.2156510713249014e-12,3.496601236039771e-15,2.6982652194748964e-15,1.1380487525220724e-21,9.723338043744471e-29,7.609963517959438e-33,2.8041786459446652e-40,8.03669661217007e-30,6.517373465600884e-31,3.1349756726297504e-39,2.4967462065613984e-20,7.91269315782858e-21,6.7528523508806775e-28,5.285115167785108e-32,1.2563286580162998e-24,2.2267494964805254e-33,2.2327689264072023e-69,3.3552877603609296e-76
2.1617669291732206e-16,0.13078664456050235,0.46346346346346345,0.0,0.0,0.0,0.07307307306923203,1.6527058541779583e-39,1.7558276083515938e-18,8.725226109949861e-23,1.4410733114990304e-23,4.3950408675068595e-20,1.2085566194084674e-28,1.2210730230288142e-18,5.877671852249349e-25,0.0,0.46346346346346345,1.2390689057144027e-14,2.6129208053768313e-12,2.612921552449338e-12,2.4314333850361385e-12,6.9935810665048596e-15,5.396820737410021e-15,4.552563299108118e-21,7.736081328384649e-28,1.2111541314472408e-31,8.864645323586478e-39,6.429436484165171e-29,5.2138756597951556e-30,5.01585645147911e-38,9.987793644113008e-20,3.16533434446682e-20,5.372705381172469e-27,8.411461022647312e-31,5.0242149806469524e-24,1.7815687052940945e-32,2.8582093248525892e-67,8.546018049606157e-74
4.323651148071859e-16,0.13078664456100475,0.46346346346346345,0.0,0.0,0.0,0.07307307306539079,2.6444637604817144e-38,7.023593698312365e-18,3.49023280621637e-22,5.764525368681189e-23,1.758088367844715e-19,9.668907626243225e-28,4.8844885005980674e-18,2.351169706226288e-24,0.0,0.46346346346346345,2.478243934804607e-14,5.225982479379123e-12,5.2259854677901866e-12,4.862995976816357e-12,1.3987538170507972e-14,1.0793924231405439e-14,1.8210976629110987e-20,6.120940688654859e-27,1.9172704515142295e-30,2.7685425691758036e-37,5.142943482602236e-28,4.1704700974465555e-29,8.023812100021225e-37,3.995276827142601e-19,1.2661848492106948e-19,4.2509934020084956e-26,1.3315444927893036e-29,2.0085618150738172e-23,1.4253225657337948e-31,6.402289778503595e-65,3.783171519079731e-71
8.647419585869135e-16,0.1307866445620095,0.46346346346346345,0.0,0.0,0.0,0.07307307305770831,4.231249281188455e-37,2.809492616818806e-17,1.3961218016026877e-21,2.3058551101407825e-22,7.032500416302292e-19,7.735302781841545e-27,1.9538332768072236e-17,9.404912454519916e-24,0.0,0.46346346346346345,4.956710684003829e-14,1.0452103130035333e-11,1.0452115083918303e-11,9.72611301782146e-12,2.7975442150817802e-14,2.1588101051987597e-14,7.284524870763564e-20,4.7911395434196806e-26,3.003591634011672e-29,8.445463199328011e-36,4.1130932446249434e-27,3.3351318914339183e-28,1.28321420483158e-35,1.5981406854476638e-18,5.064839214854397e-19,3.327450478718291e-25,2.0859973434068116e-28,8.024779074246167e-23,1.140285023244952e-30,8.216280414402366e-63,9.531378468711255e-69
1.729495646146369e-15,0.13078664456401903,0.46346346346346345,0.0,0.0,0.0,0.07307307304234337,6.770083889906973e-36,1.1238068611277014e-16,5.584546214451667e-21,9.223498665139596e-22,2.8130318740564215e-18,6.188304590904202e-26,7.815397614418249e-17,3.762036952957499e-23,0.0,0.46346346346346345,9.914110946752464e-14,2.0904333641965407e-11,2.0904381457947804e-11,1.9452314529719888e-11,5.5951209200747065e-14,4.3176334024242645e-14,2.9138285159798324e-19,3.673982382652801e-25,4.612793857452609e-28,2.4639204090495403e-34,3.2883409842500566e-26,2.6660266545781556e-27,2.0511636807932e-34,6.392607292510415e-18,2.0259537935546697e-18,2.5515900179294957e-24,3.203598092924444e-27,3.2022646955636426e-22,9.12238699570159e-30,1.050078673636868e-60,2.3425549898384728e-66
3.4590030212652795e-15,0.13078664456803812,0.46346346346346345,0.0,0.0,0.0,0.07307307301161346,1.083220000086417e-34,4.495237367867315e-16,2.2338316068776446e-20,3.6894057498353455e-21,1.1252209422085749e-17,4.950655326551706e-25,3.126162950009268e-16,1.5048491943029166e-22,0.0,0.46346346346346345,1.9830778531849963e-13,4.180875150838522e-11,4.180894277300053e-11,3.8904587273946096e-11,1.1190257965860484e-13,8.63523172989186e-14,1.1655286359555496e-18,2.7132749006705093e-24,6.83083382090604e-27,6.631408521054461e-33,2.627218773677687e-25,2.1294790440509577e-26,3.275502336618764e-33,2.5570395400716042e-17,8.103837492165833e-18,1.8843853484252453e-23,4.7440570467280664e-26,1.2748096749640299e-21,7.297950755363962e-29,1.3399057099794937e-58,5.550770656827687e-64
5.18851039638419e-15,0.13078664457205727,0.46346346346346345,0.0,0.0,0.0,0.07307307298088356,3.986974074230726e-34,9.552374690163557e-16,4.7469018529387893e-20,7.839980638395906e-21,2.391101701224778e-17,1.4155772538401493e-24,6.643088587073933e-16,3.1978483806700247e-22,0.0,0.46346346346346345,2.9749313178747107e-13,6.271312621745379e-11,6.271353265494764e-11,5.835672973947813e-11,1.6785378647522268e-13,1.2952781790956343e-13,2.4767394513399425e-18,7.419053337070653e-24,2.4247444434526872e-26,2.825042295530286e-32,7.506524401967624e-25,6.083505198073086e-26,1.2044794252166546e-32,5.43369308916156e-17,1.7220653859197672e-17,5.152590895549773e-23,1.6840044591870353e-25,2.7000605259282875e-21,2.0867606490061093e-28,6.911472290075476e-58,3.328670057872743e-63
