Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157)
1.3869980201004276e-17,0.13078664456003225,0.46346346346346345,0.0,0.0,0.0,0.07307307307282662,2.8055309092680735e-44,7.230908280715524e-21,3.593250406361899e-25,5.934676904726889e-26,1.8099794288341343e-22,3.195289794271888e-32,5.028664534988836e-21,2.420556657341236e-27,0.0,0.46346346346346345,7.94979724348205e-16,1.6764603613348327e-13,1.676460392101019e-13,1.5600178755949658e-13,4.487109675940504e-16,3.4626240702378157e-16,1.8748529902087285e-23,2.066874641898662e-31,2.0769313747189653e-36,9.887812190497385e-45,1.700133966121532e-32,1.3787468464563245e-33,8.516560381165935e-43,4.1132084510775105e-22,1.3035585907823983e-22,1.4354428057203563e-30,1.4424272036117833e-35,2.0702514945050228e-26,4.710268478033724e-36,1.2820853727280275e-75,2.485483990924836e-83,2.373327748908852e-54,1.3154580324392381e-82
2.775201077577137e-17,0.1307866445600645,0.46346346346346345,0.0,0.0,0.0,0.07307307307257997,4.4925047810252545e-43,2.894247674492671e-20,1.438236599717681e-24,2.3754173188240273e-25,7.244634785898673e-22,2.5581746348956743e-31,2.0127762597987804e-20,9.688536185819113e-27,0.0,0.46346346346346345,1.5906517379457037e-15,3.354377210687799e-13,3.354377333832722e-13,3.121390998035466e-13,8.97811765591911e-16,6.928256087511774e-16,7.504297501094666e-23,1.653561827880717e-30,3.3234726323588603e-35,3.161725492121459e-43,1.3611264817226732e-31,1.103821717990493e-32,1.3637378077615517e-41,1.6463552288242482e-21,5.217631424614654e-22,1.1483974271007417e-29,2.3081492216028226e-34,8.286081606048836e-26,3.7710788167676897e-35,1.6443679160515175e-73,6.371356393314425e-81,7.60094596506164e-53,1.6868997574088643e-80
5.551607192530557e-17,0.130786644560129,0.46346346346346345,0.0,0.0,0.0,0.07307307307208666,7.190933339646965e-42,1.1580760094962561e-19,5.754819861552629e-24,9.5047628834406e-25,2.8987976742017585e-21,2.0473170717522774e-30,8.053726305554657e-20,3.876677587837121e-26,0.0,0.46346346346346345,3.18200057661669e-15,6.710210798174834e-13,6.710211290914915e-13,6.244136907176365e-13,1.7960133194160492e-15,1.3859518878170829e-15,3.002696106357678e-22,1.3214438751844504e-29,5.31229735561514e-34,1.0089642694442469e-41,1.0892917387784173e-30,8.833702881023813e-32,2.182799865863188e-40,6.5875647147482475e-21,2.0877321096846053e-21,9.177418330673893e-29,3.689386791488852e-33,3.315256216419962e-25,3.0180091444004636e-34,2.106839382879784e-71,1.6304500617275962e-78,2.433265978652086e-51,2.1612667746137977e-78
1.1104419422437395e-16,0.13078664456025807,0.46346346346346345,0.0,0.0,0.0,0.07307307307110003,1.150783438322922e-40,4.633057703577661e-19,2.3023027342005476e-23,3.802523653340567e-24,1.1597079100277514e-20,1.6381645281544647e-29,3.222014552416333e-19,1.5509243677314024e-25,0.0,0.46346346346346345,6.364717499863343e-15,1.3421877528273337e-12,1.3421879499554415e-12,1.2489627382498052e-12,3.592416258378019e-15,2.7722039483935396e-15,1.2012736672708027e-21,1.0543150203334524e-28,8.477743661737697e-33,3.2089404307125903e-40,8.715618946187087e-30,7.0679434967172935e-31,3.492970418367297e-39,2.6354543002305416e-20,8.352287184675113e-21,7.3222114566161255e-28,5.887788017498394e-32,1.3261137834766188e-24,2.4148658297442132e-33,2.697899092705362e-69,4.164452410336251e-76,7.787705953069746e-50,2.7679306123665545e-76
2.2210043882251073e-16,0.1307866445605161,0.46346346346346345,0.0,0.0,0.0,0.07307307306912678,1.8414407773814454e-39,1.8533735683182e-18,9.209960918680313e-23,1.5211329222888364e-23,4.6392098395705325e-20,1.3106557581242815e-28,1.2889103962555812e-18,6.204209560530655e-25,0.0,0.46346346346346345,1.2730228329981193e-14,2.684520920896832e-12,2.684521709473362e-12,2.4980602961303293e-12,7.185221461556936e-15,5.5447060793265716e-15,4.805483355052791e-21,8.387066838012459e-28,1.3490663733623571e-31,1.0140804066519947e-38,6.972565255861608e-29,5.654314344723756e-30,5.588617334231424e-38,1.0542670837423316e-19,3.3411862226806226e-20,5.824814652252162e-27,9.369261206219959e-31,5.3032507876458646e-24,1.9320760570717768e-32,3.453615963701493e-67,1.0604658244588632e-73,2.4920831604397507e-48,3.544965218369648e-74
4.442129280187843e-16,0.13078664456103228,0.46346346346346345,0.0,0.0,0.0,0.07307307306518028,2.9464549778092367e-38,7.413793202010604e-18,3.6841346486603624e-22,6.08477663703136e-23,1.8557599718134586e-19,1.0485739018095536e-27,5.155848837315199e-18,2.481790551609116e-24,0.0,0.46346346346346345,2.546155792476167e-14,5.369186545235207e-12,5.369189699669071e-12,4.996253263157982e-12,1.437082916893628e-14,1.1089702380325411e-14,1.922269653806951e-20,6.634030341173213e-27,2.1349695153590472e-30,3.1650285936827275e-37,5.5773700847510485e-28,4.5227432075123055e-29,8.939991613583077e-37,4.2172364657740613e-19,1.3365284283631648e-19,4.6073343249208763e-26,1.4827365639251023e-29,2.1200788605062624e-23,1.5457341563854791e-31,7.735880104205421e-65,4.692451793278899e-71,7.97351942783431e-47,6.549892413385086e-72
8.884379064113312e-16,0.13078664456206457,0.46346346346346345,0.0,0.0,0.0,0.07307307305728729,4.714447455551962e-37,2.965575423006429e-17,1.4736841398154475e-21,2.4339580589959965e-22,7.423195107572426e-19,8.388782615623868e-27,2.0623794615301528e-17,9.927410033874368e-24,0.0,0.46346346346346345,5.0925448852874433e-14,1.0738514946710974e-11,1.0738527564698295e-11,9.992630602294561e-12,2.874203378779392e-14,2.2179663138952526e-14,7.689219890908368e-20,5.189750673636036e-26,3.34276395710271e-29,9.642752803228574e-36,4.460487598091282e-27,3.616806074322274e-28,1.429715765931492e-35,1.6869261310015251e-18,5.346218986685578e-19,3.6042864840985766e-25,2.3215530193433485e-28,8.470043608647989e-23,1.2366165715627518e-30,9.927508815772245e-63,1.1812273883033535e-68,2.550591699473712e-45,8.4574766922971e-70
1.7768878631964253e-15,0.1307866445641292,0.46346346346346345,0.0,0.0,0.0,0.0730730730415013,7.54321061030849e-36,1.186240482058823e-16,5.894798909134476e-21,9.73591435508565e-22,2.9693116013740592e-18,6.711093397394296e-26,8.249585503303469e-17,3.9710409503654134e-23,0.0,0.46346346346346345,1.0185815766628879e-13,2.1477160360870675e-11,2.1477210833294464e-11,1.998535090101163e-11,5.748439984200819e-14,4.4359457283511115e-14,3.075707241776746e-19,3.9753126139320916e-25,5.128268235985453e-28,2.806604429244044e-34,3.5660117798067314e-26,2.8911280792507725e-27,2.2852793108218766e-34,6.747750957428775e-18,2.1385066404228873e-18,2.760864986800675e-24,3.561596973310771e-27,3.3797250775703185e-22,9.893048366109213e-30,1.2687270452869024e-60,2.8985322546935214e-66,8.155598086912694e-44,1.1084913385035151e-67
3.553787776766613e-15,0.13078664456825842,0.46346346346346345,0.0,0.0,0.0,0.07307307300992934,1.20692100549931e-34,4.744972028586166e-16,2.357933464586146e-20,3.894372013888769e-21,1.187733359464629e-17,5.368886829575743e-25,3.2998379754781044e-16,1.5884534671357275e-22,0.0,0.46346346346346345,2.037432831457256e-13,4.295440563411932e-11,4.2954607524529994e-11,3.997065398117191e-11,1.1496895921725765e-13,8.871853608813912e-14,1.230279729391456e-18,2.9301182283190126e-24,7.579921967876101e-27,7.522619600914606e-33,2.8489609116638086e-25,2.3091794577813445e-26,3.649168546634797e-33,2.6990963445684855e-17,8.55404963279132e-18,2.034984852294777e-23,5.264304928644081e-26,1.3452810525865072e-21,7.914483274876827e-29,1.61876447087591e-58,6.848719097128469e-64,2.6057204586969658e-42,1.539581368702559e-65
5.330687690336801e-15,0.13078664457238764,0.46346346346346345,0.0,0.0,0.0,0.07307307297835737,4.442276471839804e-34,1.0083060032407104e-15,5.0106189136417255e-20,8.275533054396492e-21,2.5239410921077296e-17,1.5351651740666117e-24,7.01214707980093e-16,3.3755110012574604e-22,0.0,0.46346346346346345,3.0564811650162277e-13,6.443160535239384e-11,6.443203436970097e-11,5.995581954500882e-11,1.7245334586015324e-13,1.3307710541457113e-13,2.6143346816046787e-18,8.003542750622072e-24,2.688350615937503e-26,3.199513990564526e-32,8.139920348648714e-25,6.596713686768069e-26,1.3418513696167186e-32,5.735562217545027e-17,1.8177353953730665e-17,5.558525318418009e-23,1.867081702372659e-25,2.8490643536273814e-21,2.263050649792901e-28,8.349811906946841e-58,4.1035435373226893e-63,1.1889225067471744e-41,8.728959880633588e-65
