Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182)
2.88266772397593e-17,0.130786644560067,0.46346346346346345,0.0,0.0,0.0,0.07307307307256088,5.2298480161164615e-43,3.1227409063648954e-20,1.5517815951918642e-24,2.5629502596574767e-25,7.816579648114944e-22,2.8670190434191666e-31,2.1716796435503083e-20,1.0453420738824261e-26,0.0,0.46346346346346345,1.6522481271506945e-15,3.4842718205704414e-13,3.484271953437331e-13,3.242263463962152e-13,9.3257854958778e-16,7.196545243430697e-16,8.096742001587017e-23,1.853090148017298e-30,3.8687362998059193e-35,3.8227094872721665e-43,1.5254518951679863e-31,1.2370831608521484e-32,1.5875626444461136e-41,1.776330634552124e-21,5.629549685771315e-22,1.2869696969433985e-29,2.6868344336471473e-34,8.940219240587084e-26,4.226355251962131e-35,2.1453552153594935e-73,8.633948200160879e-81,9.191108279626279e-53,2.2008498652672794e-80,2.1616023112543653e-87,2.048914483217736e-88,1.2023377535052905e-91
5.766587149091233e-17,0.130786644560134,0.46346346346346345,0.0,0.0,0.0,0.07307307307204847,8.371162699954767e-42,1.2495030584056617e-19,6.209147751438758e-24,1.0255138857421988e-24,3.127650130726353e-21,2.2944864433805283e-30,8.68954676190622e-20,4.182731175459949e-26,0.0,0.46346346346346345,3.3052206075404137e-15,6.970056408584463e-13,6.970056940225076e-13,6.485934288483981e-13,1.8655619792718494e-15,1.4396213554609865e-15,3.239751030872677e-22,1.4808143543919655e-29,6.18352275987059e-34,1.219746485089353e-41,1.2207982167017587e-30,9.90016240724133e-32,2.541050986017655e-40,7.107635556667195e-21,2.2525530583545183e-21,1.028424523845859e-28,4.294452252141084e-33,3.576965603143359e-25,3.382368657595527e-34,2.748722829678834e-71,2.2093351587177275e-78,2.9423166437655114e-51,2.819747606836362e-78,5.530810203860324e-85,5.245332316556222e-86,6.152772449603212e-89
1.153442599932184e-16,0.13078664456026806,0.46346346346346345,0.0,0.0,0.0,0.07307307307102363,1.3396585582820482e-40,4.99882538123619e-19,2.4840634812386725e-23,4.10272285461821e-24,1.2512638045113565e-20,1.8359375482226563e-29,3.4763840891733383e-19,1.67336584025031e-25,0.0,0.46346346346346345,6.611186333638121e-15,1.394162510461519e-12,1.3941627231523713e-12,1.2973274488544389e-12,3.731528656636343e-15,2.8795544808607967e-15,1.296111037075964e-21,1.181337675580059e-28,9.867046884375955e-33,3.878370254393774e-40,9.767809852241262e-30,7.921213914186066e-31,4.0662428200161964e-39,2.843516436528052e-20,9.011678219504959e-21,8.204383128846875e-28,6.852658382200887e-32,1.4307898849161475e-24,2.7064087948443553e-33,3.5198473990413535e-69,5.642418807506819e-76,9.416912692200432e-50,3.6112698503620595e-76,1.4124446838346577e-82,1.3410659208068943e-83,3.1425715039029182e-86
2.307010369978305e-16,0.1307866445605361,0.46346346346346345,0.0,0.0,0.0,0.07307307306897397,2.143671704641454e-39,1.9996925056099023e-18,9.937063135389736e-23,1.641222335909642e-23,5.0054633027535376e-20,1.4688891477982261e-28,1.3906664536315083e-18,6.694016178659174e-25,0.0,0.46346346346346345,1.3223200847113136e-14,2.7884760576687636e-12,2.7884769085013294e-12,2.5947949092734787e-12,7.46346128335098e-15,5.7594185843180434e-15,5.184863420473283e-21,9.395460912728848e-28,1.5698119879940942e-31,1.22503834527149e-38,7.814300757755651e-29,6.33690075839559e-30,6.505799254114917e-38,1.1374986593735964e-19,3.604964035682767e-20,6.525144099904412e-27,1.0902339003266993e-30,5.7217918127127166e-24,2.1653325681021118e-32,4.5057739661974614e-67,1.4365192889092353e-73,3.013421470116026e-48,4.625175205495277e-74,3.595988411415404e-80,3.4225218524365374e-81,1.6001644569054658e-83
4.614145910070548e-16,0.13078664456107225,0.46346346346346345,0.0,0.0,0.0,0.07307307306487465,3.430049031213687e-38,7.999092436291314e-18,3.9749874152174797e-22,6.565153519044441e-23,2.0022673818352e-19,1.1751665439708317e-27,5.5628893226761984e-18,2.6777218641734816e-24,0.0,0.46346346346346345,2.6447562119233793e-14,5.577102384087861e-12,5.577105787555931e-12,5.189727511741471e-12,1.4927323624724663e-14,1.151913820187682e-14,2.0740276254283784e-20,7.428432623871414e-27,2.4832693675368595e-30,3.819814139075278e-37,6.250635058235338e-28,5.068686840606663e-29,1.0407086569831623e-36,4.550175896797763e-19,1.4420437936893169e-19,5.159046986665653e-26,1.7246309385799446e-29,2.2873442954543356e-23,1.7323482130374706e-31,1.0092457899899016e-64,6.353747654012749e-71,9.641488844619086e-47,8.546890672490769e-72,1.3652513081462748e-77,1.2541595450290412e-78,1.2142493439272884e-80
9.228416990255033e-16,0.13078664456214453,0.46346346346346345,0.0,0.0,0.0,0.07307307305667601,5.4882175354270614e-37,3.1996996152741734e-17,1.5900276494475376e-21,2.6261124658687195e-22,8.009237177002468e-19,9.401546525700858e-27,2.22519872284245e-17,1.0711156757603539e-23,0.0,0.46346346346346345,5.289761364457532e-14,1.1154351964946178e-11,1.1154365579089984e-11,1.0379583443213753e-11,2.985503665926407e-14,2.3038543079681713e-14,8.296262304481029e-20,5.806329417350024e-26,3.8849469449081135e-29,1.1616375007604544e-35,4.9988638777460814e-27,4.053329585908452e-28,1.6643065505520525e-35,1.8201042777930803e-18,5.76828861800064e-19,4.032501358326094e-25,2.6980999408148014e-28,9.137859591965207e-23,1.3859113433969736e-30,1.295131568968782e-62,1.5981126978734904e-68,3.084099562633947e-45,1.1041395726425505e-69,3.4271454811582e-75,3.19738689504182e-76,6.10028912943542e-78
1.8456959150624004e-15,0.13078664456428907,0.46346346346346345,0.0,0.0,0.0,0.07307307304027873,8.781258227025415e-36,1.2798908998444541e-16,6.360177969662476e-21,1.0504537758723037e-21,3.203731218331054e-18,7.521312115435231e-26,8.900867210453652e-17,4.284547228279871e-23,0.0,0.46346346346346345,1.0580303262300074e-13,2.2308838838756837e-11,2.2308893295842405e-11,2.075925821243667e-11,5.971041613562669e-14,4.6077215406922476e-14,3.3185252387697593e-19,4.440601327464994e-25,5.950967611986027e-28,3.3695526938987673e-34,3.996320835305061e-26,3.239965860501072e-27,2.6601498330542525e-34,7.280466282491445e-18,2.3073358907002684e-18,3.0840098038272423e-24,4.132964885266917e-27,3.645851391482578e-22,1.108742045653392e-29,1.6550636883479628e-60,3.91545228338892e-66,9.861207142869919e-44,1.4496636167772033e-67,8.437831213521895e-73,8.160260463289791e-74,3.0039742993454203e-75
3.691404347136194e-15,0.13078664456857822,0.46346346346346345,0.0,0.0,0.0,0.07307307300748417,1.405009809614476e-34,5.1195739107763805e-16,2.5440862659519354e-20,4.201821304943915e-21,1.2815020060706174e-17,6.017062409223361e-25,3.560350412739639e-16,1.7138600987333027e-22,0.0,0.46346346346346345,2.116351343175534e-13,4.461776343486252e-11,4.4617981263963784e-11,4.151845937706118e-11,1.194209887184119e-13,9.215401035498101e-14,1.3274062982418538e-18,3.2639312165971262e-24,8.77215155066518e-27,8.978038169276854e-33,3.192576459887084e-25,2.587640286426262e-26,4.2474416026500504e-33,2.912181413462814e-17,9.229367697819689e-18,2.2668208671214972e-23,6.092318539477205e-26,1.450937337626847e-21,8.869986242635243e-29,2.111429537647479e-58,9.2261079667304e-64,3.15047319618191e-42,2.024307585457958e-65,2.0241674793376773e-70,2.1576107198074275e-71,1.4413353370584228e-72
5.537112779209988e-15,0.13078664457286737,0.46346346346346345,0.0,0.0,0.0,0.07307307297468961,5.171375728175075e-34,1.0879087734421807e-15,5.4061945470372307e-20,8.92886137819339e-21,2.7232002375820417e-17,1.7205026290029857e-24,7.565734530262392e-16,3.642005562881861e-22,0.0,0.46346346346346345,3.1748849977653975e-13,6.692663887956085e-11,6.692710176658101e-11,6.227751216892963e-11,1.7913137493218197e-13,1.3823025560366945e-13,2.820727325956851e-18,8.901841945594555e-24,3.1073733833327855e-26,3.809636556082345e-32,9.12140859734478e-25,7.391941681546371e-26,1.5617876187529434e-32,6.188365515954772e-17,1.96124036980203e-17,6.182404506710798e-23,2.158097552273262e-25,3.0724259106021986e-21,2.536265140127943e-28,1.0890926533507773e-57,5.523525356819131e-63,1.4374436473106407e-41,1.1496589331033111e-64,1.2242909938035573e-69,1.414129423476685e-70,1.014089260879999e-71
7.382821211283782e-15,0.13078664457715658,0.46346346346346345,0.0,0.0,0.0,0.07307307294189505,1.3115737820969286e-33,1.8558422049265927e-15,9.222344047374142e-20,1.5231564069370916e-20,4.6454697752564684e-17,3.629034169693352e-24,1.2906229505339106e-15,6.212911926984142e-22,0.0,0.46346346346346345,4.233631290266914e-13,8.923546517296007e-11,8.923625480357331e-11,8.303641658910726e-11,2.388415747778616e-13,1.8430595116004075e-13,4.8118090037247704e-18,1.8010342747831716e-23,7.619462638206491e-26,1.0641575003000493e-31,1.9225608585051407e-24,1.557822464971852e-25,3.957479702894872e-32,1.0556585868848314e-16,3.345643114050441e-17,1.250837073496997e-22,5.291795131042638e-25,5.224290836691187e-21,5.349721506931351e-28,5.931376339525506e-57,3.0504688743386583e-62,4.2820413259844983e-41,5.933727702073888e-64,7.03265589723157e-69,7.567429252544034e-70,6.011348305244327e-71
