Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20)
4.3056042385783475e-13,0.13078664555983827,0.46346346346346345,0.0,0.0,0.0,0.0730730654336216,0.0,5.22180032723833e-12,2.4703999858265156e-16,3.115025929941968e-17,1.3069154522956359e-13,3.4882418042403537e-19,3.617409272864313e-12,1.748156814979896e-18,0.0,0.46346346346346323,1.4415270442906037e-11,5.202926531168145e-09,5.205054577915907e-09,4.8389651475688665e-09,1.3924070620468366e-11
5.955656195848287e-13,0.13078664594338066,0.46346346346346345,0.0,0.0,0.0,0.07307306250592774,0.0,9.989475859837672e-12,4.72682337821552e-16,5.958884336679052e-17,2.500064873879137e-13,8.998436449595122e-19,6.919898459299556e-12,3.344382921500406e-18,0.0,0.46346346346346295,2.0197249924522607e-11,7.1962029539612e-09,7.200274247477414e-09,6.691438786791635e-09,1.9257544624721395e-11
7.605708153118225e-13,0.13078664632712844,0.46346346346346345,0.0,0.0,0.0,0.073073059578234,0.0,1.628912836945979e-11,7.709118618473583e-16,9.716297770482829e-17,4.076501772108636e-13,1.8491619387765466e-18,1.1283253764159469e-11,5.4536140710398405e-18,0.0,0.4634634634634627,2.612194036622557e-11,9.18911401168476e-09,9.195753224096027e-09,8.542816165766694e-09,2.458952521102088e-11
9.255760110388164e-13,0.13078664671108153,0.46346346346346345,0.0,0.0,0.0,0.07307305665054034,0.0,2.4120050404019897e-11,1.1417384455054878e-15,1.438671295990804e-16,6.035995413902682e-13,3.3129694969060346e-18,1.6706822916503934e-11,8.075664094603184e-18,0.0,0.46346346346346234,3.2189333273551256e-11,1.1181659773908822e-08,1.1191491423918993e-08,1.0393097958849664e-08,2.992001307142371e-11
1e-12,0.13078664747960297,0.46346346346346345,0.0,0.0,0.0,0.07307305533003262,0.0,2.815301867827918e-11,1.3327553151229282e-15,1.6791884219451266e-16,7.04509706169133e-13,4.171755374691935e-18,1.9499844719845845e-11,9.42608013413427e-18,0.0,0.46346346346346207,3.497266742765598e-11,1.2080258642924582e-08,1.2091734537749679e-08,1.1227291225749228e-08,3.2323789487247684e-11
1.2555864024928041e-12,0.13078664747960297,0.46346346346346345,0.0,0.0,0.0,0.07307305079515335,0.0,4.4372953706281545e-11,2.1012212452922308e-15,2.646439873726553e-16,1.1103256233684176e-12,8.235713570518965e-18,3.07320678550067e-11,1.4857497236800343e-17,0.0,0.46346346346346134,4.47521935824181e-11,1.5165655682321045e-08,1.5183745167098107e-08,1.409037740807505e-08,4.057651330542657e-11
1.5855967939467918e-12,0.1307866482489444,0.46346346346346345,0.0,0.0,0.0,0.07307304493976675,0.0,7.074271455293247e-11,3.3512072216472863e-15,4.2187663766457633e-16,1.770006299135226e-12,1.65667408117528e-17,4.8990589051874216e-11,2.368844242576878e-17,0.0,0.4634634634634601,5.7885765326624625e-11,1.9148191217630926e-08,1.9177034827959808e-08,1.778328234947777e-08,5.1227050682231825e-11
1.9156071854007797e-12,0.13078664901910506,0.46346346346346345,0.0,0.0,0.0,0.07307303908438056,0.0,1.0322390327481543e-10,4.891772318968944e-15,6.155226344809282e-16,2.582464500465711e-12,2.9197835709255787e-17,7.147738092645143e-11,3.456707051128134e-17,0.0,0.4634634634634586,7.158998354498136e-11,2.3129266914578706e-08,2.317135976192619e-08,2.1471817958116196e-08,6.187163051913694e-11
2.2456175768547676e-12,0.13078664979008417,0.46346346346346345,0.0,0.0,0.0,0.07307303322899475,0.0,1.418111003126141e-10,6.722992380395263e-15,8.455396194040239e-16,3.5475235005000563e-12,4.701905860331843e-17,9.818744757694545e-11,4.749195483479841e-17,0.0,0.46346346346345696,8.586478346266025e-11,2.7108883307322314e-08,2.7166719325151355e-08,2.5155989399041116e-08,7.251025812608252e-11
2.905638359762743e-12,0.1307866513344949,0.46346346346346345,0.0,0.0,0.0,0.07307302151822433,0.0,2.3728185705810573e-10,1.1257700810770535e-14,1.4145173012016658e-15,5.934737586885522e-12,1.0178908834251464e-16,1.6425743868307594e-10,7.947478864253969e-17,0.0,0.46346346346345274,1.16125869920556e-10,3.506374031799083e-08,3.516053976279245e-08,3.25112604202838e-08,9.37696778910542e-11
