Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40)
1.1472834184077156e-17,0.13078664456002667,0.46346346346346345,0.0,0.0,0.0,0.07307307307286921,0.0,4.94746358728894e-21,2.458539748985849e-25,4.0605684239697164e-26,1.2384069271056807e-22,1.8083942898939523e-32,3.440651327778377e-21,1.656170081551776e-27,0.0,0.46346346346346345,6.575833288444597e-16,1.3867180422697861e-13,1.3867180624282872e-13,1.2904002962776358e-13,3.7116033816177407e-16,2.8641794602146577e-16,1.2827941704454477e-23,1.1699114433741571e-31,9.724205510054122e-37,3.829958953931965e-45,9.622070890417095e-33
2.295563607813179e-17,0.13078664456005334,0.46346346346346345,0.0,0.0,0.0,0.07307307307266518,0.0,1.980274746108673e-20,9.840566186694331e-25,1.6252855463195e-25,4.956854975378434e-22,1.4478149811841687e-31,1.3771571582254762e-20,6.62899633784899e-27,0.0,0.46346346346346345,1.3157388936404789e-15,2.774640855071171e-13,2.774640935757708e-13,2.581921633983556e-13,7.426431344230753e-16,5.730847092005156e-16,5.134519496945867e-23,9.360810512212889e-31,1.5562397549420709e-35,1.2250037959017446e-43,7.703439446285734e-32
4.5921239866241054e-17,0.13078664456010672,0.46346346346346345,0.0,0.0,0.0,0.07307307307225713,0.0,7.923678131422763e-20,3.937508308798525e-24,6.503258914121339e-25,1.983387558670612e-21,1.1586919544525418e-30,5.510422203089058e-20,2.652461928151514e-26,0.0,0.46346346346346345,2.6320527879027984e-15,5.550486409851536e-13,5.550486732702779e-13,5.164964096586296e-13,1.4856086980914358e-15,1.1464181589024795e-15,2.0544764065768763e-22,7.482554105229464e-30,2.4881205309596657e-34,3.9113553068522376e-42,6.164984115716333e-31
9.185244744245958e-17,0.13078664456021344,0.46346346346346345,0.0,0.0,0.0,0.07307307307144102,0.0,3.169986987211587e-19,1.5752597514813939e-23,2.6017267895039115e-24,7.934841005051886e-21,9.271295277275354e-30,2.204527490281694e-19,1.0611574302014671e-25,0.0,0.46346346346346345,5.264691635108381e-15,1.1102177236122674e-12,1.1102178527737822e-12,1.0331048170555519e-12,2.971539710011203e-15,2.2930847516819525e-15,8.219241867103812e-22,5.972924081416854e-29,3.972627322656592e-33,1.2453387362183873e-40,4.932750066947043e-30
1.8371486259489666e-16,0.13078664456042693,0.46346346346346345,0.0,0.0,0.0,0.07307307306980881,0.0,1.2680978145653983e-18,6.301552095313465e-23,1.0407752208203126e-23,3.1741941339903265e-20,7.417739173676163e-29,8.818825981529927e-19,4.244974709187146e-25,0.0,0.46346346346346345,1.0530013564241873e-14,2.2205557755506684e-12,2.2205562922387383e-12,2.0663212913550074e-12,5.943401272183029e-15,4.586416710743789e-15,3.287963083236928e-21,4.75613809724345e-28,6.327684364969945e-32,3.9440172638600726e-39,3.946296509399473e-29
3.674396928997708e-16,0.13078664456085384,0.46346346346346345,0.0,0.0,0.0,0.07307307306654438,0.0,5.072596228198219e-18,2.520723617210186e-22,4.1632687330791396e-23,1.2697288494301593e-19,5.934470966670622e-28,3.5276726027661724e-18,1.6980586005300676e-24,0.0,0.46346346346346345,2.1060834361386542e-14,4.441231426164259e-12,4.441233493000326e-12,4.132752877977258e-12,1.1887122549856712e-14,9.173075722884699e-15,1.3152377601228641e-20,3.769336109515584e-27,1.0032727189001932e-30,1.2362129150879368e-37,3.1567419670952845e-28
7.34889353509519e-16,0.13078664456170777,0.46346346346346345,0.0,0.0,0.0,0.07307307306001554,0.0,2.0290786245833236e-17,1.008310129110345e-21,1.665340130778576e-22,5.079014972040779e-19,4.747686118546409e-27,1.4110966844195698e-17,6.792369572043842e-24,0.0,0.46346346346346345,4.2123183711093637e-14,8.882580914339326e-12,8.882589181849313e-12,8.265610603322302e-12,2.377455771853112e-14,1.834637412328078e-14,5.2610501927461874e-20,2.959864900621615e-26,1.5765874785665913e-29,3.797453452170059e-36,2.5247416042564377e-27
1.4697886747290156e-15,0.13078664456341554,0.46346346346346345,0.0,0.0,0.0,0.07307307304695784,0.0,8.116387874346664e-17,4.033282889610754e-21,6.661418334703942e-22,2.0316236485272853e-18,3.7981886193066315e-26,5.644435631000797e-17,2.716973050054464e-23,0.0,0.46346346346346345,8.425071343143527e-14,1.776527263848694e-11,1.7765305708843393e-11,1.6531304262472056e-11,4.7549398509243375e-14,3.669289242889268e-14,2.1044352382827684e-19,2.283454199441886e-25,2.435446347544853e-28,1.122459179753589e-34,2.0186791093807843e-26
2.939587317168009e-15,0.13078664456683112,0.46346346346346345,0.0,0.0,0.0,0.07307307302084246,0.0,3.24656431197671e-16,1.613322437193973e-20,2.6645729250046975e-21,8.12651187122623e-18,3.0385603626381763e-25,2.2577789160894204e-16,1.0867928139047694e-22,0.0,0.46346346346346345,1.685170969498792e-13,3.5530627078019435e-11,3.5530759359958886e-11,3.3062604415070136e-11,9.509896190456388e-14,7.338561506229703e-14,8.417734667731209e-19,1.704752167606763e-24,3.644586576271149e-27,3.0916536822086664e-33,1.613134796410584e-25
4.409385959607002e-15,0.1307866445702467,0.46346346346346345,0.0,0.0,0.0,0.07307307299472707,0.0,6.898948687227121e-16,3.4283168888769025e-20,5.662214257116982e-21,1.7268828227029275e-17,8.688382712743658e-25,4.797777357130545e-16,2.3094353440494355e-22,0.0,0.46346346346346345,2.5279480454013485e-13,5.329595250883655e-11,5.329623360814463e-11,4.959381740242671e-11,1.426484071142226e-13,1.1007802372078345e-13,1.788764175749218e-18,4.68906363521372e-24,1.2999435257905105e-26,1.3291350016911715e-32,4.609581756337713e-25
