Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133)
1.368626374250866e-17,0.1307866445600318,0.46346346346346345,0.0,0.0,0.0,0.07307307307282988,2.6598142762673354e-44,7.040621222851095e-21,3.4986911848489677e-25,5.778501198785737e-26,1.7623483908207597e-22,3.06999341272963e-32,4.896331259749467e-21,2.3568577934152012e-27,0.0,0.46346346346346345,7.84449716186663e-16,1.654254608148939e-13,1.6542546381054885e-13,1.5393544755749276e-13,4.4276751364621825e-16,3.4167594774602457e-16,1.8255147551309774e-23,1.9858456212599345e-31,1.969075749037192e-36,9.250275929860808e-45,1.6334671170518587e-32,1.3246824930673632e-33,8.074219940533754e-43,4.0049661261450376e-22,1.2692544176960413e-22,1.3791682142071772e-30,1.367521555782863e-35,2.0157722216454347e-26,4.525565481011152e-36,1.1678323735815787e-75,2.234043084024346e-83,2.2202562755493547e-54
2.7384418244133318e-17,0.13078664456006364,0.46346346346346345,0.0,0.0,0.0,0.0730730730725865,4.2591683141814534e-43,2.8180832637308516e-20,1.4003882679116803e-24,2.312906338413352e-25,7.053986498756973e-22,2.4578613479158746e-31,1.959808465087244e-20,9.43357467104179e-27,0.0,0.46346346346346345,1.5695825308614567e-15,3.309946412716748e-13,3.3099465326210145e-13,3.080046248376193e-13,8.859196943353886e-16,6.836487065258707e-16,7.306815999967622e-23,1.5887513589679977e-30,3.1509129115161443e-35,2.9579292755660373e-43,1.3077532164440421e-31,1.0605380939669144e-32,1.292907089871213e-41,1.603030093407237e-21,5.080325337335562e-22,1.103386604794784e-29,2.1883066239769146e-34,8.068035069632455e-26,3.623204112367616e-35,1.4978305286777957e-73,5.726912227361689e-81,7.110712260801461e-53
5.478072724738263e-17,0.13078664456012729,0.46346346346346345,0.0,0.0,0.0,0.07307307307209972,6.817443035615446e-42,1.1276003264162156e-19,5.603377231740452e-24,9.254637557716854e-25,2.822513522237941e-21,1.967035961023817e-30,7.841786152415529e-20,3.774659727609401e-26,0.0,0.46346346346346345,3.139852845069241e-15,6.62132991356028e-13,6.621330393333516e-13,6.161429467073889e-13,1.7722240146519249e-15,1.3675941029700675e-15,2.923677797415896e-22,1.269674809381873e-29,5.036567819847132e-34,9.43968844581489e-42,1.0465781061813546e-30,8.487314058047195e-32,2.0694290233715375e-40,6.4142077660463106e-21,2.0327917932800937e-21,8.817882518281945e-29,3.4978928143361635e-33,3.228019227491183e-25,2.899664439613527e-34,1.919090029514454e-71,1.46558903162285e-78,2.2763298060758653e-51
1.0957334525388126e-16,0.13078664456025463,0.46346346346346345,0.0,0.0,0.0,0.07307307307112616,1.0910128306973878e-40,4.51113514347607e-19,2.2417158186410884e-23,3.7024572520639e-24,1.1291892787020681e-20,1.573927451843772e-29,3.137224706012954e-19,1.510110545408555e-25,0.0,0.46346346346346345,6.280412212918296e-15,1.324409648207903e-12,1.3244098401484289e-12,1.2324194596850216e-12,3.5448324910378037e-15,2.7354844113966645e-15,1.1696612100536982e-21,1.0130495220546113e-28,8.0380103211646e-33,3.002478152382983e-40,8.373864204258972e-30,6.790798555590336e-31,3.311554349940255e-39,2.5661002536813275e-20,8.132490171620955e-21,7.035622791312519e-28,5.582393444799773e-32,1.291221328396439e-24,2.3201720866106052e-33,2.457480600076934e-69,3.7436447862264457e-76,7.285434007628686e-50
2.1915858126687852e-16,0.13078664456050929,0.46346346346346345,0.0,0.0,0.0,0.07307307306917905,1.7457980787434125e-39,1.8046005885152354e-18,8.96759351406992e-23,1.481103117067874e-23,4.517125353193546e-20,1.259261233201178e-28,1.2549917098093758e-18,6.040940702610638e-25,0.0,0.46346346346346345,1.2561605906355944e-14,2.64896278864435e-12,2.6489635564688675e-12,2.4649719625928842e-12,7.090048786820981e-15,5.471263090404147e-15,4.6790233283354104e-21,8.059407697828353e-28,1.279184766337588e-31,9.489920374487649e-39,6.699166245706633e-29,5.432607320057401e-30,5.298367487755821e-38,1.0265232243051242e-19,3.2532602838667806e-20,5.597255461383604e-27,8.883933613290313e-31,5.1637337447759054e-24,1.8563138717316978e-32,3.1458599780911e-67,9.534478826993621e-74,2.3313580568299154e-48
4.38329053292873e-16,0.13078664456101863,0.46346346346346345,0.0,0.0,0.0,0.07307307306528484,2.7934188845260165e-38,7.21869345160426e-18,3.587183727242225e-22,5.924651004247866e-23,1.8069241695530591e-19,1.0074563549975719e-27,5.0201686702941234e-18,2.416480125899217e-24,0.0,0.46346346346346345,2.5124293124234165e-14,5.298068376448212e-12,5.298071447870676e-12,4.930074876220782e-12,1.4180478750434557e-14,1.0942812697048073e-14,1.8716836593579946e-20,6.375803450140459e-27,2.0246688611317257e-30,2.9628462505636745e-37,5.35868967004865e-28,4.345417088508813e-29,8.475713375338705e-37,4.106256648284879e-19,1.3013566390178875e-19,4.4279956669983466e-26,1.4061327226017172e-29,2.064321025284507e-23,1.4851215342318388e-31,7.0465714603747375e-65,4.22013084004809e-71,7.459292446225335e-47
8.766699973448619e-16,0.13078664456203726,0.46346346346346345,0.0,0.0,0.0,0.07307307305749638,4.469583504884758e-37,2.887534021066863e-17,1.4349029705521513e-21,2.369906585681686e-22,7.227847759730749e-19,8.059834833914045e-27,2.008106370238701e-17,9.666161220130823e-24,0.0,0.46346346346346345,5.025086688436038e-14,1.0596276779781259e-11,1.0596289065716402e-11,9.860272334739541e-12,2.836132816586299e-14,2.188588090494625e-14,7.486872388751947e-20,4.989176432703661e-26,3.170946390147159e-29,9.032437380794798e-36,4.2856177504568105e-27,3.475018327231867e-28,1.355475723181971e-35,1.642533409685863e-18,5.205529102564954e-19,3.464987381156948e-25,2.2022254644390623e-28,8.247416824915302e-23,1.1881253282866711e-30,9.043011168273186e-63,1.0629267723021101e-68,2.3861117353423812e-45
1.7533518854488398e-15,0.13078664456407452,0.46346346346346345,0.0,0.0,0.0,0.0730730730419195,7.151423385816312e-36,1.1550236725166653e-16,5.739672560537734e-21,9.479706519019055e-22,2.8911717359525724e-18,6.447932689878923e-26,8.032491567421023e-17,3.866538932538786e-23,0.0,0.46346346346346345,1.0050881170495664e-13,2.1192682497360254e-11,2.119273164156336e-11,1.972063377694306e-11,5.672298494962408e-14,4.3771893299939746e-14,2.9947678851030796e-19,3.82374209049777e-25,4.867223143164073e-28,2.6320413752220368e-34,3.426239907715969e-26,2.7778184523016186e-27,2.1666415867674466e-34,6.570179136659803e-18,2.0822302183497498e-18,2.6555986886037658e-24,3.3803001738825785e-27,3.290999246967964e-22,9.505113898105156e-30,1.1557136810242734e-60,2.610999424282377e-66,7.629747384681151e-44
3.506715661656796e-15,0.13078664456814904,0.46346346346346345,0.0,0.0,0.0,0.07307307301076572,1.1442346739397306e-34,4.6201047056139395e-16,2.2958825347276254e-20,3.791888888987177e-21,1.1564771494306377e-17,5.1583580399377195e-25,3.213000469591788e-16,1.5466513156275222e-22,0.0,0.46346346346346345,2.0104389057044177e-13,4.2385449576262655e-11,4.238564615377579e-11,3.9441222762927345e-11,1.1344613032955591e-13,8.754342201276178e-14,1.197904187515054e-18,2.8211124205785316e-24,7.200782898226292e-27,7.069173001222187e-33,2.7373433267214054e-25,2.2187246741072338e-26,3.459816863831172e-33,2.6280679516721527e-17,8.32894357240638e-18,1.959279400681087e-23,5.000989702395458e-26,1.3100488103525288e-21,7.604133977963342e-29,1.474633378240747e-58,6.18097280097505e-64,2.437761217964261e-42
5.260079437864752e-15,0.13078664457222358,0.46346346346346345,0.0,0.0,0.0,0.07307307297961195,4.211548854097497e-34,9.817717382408026e-16,4.878760380417746e-20,8.057756866762683e-21,2.4575213926528673e-17,1.4749671749945516e-24,6.827617853018644e-16,3.2866796481464344e-22,0.0,0.46346346346346345,3.015981586831364e-13,6.357817229900227e-11,6.357859002640323e-11,5.916167785140211e-11,1.701691075226902e-13,1.3131445465446525e-13,2.545537080124918e-18,7.709821552658273e-24,2.554964263742006e-26,3.009072050651913e-32,7.821092173046936e-25,6.338384890709967e-26,1.2722400260607484e-32,5.584627680094326e-17,1.7699003933524333e-17,5.354532643002211e-23,1.7744434760399582e-25,2.774572226895712e-21,2.1743100302639627e-28,7.606392459886148e-58,3.70554612951811e-63,1.1122964350576147e-41
