Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80)
5.014270726806346e-17,0.13078664456011652,0.46346346346346345,0.0,0.0,0.0,0.07307307307218214,0.0,9.447462267243224e-20,4.694721454512668e-24,7.753885591670864e-25,2.364808575137643e-21,1.5085180232635828e-30,6.570118669681635e-20,3.1625507288905193e-26,0.0,0.46346346346346345,2.87401567971624e-15,6.06073386553114e-13,6.060734267500656e-13,5.639771016999884e-13,1.622178362903629e-15,1.2518065309314723e-15,2.449567935301042e-22,9.739509980007842e-30,3.536355368803505e-34,6.068595420896075e-42,8.026258330177583e-31,4.205423297281231e-32,9.385766657603495e-41,5.374066058496523e-21,1.703149892861833e-21,6.764327654225931e-29
1.0029629856201536e-16,0.1307866445602331,0.46346346346346345,0.0,0.0,0.0,0.073073073071291,0.0,3.7795997731715084e-19,1.8781943266007992e-23,3.102058835039306e-24,9.460774624924417e-21,1.2070434899312026e-29,2.62847499581016e-19,1.2652261414956154e-25,0.0,0.46346346346346345,5.748676127993149e-15,1.2122782796138414e-12,1.2122784404278157e-12,1.1280764747698273e-12,3.2447086539919265e-15,2.5038842390910887e-15,9.79986459987114e-22,7.772834117769983e-29,5.6450856344679296e-33,1.931254943136291e-40,6.421979809431151e-30,3.364977036671005e-31,1.5020095943059055e-39,2.149975962113194e-20,6.813708077423765e-21,5.398618551580508e-28
2.0060348114991915e-16,0.13078664456046615,0.46346346346346345,0.0,0.0,0.0,0.07307307306950875,0.0,1.5119627019406959e-18,7.513389096940296e-23,1.2409242782497254e-23,3.784618208925848e-20,9.657262798665105e-29,1.0514753344782108e-18,5.061315797131843e-25,0.0,0.46346346346346345,1.1498059826946763e-14,2.424687920566984e-12,2.4246885638751787e-12,2.256274782680598e-12,6.489768685718603e-15,5.008038031809653e-15,3.9202631140509234e-21,6.186692170404363e-28,8.987838130424239e-32,6.110499417622475e-39,5.13767755680518e-29,2.692236355135619e-30,2.403400170115066e-38,8.600600578626743e-20,2.7257046383800227e-20,4.297273088487739e-27
4.0121784632572674e-16,0.13078664456093234,0.46346346346346345,0.0,0.0,0.0,0.07307307306594422,0.0,6.048094887109319e-18,3.0054782071599763e-22,4.9638971476051245e-23,1.5139091752732396e-19,7.726173803792026e-28,4.206070612099511e-18,2.0246081695667767e-24,0.0,0.46346346346346345,2.299707843448752e-14,4.849506621800159e-12,4.8495091951372014e-12,4.5126696455878814e-12,1.2979886547373464e-14,1.0016339122853153e-14,1.5681676496901568e-20,4.898886795862963e-27,1.4238686290325274e-30,1.9116839096862383e-37,4.109706701022296e-28,2.15388992624968e-29,3.845444944245722e-37,3.440377664792525e-19,1.090325893011479e-19,3.403246194892759e-26
8.02446576677342e-16,0.13078664456186476,0.46346346346346345,0.0,0.0,0.0,0.07307307305881519,0.0,2.4192855597829075e-17,1.2022159617137913e-21,1.9855976978413822e-22,6.055762228437443e-19,6.181080622636582e-27,1.6824609769158992e-17,8.098593195039872e-24,0.0,0.46346346346346345,4.599612048837772e-14,9.699141701575183e-12,9.699151995129188e-12,9.025452359756353e-12,2.596011346349872e-14,2.0032915327438112e-14,6.272787035211882e-20,3.8404448469798234e-26,2.2339294909249186e-29,5.851085139879343e-36,3.286835076849979e-27,1.7231506055665616e-28,6.152257547378312e-36,1.3761770189447805e-18,4.361389720626541e-19,2.668683643736902e-25
1.6049040373805725e-15,0.1307866445637295,0.46346346346346345,0.0,0.0,0.0,0.07307307304455712,0.0,9.677227755461899e-17,4.8089145228890885e-21,7.942459118981169e-22,2.42233139045708e-18,4.9449149703374215e-26,6.729900385486599e-17,3.239466831599276e-23,0.0,0.46346346346346345,9.199822395358959e-14,1.9398402570368818e-11,1.9398443744975017e-11,1.805098974159647e-11,5.1920532067087357e-14,4.0065963827179465e-14,2.5091314771397576e-19,2.9534650629909775e-25,3.440362219083079e-28,1.7177005122470261e-34,2.627887368538546e-26,1.3785333101577207e-27,9.841783395216724e-35,5.504747709266196e-18,1.744571627435333e-18,2.0534006638177303e-24
3.2098189587870332e-15,0.1307866445674591,0.46346346346346345,0.0,0.0,0.0,0.07307307301604099,0.0,3.870900450041514e-16,1.9235769987219948e-20,3.1769898326679858e-21,9.68938970732382e-18,3.9559423087393024e-25,2.69196426031143e-16,1.29579060334411e-22,0.0,0.46346346346346345,1.8401850833131282e-13,3.879688714500162e-11,3.8797051844034703e-11,3.610195231998977e-11,1.038412283602251e-13,8.013164519358506e-14,1.003650727785794e-18,2.1924475890508313e-24,5.1201437925498495e-27,4.6740723751537104e-33,2.0997479052383605e-25,1.1028276572995312e-26,1.5740706447848963e-33,2.2018971920727803e-17,6.978306786513537e-18,1.525731383896278e-23
4.814733880193494e-15,0.13078664457118866,0.46346346346346345,0.0,0.0,0.0,0.07307307298752486,0.0,8.225660573881989e-16,4.087609304477787e-20,6.751098863635806e-21,2.0590005759523844e-17,1.131151819288613e-24,5.720418531347406e-16,2.753555156267688e-22,0.0,0.46346346346346345,2.7605487017390883e-13,5.819533455675114e-11,5.819568454238305e-11,5.415280271379652e-11,1.5576178373993136e-13,1.201969109315506e-13,2.1327508832907304e-18,6.0117856340939215e-24,1.8216433202668966e-26,1.9998275501860617e-32,5.999752850094164e-25,3.1533936830433035e-26,5.792528421149408e-33,4.679019305294584e-17,1.4828902664749057e-17,4.185761302538979e-23
6.419648801599955e-15,0.13078664457491826,0.46346346346346345,0.0,0.0,0.0,0.07307307295900872,0.0,1.4031996361093119e-15,6.97298929467816e-20,1.1516566478499396e-20,3.512418930071303e-17,2.3859246711029744e-24,9.758346560920622e-16,4.697238556914348e-22,0.0,0.46346346346346345,3.681073094989506e-13,7.759374480568855e-11,7.759434183994072e-11,7.220354092371704e-11,2.0768219820681414e-13,1.6026176104571298e-13,3.638209236371758e-18,1.2219351133153324e-23,4.4835500606766025e-26,5.626416937276793e-32,1.2647155956538814e-24,6.651409218154214e-26,1.4688585346259914e-32,7.981832519653818e-17,2.529635063697213e-17,8.511584411886914e-23
9.629478644412877e-15,0.13078664458237754,0.46346346346346345,0.0,0.0,0.0,0.07307307290197644,0.0,2.9051406095254087e-15,1.4436711004575927e-19,2.3843527181878478e-20,7.272034707256345e-17,6.516687092435422e-24,2.020335621287305e-15,9.725021606523619e-22,0.0,0.46346346346346345,5.522499210705107e-13,1.1639047808493944e-10,1.1639171416764792e-10,1.0830475405701806e-10,3.115226964286963e-13,2.403904858448022e-13,7.532402246852367e-18,3.1444619104292853e-23,1.4929108637615026e-25,2.2368773923998785e-31,3.450667220447192e-24,1.8167001050303626e-25,5.135179807737865e-32,1.6525278761051035e-16,5.237281313784009e-17,2.1918208338001375e-22
