Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37)
1.1691383996861655e-17,0.13078664456002717,0.46346346346346345,0.0,0.0,0.0,0.07307307307286534,0.0,5.1377506466076875e-21,2.5530989703539476e-25,4.216744130709241e-26,1.2860379621971212e-22,1.9137215665797667e-32,3.572984069548597e-21,1.719868930386878e-27,0.0,0.46346346346346345,6.701098600913251e-16,1.4131340926575925e-13,1.4131341135914202e-13,1.3149815576080748e-13,3.7823069410409433e-16,2.91874015954587e-16,1.3321324065348024e-23,1.2380371290060872e-31,1.0486490707447496e-36,4.2088094286730984e-45,1.0182492610954446e-32,3.514921696567046e-34
2.339292558190477e-17,0.13078664456005437,0.46346346346346345,0.0,0.0,0.0,0.07307307307265742,0.0,2.0564391580348305e-20,1.0219049503594791e-24,1.687796527369357e-25,5.147503239127013e-22,1.5321408435268751e-31,1.430124739948474e-20,6.883957731812984e-27,0.0,0.46346346346346345,1.3408028747355538e-15,2.8274959054608205e-13,2.827495989250686e-13,2.631105510356332e-13,7.567899887319924e-16,5.840015883710626e-16,5.332001006170095e-23,9.905791800011627e-31,1.6782156767637811e-35,1.3461445345484936e-43,8.152112259857706e-32,2.814074453708706e-33
4.6796008751991e-17,0.13078664456010872,0.46346346346346345,0.0,0.0,0.0,0.0730730730722416,0.0,8.2284349715414e-20,4.0889509376827025e-24,6.753384244960461e-25,2.0596716919130145e-21,1.2261782686773364e-30,5.722361508303179e-20,2.754479691701306e-26,0.0,0.46346346346346345,2.6821917750277635e-15,5.656219457520936e-13,5.656219792789533e-13,5.263353194858782e-13,1.5139085480237678e-15,1.1682566535995658e-15,2.133494721996006e-22,7.918004544338645e-30,2.6830770244056624e-34,4.297934586772765e-42,6.52405020723033e-31,2.2521146153718214e-32
9.360217509216347e-17,0.13078664456021752,0.46346346346346345,0.0,0.0,0.0,0.07307307307140995,0.0,3.291909554769172e-19,1.635846666298312e-23,2.701793194873653e-24,8.240027168512019e-21,9.811288262361693e-30,2.289317000905676e-19,1.1019711751824056e-25,0.0,0.46346346346346345,5.364981059627003e-15,1.1313666267455816e-12,1.131366760874847e-12,1.0527847679887578e-12,3.0281455467512516e-15,2.336766465638873e-15,8.535366491058058e-22,6.320234908943274e-29,4.283714611181631e-33,1.3682855803356028e-40,5.220043860867263e-30,1.8020335437714508e-31
1.872145077725084e-16,0.13078664456043504,0.46346346346346345,0.0,0.0,0.0,0.07307307306974664,0.0,1.3168708003337228e-18,6.543919493982961e-23,1.0808050293160421e-23,3.2962785005235087e-20,7.84977447780492e-29,9.15801153033387e-19,4.408242948555016e-25,0.0,0.46346346346346345,1.0730605564883226e-14,2.262855871058431e-12,2.262856407619117e-12,2.1056833114041936e-12,6.056619064782065e-15,4.673784816047441e-15,3.414423151313135e-21,5.032243359079578e-28,6.822597108889443e-32,4.3325360193266646e-39,4.176131554073052e-29,1.4417632026666973e-30
3.744391731331982e-16,0.1307866445608701,0.46346346346346345,0.0,0.0,0.0,0.07307307306642004,0.0,5.267696026329655e-18,2.617674533875381e-22,4.323394392061978e-23,1.3185645558188483e-19,6.280115454334358e-28,3.663352265558485e-18,1.7633685317613673e-24,0.0,0.46346346346346345,2.1462038319614335e-14,4.52583388898772e-12,4.52583603531747e-12,4.211478983874723e-12,1.2113564183147991e-14,9.347816422190384e-15,1.365823787548997e-20,3.987447624191915e-27,1.081556860677052e-30,1.3574616350207144e-37,3.3405838372596655e-28,1.1534644938998519e-29
7.488885038545779e-16,0.13078664456174027,0.46346346346346345,0.0,0.0,0.0,0.07307307305976682,0.0,2.10712006470379e-17,1.0470912945712005e-21,1.729391625052802e-22,5.274361553016466e-19,5.0242080098940754e-27,1.4653695916604272e-17,7.053614436037828e-24,0.0,0.46346346346346345,4.292563880585287e-14,9.051788042061444e-12,9.051796627552483e-12,8.423064671382016e-12,2.4227446749104348e-14,1.8695859255827503e-14,5.463397957040378e-20,3.130054827382052e-26,1.6990384463479261e-29,4.1667636541169245e-36,2.671762787646148e-27,9.227921850838038e-29
1.4977871652973374e-15,0.13078664456348058,0.46346346346346345,0.0,0.0,0.0,0.07307307304646038,0.0,8.428556275217822e-17,4.1884092077876904e-21,6.917626338450995e-22,2.1097629006493123e-18,4.019408338182827e-26,5.861528971834007e-17,2.821471917880259e-23,0.0,0.46346346346346345,8.585577968464822e-14,1.8103688817075736e-11,1.810372315936819e-11,1.6846213416722377e-11,4.8455181197973586e-14,3.739186340889044e-14,2.1853748022514863e-19,2.4131672469796076e-25,2.622937720491943e-28,1.229870908145699e-34,2.1362082568726764e-26,7.382404282640426e-28
2.995584488182856e-15,0.13078664456696124,0.46346346346346345,0.0,0.0,0.0,0.0730730730198475,0.0,3.3714318793080563e-16,1.675373342716626e-20,2.7670561840500976e-21,8.439069068325089e-18,3.2155365165105485e-25,2.3446162968824155e-16,1.1285924610061333e-22,0.0,0.46346346346346345,1.7172782106121667e-13,3.6207460242621817e-11,3.6207597612321876e-11,3.369242038919288e-11,9.691052736400617e-14,7.478354566124166e-14,8.741491713466936e-19,1.799453657771948e-24,3.920655160542684e-27,3.378925391444486e-33,1.7070162528329764e-25,5.905925742336893e-27
4.493381811068375e-15,0.13078664457044187,0.46346346346346345,0.0,0.0,0.0,0.07307307299323462,0.0,7.164292035938352e-16,3.5601753524627993e-20,5.8799908281521635e-21,1.7933011206548305e-17,9.194423571176929e-25,4.982306483949843e-16,2.398259561587494e-22,0.0,0.46346346346346345,2.576116220504672e-13,5.431120154373549e-11,5.431149345453744e-11,5.053853684393986e-11,1.4536575079880084e-13,1.1217490186288875e-13,1.8575622380512047e-18,4.9463321008543476e-24,1.3976744265597996e-26,1.4511815543677072e-32,4.877790890111596e-25,1.6887229044041223e-26
