Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185),C6H10(188),C3H5(39),[CH2]C[CH]C(26)
1.5093511837987033e-17,0.13078664456003505,0.46346346346346345,0.0,0.0,0.0,0.07307307307280488,3.97608031238198e-44,8.562917683396986e-21,4.25516495727478e-25,7.027906844029459e-26,2.143396695381789e-22,4.1176898030505634e-32,5.954997459467787e-21,2.8664487580091315e-27,0.0,0.46346346346346345,8.651084408811759e-16,1.8243482628217854e-13,1.824348299255439e-13,1.6976338723721984e-13,4.882937245554032e-16,3.768077269149668e-16,2.2202206340959826e-23,2.663359791836277e-31,2.9124145940533187e-36,1.5087299028736065e-44,2.190917948386259e-32,1.776754477842402e-33,1.1943220783068202e-42,4.870904722604983e-22,1.543687802017416e-22,1.849701277359802e-30,2.543263489451772e-32,2.4516052720986365e-26,6.070004843010387e-36,2.3169537490176483e-75,4.887647343914379e-83,3.660258818626747e-54,8.752256535352088e-81,9.925795274242555e-89,4.269854105137433e-89,2.66860688866537e-87,1.244189933894009e-93,2.706881236874762e-97,5.466705927663367e-39,1.2125521874281258e-27
3.0200137065928877e-17,0.1307866445600702,0.46346346346346345,0.0,0.0,0.0,0.07307307307253647,6.366908978075734e-43,3.427398547928331e-20,1.7031749226177796e-24,2.812994179868974e-25,8.579172799525497e-22,3.296655471035687e-31,2.3835508210208958e-20,1.1473267215056319e-26,0.0,0.46346346346346345,1.7309703948370384e-15,3.650281493283291e-13,3.650281639112852e-13,3.396742533100354e-13,9.770116668090572e-16,7.539427789700962e-16,8.88666799572243e-23,2.130632279677432e-30,4.660112619304567e-35,4.823636198878008e-43,1.7540462730851157e-31,1.4224641572590797e-32,1.9124386337935638e-41,1.9496311743416287e-21,6.178774032613366e-22,1.4797225017529888e-29,2.037731061877903e-31,9.812398295582005e-26,4.859694682442009e-35,2.9716566068580417e-73,1.252835477708962e-80,1.1722527399167936e-52,1.1225466373078803e-78,2.5441789131020324e-86,1.0947309622486155e-86,3.422768401046366e-85,6.379586968028935e-91,6.943771822711104e-95,4.3766917527987117e-38,4.853258283333173e-27
6.041338752181256e-17,0.13078664456014039,0.46346346346346345,0.0,0.0,0.0,0.07307307307199963,1.0191200876751424e-41,1.3714057895382978e-19,6.814918272303367e-24,1.125564014886299e-24,3.432786740857379e-21,2.6383261327251532e-30,9.53730736345409e-20,4.5908029501771445e-26,0.0,0.46346346346346345,3.4627000005517325e-15,7.302147822499686e-13,7.302148406007866e-13,6.794959456969711e-13,1.9544475013714864e-15,1.5082127357777313e-15,3.5558242583441533e-22,1.7024784681914969e-29,7.4478908382817706e-34,1.5388796763128225e-41,1.4037376856618594e-30,1.1383720048313216e-31,3.0610423586615536e-40,7.801063336440916e-21,2.472314322156381e-21,1.1823701034877627e-28,1.6333173962244123e-30,3.925907885288766e-25,3.889232682770916e-34,3.807408492515965e-71,3.2056511518176093e-78,3.7526862914615326e-51,1.4382849068153635e-76,6.509679919408708e-84,2.802419343062441e-84,4.385655164582808e-83,3.2661744033419827e-88,1.779442132017909e-92,3.502688401190542e-37,1.9418470814925264e-26
1.2083988843357993e-16,0.13078664456028083,0.46346346346346345,0.0,0.0,0.0,0.07307307307092598,1.6309239636232203e-40,5.486515612140534e-19,2.726411144769483e-23,4.50298845055997e-24,1.3733383316348556e-20,2.1110614961127628e-29,3.815543465978262e-19,1.836621396607598e-25,0.0,0.46346346346346345,6.926182003193939e-15,1.4605879954106057e-12,1.4605882288518618e-12,1.3591391714360983e-12,3.909318970716864e-15,3.0167520601827546e-15,1.4225608593156747e-21,1.3579802280841554e-28,1.1882967206524945e-32,4.891574988562571e-40,1.123151541747793e-29,9.108199453675492e-31,4.898328601637905e-39,3.1209326106954045e-20,9.890866257252226e-21,9.43116474993025e-28,1.3109052685175878e-29,1.5703551673135525e-24,3.111977018991187e-33,4.875515997490497e-69,8.1857848682643e-76,1.2010479686299829e-49,1.8418643756985663e-74,1.6622278718004263e-81,7.162836071638228e-82,5.616800508047072e-81,1.6696193446992282e-85,4.557940831706398e-90,2.802690636196215e-36,7.767945571856158e-26
2.416928902571147e-16,0.13078664456056166,0.46346346346346345,0.0,0.0,0.0,0.07307307306877867,2.6097438968879145e-39,2.1947844172194333e-18,1.090653276417607e-22,1.801341549460874e-23,5.493801262826128e-20,1.689009133070866e-28,1.5263411923687944e-18,7.347093746591562e-25,0.0,0.46346346346346345,1.3853237173337125e-14,2.921334211001343e-12,2.9213351448422657e-12,2.7184249867756754e-12,7.819061110289959e-15,6.03382835215379e-15,5.690703474450919e-21,1.079730309906421e-27,1.8900230595542698e-31,1.5441182535229643e-38,8.985235387728342e-29,7.286441854542393e-30,7.837048957514633e-38,1.2484740874979194e-19,3.9566677794605304e-20,7.498723205905128e-27,1.0551701208373798e-28,6.279823706049942e-24,2.489817944760879e-32,6.241121043906077e-67,2.083474394557808e-73,3.843347038129576e-48,2.3580122687888845e-72,4.2305623985172894e-79,1.826526253947056e-79,7.192867372988041e-79,8.515061684938063e-83,1.1673763837978922e-87,2.242377781380251e-35,3.1068654457316523e-25
4.833988939041842e-16,0.13078664456112335,0.46346346346346345,0.0,0.0,0.0,0.07307307306448403,4.1758028971570835e-38,8.779491377095257e-18,4.362791109166241e-22,7.205655991514791e-23,2.1976106025244815e-19,1.35127077727946e-27,6.105609934377642e-18,2.9389652753322522e-24,0.0,0.46346346346346345,2.7707712173118625e-14,5.8428257992609105e-12,5.842829534775819e-12,5.436994072902513e-12,1.563854219296757e-14,1.2067971508755659e-14,2.2763715611299964e-20,8.5320646692551e-27,2.9882078336033348e-30,4.808908674199665e-37,7.187201685188195e-28,5.828136015467655e-29,1.2536481502301693e-36,4.994095089754915e-19,1.5827309420413048e-19,5.925519885239744e-26,8.541446196853673e-28,2.51034665828316e-23,1.9919488220983967e-31,1.39791172047278e-64,9.210241288597705e-71,1.2296730506079042e-46,5.257635398112833e-70,1.8371528580018448e-76,8.065829034165304e-77,1.6132495539011926e-76,7.514146360570479e-80,5.227695868725834e-85,1.7940071936674477e-34,1.242344425194082e-24
9.668109011983232e-16,0.1307866445622467,0.46346346346346345,0.0,0.0,0.0,0.07307307305589476,6.681455439136195e-37,3.511865174374252e-17,1.745152333121837e-21,2.8823183121940624e-22,8.790626661479658e-19,1.0810411995184607e-26,2.4422910429010027e-17,1.1756165667254372e-23,0.0,0.46346346346346345,5.541812081114243e-14,1.1685805604094369e-11,1.168582054645173e-11,1.0874122066966066e-11,3.1277491572465104e-14,2.4136220112725318e-14,9.105651979669957e-20,6.661836821325521e-26,4.6700599127622545e-29,1.4590229868172414e-35,5.747774315074602e-27,4.660552500712232e-28,2.0047906839514293e-35,1.9976751014548036e-18,6.331048084552787e-19,4.626652642151501e-25,6.987099741389478e-27,1.0028135627922431e-22,1.593596735568548e-30,1.7938218168585885e-62,2.3141652255876197e-68,3.9333772838496165e-45,6.750855331593347e-68,4.614678096609112e-74,2.04161091310476e-74,2.078473289168813e-74,3.80713745569496e-77,1.3492557172799857e-82,1.4352715145510198e-33,4.9658638358167405e-24
1.9336349157866013e-15,0.13078664456449343,0.46346346346346345,0.0,0.0,0.0,0.07307307303871623,1.0690467564310009e-35,1.40475809908626e-16,6.980683417018888e-21,1.1529368727531634e-21,3.516290754389881e-18,8.648414927231401e-26,9.769242593122972e-17,4.702566203999492e-23,0.0,0.46346346346346345,1.108447726448756e-13,2.3371751727034132e-11,2.3371811497021437e-11,2.1748337342485772e-11,6.255533918816236e-14,4.8272566484742087e-14,3.6422824034186913e-19,5.084681144225057e-25,7.139745428243665e-28,4.213914474833515e-34,4.5948800064674945e-26,3.72519109615345e-27,3.204205360496857e-34,7.990753072757213e-18,2.532441526309143e-18,3.531325875903916e-24,5.818902946592369e-26,4.0005709946143176e-22,1.274892294041561e-29,2.2921630686575878e-60,5.658702791321086e-66,1.2576235033495379e-43,8.639949576491516e-66,1.1289240767373409e-71,5.064349471603052e-72,2.6919029364978527e-72,1.888848576583029e-74,3.494823433523492e-80,1.1482815542339037e-32,1.9834796216645497e-23
3.867282944963157e-15,0.13078664456898692,0.46346346346346345,0.0,0.0,0.0,0.07307307300435915,1.7104866693662043e-34,5.619042891251786e-16,2.792290027761615e-20,4.611753504185214e-21,1.406526905521383e-17,6.918745304928668e-25,3.907700147597742e-16,1.88107739741915e-22,0.0,0.46346346346346345,2.2172141457382252e-13,4.674359002612954e-11,4.674382910689355e-11,4.3496605044320515e-11,1.2511082984742907e-13,9.654465589319534e-14,1.4569082620808955e-18,3.724140662538902e-24,1.0488513826151511e-26,1.1143881493334851e-32,3.670506981512925e-25,2.97493650479083e-26,5.1156298349616684e-33,3.196294590802775e-17,1.0129791559236803e-17,2.5864405217333837e-23,4.975375716681833e-25,1.5917211658999902e-21,1.0199195581295992e-28,2.9237415392094162e-58,1.3287438834888107e-63,4.017567037143428e-42,1.1066733231900869e-63,2.6564767998872357e-69,1.2218004504221032e-69,3.5905555586180115e-70,9.114404442315912e-72,9.321652700664287e-78,9.187118257273045e-32,7.91096351572186e-23
5.800930974139713e-15,0.13078664457348044,0.46346346346346345,0.0,0.0,0.0,0.07307307297000208,6.295737561750477e-34,1.1940457443973656e-15,5.933628801144011e-20,9.799965270163682e-21,2.9888792047059875e-17,1.978327202263657e-24,8.303850611930251e-16,3.9973557803702546e-22,0.0,0.46346346346346345,3.3262139479498766e-13,7.011537437856535e-11,7.011588242535954e-11,6.524470989817547e-11,1.8766611593563146e-13,1.448161419741781e-13,3.0959171577157367e-18,1.0137574303074656e-23,3.7096019018155363e-26,4.714770971807933e-32,1.0486485698661467e-24,8.497922628566736e-26,1.8809330148564431e-32,6.79210253846881e-17,2.152580274868067e-17,7.040635655774202e-23,1.4701101224424523e-24,3.369982390800268e-21,2.9163364348928114e-28,1.508068595500015e-57,7.946845048844978e-63,1.8330093199228478e-41,5.724359094687876e-63,1.5900866788953404e-68,7.376464696519103e-69,1.8885589288016274e-69,6.402742047450221e-71,5.816715467406054e-77,2.6270790623864607e-31,1.6777161275977482e-22
