Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18)
1.320932181096057e-14,0.13078664459069675,0.46346346346346345,0.0,0.0,0.0,0.07307307283836972,0.0,5.11353275492091e-15,2.541107416758533e-19,4.196850195390488e-20,1.2799708732345852e-16,1.37880789864154e-23,3.5428681732047015e-15,1.7117667508957085e-21,0.0,0.46346346346346345,7.575879178197104e-13,1.596594612664248e-10,1.5966154479436523e-10,1.4856741536225178e-10,4.273328964721139e-13,3.297692394348353e-13
1.8493054118605096e-14,0.13078664460297582,0.46346346346346345,0.0,0.0,0.0,0.07307307274448833,0.0,9.83309752182295e-15,4.8864681857028795e-19,8.07034503681807e-20,2.461323783761292e-16,3.64044162768267e-23,6.812767921826775e-15,3.2916552617219178e-21,0.0,0.46346346346346345,1.0608720280076938e-12,2.2352265189935414e-10,2.235266584406831e-10,2.079925072349426e-10,5.98263575036647e-13,4.616770617425395e-13
2.906051873389415e-14,0.13078664462753456,0.46346346346346345,0.0,0.0,0.0,0.07307307255672554,0.0,2.398953499625937e-14,1.1921543136426502e-18,1.9688931345470055e-19,6.00480415316446e-16,1.4076843390257892e-22,1.6620862865433316e-14,8.030578027304375e-21,0.0,0.46346346346346345,1.6678790427112985e-12,3.512479091273462e-10,3.5125768382314896e-10,3.2683931362916463e-10,9.401203528174646e-13,7.254927718139266e-13
3.9627983349183203e-14,0.13078664465209416,0.46346346346346345,0.0,0.0,0.0,0.07307307236896275,0.0,4.444100132339727e-14,2.2085128180914124e-18,3.647395207262341e-19,1.1123964117882265e-15,3.493487654093943e-22,3.079031844404387e-14,1.4876806420755126e-20,0.0,0.46346346346346345,2.2754716180282834e-12,4.789716663616734e-10,4.789897742257559e-10,4.4568161313394755e-10,1.2819710196737162e-12,9.893085692758978e-13
6.076291257976131e-14,0.13078664470121593,0.46346346346346345,0.0,0.0,0.0,0.07307307199343718,0.0,1.0422240775319073e-13,5.1795135204806514e-18,8.553763058323275e-19,2.608759770917658e-15,1.2688085167602705e-21,7.220851863663457e-14,3.4889032457610805e-20,0.0,0.46346346346346345,3.4924129097369984e-12,7.344146822959419e-10,7.344571490194392e-10,6.833526964283753e-10,1.96565402705795e-12,1.5169404265993115e-12
1.0303277104091754e-13,0.1307866447994695,0.46346346346346345,0.0,0.0,0.0,0.07307307124238605,0.0,2.9929191048953684e-13,1.4874673958496158e-17,2.4563208185238094e-18,7.491386536320318e-15,6.340117622105579e-21,2.0735572065449252e-13,1.0019057526714605e-19,0.0,0.46346346346346345,5.933319866560829e-12,1.2452827209115892e-09,1.2454046736434861e-09,1.1586408067256903e-09,3.332946743676006e-12,2.572205192804039e-12
1.8757248796322998e-13,0.1307866449960172,0.46346346346346345,0.0,0.0,0.0,0.07307306974028378,0.0,9.914043204944258e-13,4.9278069757333146e-17,8.136331218150517e-18,2.4814540508414663e-14,3.929891760803966e-20,6.868453530725554e-13,3.3188760370672548e-19,0.0,0.4634634634634634,1.0843230185170494e-11,2.2669468311188983e-09,2.2673508164502553e-09,2.1090008517531584e-09,6.067239037467961e-12,4.682738947357473e-12
2.7211220488554246e-13,0.1307866451926189,0.46346346346346345,0.0,0.0,0.0,0.07307306823818153,0.0,2.086085179614601e-12,1.036998011611523e-16,1.7119826415046907e-17,5.2212850307819644e-14,1.15543471935005e-19,1.4452041486406808e-12,6.9836002437266035e-19,0.0,0.46346346346346334,1.579060158082889e-11,3.2885149914972366e-09,3.2893650765567873e-09,3.0590727224539616e-09,8.801140541367666e-12,6.793278352236859e-12
3.566519218078549e-13,0.13078664538927454,0.46346346346346345,0.0,0.0,0.0,0.0730730667360793,0.0,3.583246501514882e-12,1.7814111456807444e-16,2.940585797891489e-17,8.968345139542351e-14,2.5304905744915035e-19,2.4823511275817123e-12,1.1995846383300631e-18,0.0,0.4634634634634633,2.0775432913726783e-11,4.309987210785435e-09,4.311447443508786e-09,4.0088565025462235e-09,1.1534651343279787e-11,8.903823436507787e-12
4.411916387301673e-13,0.13078664558598407,0.46346346346346345,0.0,0.0,0.0,0.07307306523397711,0.0,5.482797835612812e-12,2.726033221613239e-16,4.499344971559436e-17,1.3722339542749854e-13,4.703923750730582e-19,3.798202933971397e-12,1.835537630480949e-18,0.0,0.46346346346346323,2.5797723050882256e-11,5.331363497901755e-09,5.333597906581662e-09,4.95835227820471e-09,1.4267771533593932e-11,1.1014374230221671e-11
6.102710725747923e-13,0.13078664597956496,0.46346346346346345,0.0,0.0,0.0,0.07307306222977275,0.0,1.0488736014361492e-11,5.215953198867041e-16,8.606970167177576e-17,2.625004028778299e-13,1.2134426169030263e-18,7.2657125858294635e-12,3.51154071829355e-18,0.0,0.463463463463463,3.595467560678993e-11,7.373828308511048e-09,7.378103081452093e-09,6.856480135094439e-09,1.9732840413803464e-11,1.523549305740568e-11
7.793505064194171e-13,0.1307866463733615,0.46346346346346345,0.0,0.0,0.0,0.07307305922556848,0.0,1.7103176223153954e-11,8.506863912799194e-16,1.4034077066004935e-16,4.2802027878159555e-13,2.4935936165386866e-18,1.1847066034406853e-11,5.7261788943296025e-18,0.0,0.46346346346346284,4.626145031358183e-11,9.415909494474535e-09,9.422880515430248e-09,8.75345698275162e-09,2.5196347905217373e-11,1.945663507480658e-11
9.48429940264042e-13,0.13078664676737348,0.46346346346346345,0.0,0.0,0.0,0.07307305622136429,0.0,2.5325357341968243e-11,1.2598876990205383e-15,2.0779843891012282e-16,6.337582015191185e-13,4.467522026809268e-18,1.7541561496815266e-11,8.479251865869797e-18,0.0,0.46346346346346257,5.6718037790605604e-11,1.1457607130641822e-08,1.146793011829935e-08,1.0649283546691731e-08,3.0658294768834205e-11,2.367780053614661e-11
1e-12,0.13078664755604366,0.46346346346346345,0.0,0.0,0.0,0.07307305530506722,0.0,2.8153016900449557e-11,1.4006410300024995e-15,2.3099648947362186e-16,7.045096467748999e-13,5.2309346048409476e-18,1.9499839977643504e-11,9.426080308105291e-18,0.0,0.4634634634634625,5.993716226954047e-11,1.2080258639776533e-08,1.2091734468059201e-08,1.1227291164629074e-08,3.2323904975029934e-11,2.4965281487007686e-11
1.2865888079532917e-12,0.13078664755604366,0.46346346346346345,0.0,0.0,0.0,0.0730730502129561,0.0,4.6589984466494834e-11,2.318664490153123e-15,3.82241640760646e-16,1.1657917261572764e-12,1.1105732569083902e-17,3.226725120839557e-11,1.5599923791306466e-17,0.0,0.4634634634634619,7.808061471550387e-11,1.5539852044578164e-08,1.5558845479882573e-08,1.4437488642904294e-08,4.157750957158311e-11,3.2120202777982276e-11
1.6247476756425414e-12,0.13078664834557474,0.46346346346346345,0.0,0.0,0.0,0.07307304420454823,0.0,7.427673131494811e-11,3.6980121493801264e-15,6.093357667947266e-16,1.8584090292684145e-12,2.2339828361296092e-17,5.143735480093016e-11,2.4872007375181254e-17,0.0,0.46346346346346107,1.0004233401593097e-10,1.9620563629613437e-08,1.9650848467891765e-08,1.8221101034175894e-08,5.2490490710891655e-11,4.056270174786573e-11
1.962906543331791e-12,0.13078664913596585,0.46346346346346345,0.0,0.0,0.0,0.07307303819614062,0.0,1.0837975666867564e-10,5.398016520930518e-15,8.890177710156612e-16,2.711419638340131e-12,3.9372250662232997e-17,7.504648708529518e-11,3.629396512472568e-17,0.0,0.46346346346345996,1.226031239482941e-10,2.369974246106289e-08,2.3743938388840626e-08,2.2000126287807587e-08,6.339724403343109e-11,4.900529939757968e-11
2.301065411021041e-12,0.13078664992721628,0.46346346346346345,0.0,0.0,0.0,0.07307303218773332,0.0,1.4889323035087376e-10,7.41876333317743e-15,1.221224737276663e-15,3.724633453872745e-12,6.340307951036435e-17,1.0308927344747213e-10,4.986426226691068e-17,0.0,0.46346346346345874,1.4576291297480725e-10,2.777738911360986e-08,2.7838114550037696e-08,2.5774569960166667e-08,7.42977753776154e-11,5.744799767707082e-11
2.9773831463995403e-12,0.1307866515122918,0.46346346346346345,0.0,0.0,0.0,0.07307302017091959,0.0,2.4912822025732594e-10,1.2422827232215654e-14,2.0429621590761938e-15,6.230910987565157e-12,1.3725593522634495e-16,1.7245432940109693e-10,8.344373921021441e-17,0.0,0.46346346346345574,1.9387920284797857e-10,3.592808818194414e-08,3.602972282116548e-08,3.330973476641964e-08,9.608019548477806e-11,7.433370393134397e-11
3.65370088177804e-12,0.1307866531007951,0.46346346346346345,0.0,0.0,0.0,0.07307300815410696,0.0,3.7493513325713054e-10,1.8710889482254234e-14,3.0740457013899227e-15,9.375723482385752e-12,2.5348221049533313e-16,2.594896011675566e-10,1.2559817584603226e-16,0.0,0.4634634634634522,2.4439063358283396e-10,4.407266543351751e-08,4.4225667738638424e-08,4.082663982588529e-08,1.1783779771932636e-10,9.121983612111383e-11
4.330018617156539e-12,0.1307866546927198,0.46346346346346345,0.0,0.0,0.0,0.07307299613729541,0.0,5.262674914259745e-10,2.6283635109419963e-14,4.31397416454677e-15,1.3157555915820628e-11,4.216459142034721e-16,3.641522560524899e-10,1.7631533064739426e-16,0.0,0.4634634634634478,2.9729663730227117e-10,5.221112546526694e-08,5.242594376267622e-08,4.8325329419695726e-08,1.3957062872059334e-10,1.0810640985497712e-10
5.0063363525350385e-12,0.13078665628805966,0.46346346346346345,0.0,0.0,0.0,0.07307298412048488,0.0,7.030789217496252e-10,3.514174833815296e-14,5.7622476489353065e-15,1.757489688962056e-11,6.512881001643103e-16,4.863995642804812e-10,2.3558298677040427e-16,0.0,0.4634634634634429,3.525966485330907e-10,6.034347287095709e-08,6.063054535782988e-08,5.5805847722567654e-08,1.6127873506691817e-10,1.249934407358365e-10
5.682654087913538e-12,0.13078665788680852,0.46346346346346345,0.0,0.0,0.0,0.07307297210367537,0.0,9.053231592958316e-10,4.52859125384919e-14,7.418367587859486e-15,2.262623873166429e-11,9.51926225962483e-16,6.261889018699986e-10,3.0338895291286374e-16,0.0,0.4634634634634375,4.102901042352846e-10,6.846971224081028e-08,6.883946699342436e-08,6.326823879983033e-08,1.8296216327210525e-10,1.418809443596402e-10
7.035289558670537e-12,0.13078666109450807,0.46346346346346345,0.0,0.0,0.0,0.07307294807005925,0.0,1.3859255035549152e-09,6.943512329803792e-14,1.1352158812515713e-14,3.462491181314738e-11,1.804149431825554e-15,9.582236655167884e-10,4.645671700042328e-16,0.0,0.4634634634634248,5.328551082698538e-10,8.470388521705165e-08,8.527024828589666e-08,7.81388150256783e-08,2.262551710099607e-10,1.756574321865747e-10
8.387925029427536e-12,0.13078666431576874,0.46346346346346345,0.0,0.0,0.0,0.07307292403644676,0.0,1.9677065332344616e-09,9.873671745273425e-14,1.6111385542057772e-14,4.914158715260413e-11,3.053990594761032e-15,1.3599176381948405e-09,6.597529547034041e-16,0.0,0.46346346346340994,6.649871928835383e-10,1.0091368104552435e-07,1.0171824348930047e-07,9.293740846606668e-08,2.694500227701298e-10,2.0943599796559247e-10
9.740560500184535e-12,0.13078666755054102,0.46346346346346345,0.0,0.0,0.0,0.07307290000283764,0.0,2.650299948618092e-09,1.3319613164239884e-13,2.1692106330720998e-14,6.616433504767626e-11,4.77675558371578e-15,1.8309335664396525e-09,8.888496795565388e-16,0.0,0.4634634634633932,8.06681939520509e-10,1.1709913632211415e-07,1.1818340852786367e-07,1.0766436777826503e-07,3.125470883764435e-10,2.432167662187112e-10
