Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175)
1.423029943008008e-17,0.13078664456003306,0.46346346346346345,0.0,0.0,0.0,0.07307307307282021,3.108621505888743e-44,7.61148239618521e-21,3.782368849422995e-25,6.247028316359211e-26,1.9052415049105062e-22,3.450840163278549e-32,5.29333108522731e-21,2.547954385737336e-27,0.0,0.46346346346346345,8.156320088736214e-16,1.72001203836498e-13,1.720012070750439e-13,1.6005445677368213e-13,4.603677389075878e-16,3.5525773319545646e-16,1.9735294601829894e-23,2.232135626804798e-31,2.3012672077234537e-36,1.1240179069721784e-44,1.8361054358181316e-32,1.4890146823390658e-33,9.436628140219557e-43,4.329693100614342e-22,1.3721669369123824e-22,1.5502164307097432e-30,1.5982282646464726e-35,2.1792099163614573e-26,5.086982621705783e-36,1.534207473368284e-75,3.051466882909696e-83,2.698041126055922e-54,1.5741438358445028e-82,7.64117969796299e-90,7.24079852039523e-91
2.847296228277535e-17,0.13078664456006617,0.46346346346346345,0.0,0.0,0.0,0.07307307307256715,4.977844631993601e-43,3.046576495808813e-20,1.5139332633578923e-24,2.500439279445241e-25,7.625931360579342e-22,2.762770307724189e-31,2.1187118490294976e-20,1.0198459219728812e-26,0.0,0.46346346346346345,1.6319743342775093e-15,3.441518400918522e-13,3.441518530544756e-13,3.20247958641604e-13,9.211354349958002e-16,7.108240741401216e-16,7.89926050189821e-23,1.785742113468337e-30,3.6823844828922216e-35,3.5940097007768475e-43,1.4699847733829246e-31,1.192101511437214e-32,1.5110655864979852e-41,1.7330054993955777e-21,5.492243598831078e-22,1.2401965370093895e-29,2.5574132350431137e-34,8.722173687322104e-26,4.072679188893454e-35,1.967731826776511e-73,7.822070249095248e-81,8.640887580810754e-53,2.0186303913493013e-80,1.958447569354918e-87,1.856236153963461e-88
5.695828798816589e-17,0.13078664456013236,0.46346346346346345,0.0,0.0,0.0,0.07307307307206103,7.967793171819323e-42,1.2190273754902754e-19,6.057705121402736e-24,1.0005013533286374e-24,3.0513659784473136e-21,2.2110557781056123e-30,8.47760661029348e-20,4.080713311777172e-26,0.0,0.46346346346346345,3.2646640497968562e-15,6.884531008953082e-13,6.884531527626851e-13,6.406349270363848e-13,1.8426707827810844e-15,1.421956625093783e-15,3.160732723081143e-22,1.4270223635813876e-29,5.885775324056203e-34,1.1468195366733662e-41,1.1764089585979814e-30,9.540185157716743e-32,2.418610851824028e-40,6.934278610049778e-21,2.197612742220656e-21,9.91066022256034e-29,4.0876668565294054e-33,3.489729400881534e-25,3.259381102792203e-34,2.521145310840096e-71,2.001619811631274e-78,2.766177323548443e-51,2.586285014840807e-78,5.0113692414484266e-85,4.7521166032292446e-86
1.1392893939894696e-16,0.13078664456026473,0.46346346346346345,0.0,0.0,0.0,0.07307307307104877,1.2751063021161092e-40,4.876902822452087e-19,2.4234765655001062e-23,4.00265645461229e-24,1.2207451729334742e-20,1.7691803505297207e-29,3.391594243991302e-19,1.6325520151641038e-25,0.0,0.46346346346346345,6.530063739682622e-15,1.3770555756732136e-12,1.3770557831764842e-12,1.2814087224617254e-12,3.685741300787122e-15,2.8442212032586385e-15,1.2644985807779953e-21,1.1384660702834303e-28,9.392263524542553e-33,3.6467812842865963e-40,9.41264909753706e-30,7.633197666514463e-31,3.8703146682434304e-39,2.7741623916467723e-20,8.791881208607823e-21,7.906640054112251e-28,6.522921584274999e-32,1.395898059044351e-24,2.608000066397491e-33,3.2284288565243607e-69,5.1121156548724356e-76,8.85318264530274e-50,3.3122653388439086e-76,1.2799757018607433e-82,1.2149910254578095e-83
2.278702422205091e-16,0.13078664456052952,0.46346346346346345,0.0,0.0,0.0,0.07307307306902426,2.040377590333175e-39,1.9509195268610272e-18,9.694695729346347e-23,1.6011925317053732e-23,4.8833788143591544e-20,1.4154783355898762e-28,1.3567477681624695e-18,6.530747298649529e-25,0.0,0.46346346346346345,1.3060944154848732e-14,2.754260337913023e-12,2.7542611679935765e-12,2.5629557478557748e-12,7.371881626541288e-15,5.68874826462014e-15,5.0584034010902064e-21,9.055149209595485e-28,1.494380481357434e-31,1.1520712551297224e-38,7.530178378122911e-29,6.106498259807384e-30,6.192333264860638e-38,1.1097548012708625e-19,3.517038098581182e-20,6.288797699658554e-27,1.0378467353822437e-30,5.582279800075275e-24,2.086598112492545e-32,4.132736347861283e-67,1.3015992690871777e-73,2.8330308369799193e-48,4.24218427877817e-74,3.2596607084868063e-80,3.1008795640904584e-81
4.557528478636334e-16,0.13078664456105907,0.46346346346346345,0.0,0.0,0.0,0.07307307306497524,3.264770051161533e-38,7.80399269431808e-18,3.878036492652893e-22,6.405027894394875e-23,1.9534315779614323e-19,1.132435892757226e-27,5.4272091634728175e-18,2.6124114208219354e-24,0.0,0.46346346346346345,2.612302912680958e-14,5.50866911312884e-12,5.508672433585508e-12,5.1260475368193484e-12,1.4744159437019722e-14,1.1377794007483579e-14,2.0234416368169328e-20,7.16038945956927e-27,2.364271304801302e-30,3.59341733971192e-37,6.023379473560045e-28,4.884407841653209e-29,9.905678362437243e-37,4.439196089984861e-19,1.406872005692938e-19,4.97289091187023e-26,1.6419867387682808e-29,2.2315904783592468e-23,1.6693576620593005e-31,9.2569501441256e-65,5.757799601380123e-71,9.06434888766289e-47,7.838811391684769e-72,1.238248806385475e-77,1.1363466832249923e-78
9.115180591498819e-16,0.13078664456211822,0.46346346346346345,0.0,0.0,0.0,0.0730730730568772,5.223764470848955e-37,3.12165822008124e-17,1.5512464792670612e-21,2.562060999061693e-22,7.813889816263511e-19,9.059693634515189e-27,2.1709256378052882e-17,1.044990780321622e-23,0.0,0.46346346346346345,5.22484956376483e-14,1.1017483666506892e-11,1.1017496948598542e-11,1.0252222067464436e-11,2.948870369387094e-14,2.2755851973878387e-14,8.093914848571464e-20,5.598362550315122e-26,3.6997688238235697e-29,1.0934463281400523e-35,4.817140018154931e-27,3.905985510532636e-28,1.5841312279798044e-35,1.775711565018619e-18,5.627598744356044e-19,3.888068047101616e-25,2.569493444637539e-28,8.91526485431692e-23,1.3355177123276014e-30,1.1879258868586035e-62,1.448608897582019e-68,2.8994997236220775e-45,1.0125030753886868e-69,3.111639173172642e-75,2.897073488535094e-76
1.823048481722379e-15,0.13078664456423644,0.46346346346346345,0.0,0.0,0.0,0.07307307304068113,8.358128030988884e-36,1.2486740956996425e-16,6.205051613728215e-21,1.024832997471508e-21,3.12559134260748e-18,7.24782724909462e-26,8.683773324605872e-17,4.180045098720315e-23,0.0,0.46346346346346345,1.045046149302139e-13,2.203510078506172e-11,2.2035153913926732e-11,2.05045349397547e-11,5.897774675126212e-14,4.5511833830189314e-14,3.2375859184495797e-19,4.283769879162832e-25,5.670153332170208e-28,3.1753007327200957e-34,3.851075728854614e-26,3.122220828546117e-27,2.53203358776183e-34,7.102894530052465e-18,2.251059476560698e-18,2.9750897450898856e-24,3.937938260979822e-27,3.5571510395500713e-22,1.0684266711769221e-29,1.5180954698447178e-60,3.5509609985521867e-66,9.271053814098874e-44,1.328586002401446e-67,7.67588546777597e-73,7.392036859085992e-74
3.646109326867374e-15,0.13078664456847297,0.46346346346346345,0.0,0.0,0.0,0.07307307300828897,1.3373085733576504e-34,4.994706630982784e-16,2.4820353302233965e-20,4.099338221689082e-21,1.2502457878199596e-17,5.798274325565824e-25,3.473512946880898e-16,1.6720578590759734e-22,0.0,0.46346346346346345,2.0903759862465808e-13,4.4070287069470615e-11,4.4070499585675326e-11,4.1009015929362075e-11,1.1795565104169065e-13,9.102326124369303e-14,1.2950307846280001e-18,3.151548172429929e-24,8.365638429546245e-27,8.47695665154726e-33,3.0765962660493943e-25,2.493652498528644e-26,4.042981402098041e-33,2.841153075230109e-17,9.00426169520915e-18,2.1887698548511578e-23,5.809991663980464e-26,1.4157252280280862e-21,8.547461460668561e-29,1.9367724467943504e-58,8.374802674074977e-64,2.961989163087324e-42,1.851930033978565e-65,1.8473696142995192e-70,1.9522151562301065e-71
5.469170172012369e-15,0.13078664457270947,0.46346346346346345,0.0,0.0,0.0,0.07307307297589681,4.922189908968925e-34,1.0613745207886149e-15,5.274335997023249e-20,8.711085309602894e-21,2.6567805146733635e-17,1.657942997924573e-24,7.381205417933474e-16,3.5531739597324685e-22,0.0,0.46346346346346345,3.135913274541752e-13,6.610542540128307e-11,6.610587699839979e-11,6.151335216502285e-11,1.7693337350865648e-13,1.3653415236487511e-13,2.7519298041608148e-18,8.599608756291863e-24,2.964568451515001e-26,3.59976508338985e-32,8.790132281093177e-25,7.123535639921291e-26,1.4866253867575494e-32,6.037431134806993e-17,1.913405383517291e-17,5.97250001006999e-23,2.0589179599990446e-25,2.997990943356747e-21,2.444043088780838e-28,9.990067224393114e-58,5.015194818904129e-63,1.351456343983233e-41,1.0511759299845113e-64,1.1184079880237027e-69,1.2791133489662876e-70
