Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175),C6H10(182),C6H10(185)
1.4581717764489352e-17,0.1307866445600339,0.46346346346346345,0.0,0.0,0.0,0.07307307307281398,3.4272552099999045e-44,7.99205651131658e-21,3.9714872925300828e-25,6.559379727665219e-26,2.0005035810516499e-22,3.712861868999815e-32,5.557997635152158e-21,2.6753521148435702e-27,0.0,0.46346346346346345,8.357741251394256e-16,1.762487866905267e-13,1.7624879009099987e-13,1.640070136943764e-13,4.717365552952442e-16,3.640308495765244e-16,2.0722059299206705e-23,2.401577352785876e-31,2.5371021576789364e-36,1.269781386352879e-44,1.9755200790574314e-32,1.602074796349615e-33,1.0403878372921974e-42,4.546177749722867e-22,1.4407752829865897e-22,1.667893577266271e-30,1.7620154536536803e-35,2.288168176535844e-26,5.473236349162763e-36,1.819895342365399e-75,3.709011366197469e-83,3.048047129788071e-54,1.8672694859496837e-82,9.287480897577826e-90,8.800889565422741e-91,2.6142640107001116e-94,2.477296666147753e-95
2.917610426726236e-17,0.1307866445600678,0.46346346346346345,0.0,0.0,0.0,0.07307307307255467,5.4880737059973224e-43,3.198905316854098e-20,1.5896299270349247e-24,2.6254612398052057e-25,8.007227935778568e-22,2.972546984366897e-31,2.2246474380091224e-20,1.0708382259323289e-26,0.0,0.46346346346346345,1.6722761508509416e-15,3.526506959461889e-13,3.5265070955694336e-13,3.2815650591414426e-13,9.438829443698853e-16,7.283779268898235e-16,8.294223500808331e-23,1.9212629283222743e-30,4.0596851725820416e-35,4.059920022510444e-43,1.5815996174465604e-31,1.282616747122673e-32,1.665948479545819e-41,1.819655769624003e-21,5.7668557726014045e-22,1.3343156422534212e-29,2.8194482843130054e-34,9.158264474283358e-26,4.38191702846416e-35,2.3341459192046454e-73,9.507438669872425e-81,9.76183207271179e-53,2.3945257760306353e-80,2.380289810205621e-87,2.2560896067094354e-88,1.3400260771652058e-91,1.2701048281376578e-92
5.836487727280839e-17,0.13078664456013564,0.46346346346346345,0.0,0.0,0.0,0.07307307307203605,8.784491969452831e-42,1.2799787412675266e-19,6.36059038154753e-24,1.0505264181041373e-24,3.2039342831078517e-21,2.3789408614712738e-30,8.901486913022807e-20,4.2847490402657625e-26,0.0,0.46346346346346345,3.345285520221129e-15,7.054545021648982e-13,7.054545566256436e-13,6.564554532455641e-13,1.8881756759084706e-15,1.4570719440339709e-15,3.3187693382903357e-22,1.5352637600894285e-29,6.4886085093493676e-34,1.2953836651530146e-41,1.2657321300274377e-30,1.0264556516653024e-31,2.6665142082666514e-40,7.280992502607037e-21,2.3074933744004138e-21,1.0662395997325896e-28,4.50633410225999e-33,3.6642015497040894e-25,3.5068653562290702e-34,2.9906081727467677e-71,2.432809358047403e-78,3.1250194458413534e-51,3.06788855308163e-78,6.09025052048812e-85,5.775326160240428e-86,6.857250069448714e-89,6.502658206568728e-90
1.1674242328390043e-16,0.1307866445602713,0.46346346346346345,0.0,0.0,0.0,0.07307307307099879,1.4058046972930893e-40,5.120747939592044e-19,2.544650397035456e-23,4.202789254211074e-24,1.2817824361712152e-20,1.9035139034513098e-29,3.561173933958377e-19,1.7141796662347155e-25,0.0,0.46346346346346345,6.69132553075097e-15,1.41106206543186e-12,1.4110622833102934e-12,1.3130531994759734e-12,3.776760952542885e-15,2.9144594283926858e-15,1.3277234930751893e-21,1.2247311342394945e-28,1.0353510455190418e-32,4.118542894400908e-40,1.0127328163865892e-29,8.212763821102671e-31,4.26700830353816e-39,2.9128704808671714e-20,9.231475229701096e-21,8.505750474026588e-28,7.190507082402272e-32,1.4656815062697861e-24,2.8060250676100845e-33,3.8295870880485535e-69,6.212932209901152e-76,1.0001648583063259e-49,3.9290744045304513e-76,1.5552590355193586e-82,1.4763736102703113e-83,3.502266573714389e-86,3.3246188029313555e-87
2.3349751530608454e-16,0.1307866445605426,0.46346346346346345,0.0,0.0,0.0,0.07307307306892429,2.2495162908344503e-39,2.048465484016147e-18,1.0179430541898904e-22,1.681252139783435e-23,5.1275477918036566e-20,1.5229553478420091e-28,1.4245851387829202e-18,6.857285065848659e-25,0.0,0.46346346346346345,1.3383490638975289e-14,2.8222769952839827e-12,2.8222778668685597e-12,2.6262480982073406e-12,7.55393076004092e-15,5.829232197393581e-15,5.311323437472683e-21,9.739882054177935e-28,1.6470924775890976e-31,1.3006955558849683e-38,8.10190869424642e-29,6.570129653796115e-30,6.827003863722458e-38,1.1652425170425627e-19,3.6928899722280075e-20,6.764344506615895e-27,1.1439051841008385e-30,5.861302190353666e-24,2.2450331508347017e-32,4.9022630810584004e-67,1.58165825330578e-73,3.200533582995313e-48,5.03225146976987e-74,3.959314217430803e-80,3.7668663790895017e-81,1.7831959955585804e-83,1.6965139412150056e-84
4.670076993504527e-16,0.13078664456108524,0.46346346346346345,0.0,0.0,0.0,0.07307307306477527,3.599408973505409e-38,8.194192175523383e-18,4.071938338154715e-22,6.725279141050092e-23,2.0511031862333755e-19,1.218421529676043e-27,5.6985694793384596e-18,2.743032313258875e-24,0.0,0.46346346346346345,2.676816120413659e-14,5.644706068261246e-12,5.644709554740716e-12,5.252635520754429e-12,1.5108267391955687e-14,1.1658768936543516e-14,2.124613612142846e-20,7.699661570960791e-27,2.6051635282967093e-30,4.0544705034958245e-37,6.4806779098487775e-28,5.255225787979576e-29,1.0920871133571822e-36,4.66115570014037e-19,1.47721558124758e-19,5.34741559269834e-26,1.8092864813565972e-29,2.3430968065734297e-23,1.7961117023150671e-31,1.0980484719851853e-64,6.994733352785718e-71,1.0240131649495191e-46,9.299541993586211e-72,1.5029974173569776e-77,1.3796754401158238e-78,1.3529641859283098e-80,1.242012201262581e-81
9.34028067439189e-16,0.1307866445621705,0.46346346346346345,0.0,0.0,0.0,0.07307307305647726,5.75920030459104e-37,3.2777410082741307e-17,1.6288088199261392e-21,2.690163930560573e-22,8.20458454193347e-19,9.747594181702055e-27,2.279471805846672e-17,1.0972405757698517e-23,0.0,0.46346346346346345,5.353886372974294e-14,1.1289561067309602e-11,1.1289575013505558e-11,1.0505400866203275e-11,3.021692872347501e-14,2.3317807219550225e-14,8.4986097453654e-20,6.016691922375025e-26,4.074569514263054e-29,1.2322661664292276e-35,5.182815508296201e-27,4.202479627362726e-28,1.7464602040222616e-35,1.8644969877912503e-18,5.908978488245033e-19,4.178598449984816e-25,2.829793118835865e-28,9.360443914782845e-23,1.4369233396432396e-30,1.40907474440806e-62,1.7588667905263913e-68,3.275576006327888e-45,1.2015642324510373e-69,3.772037027338806e-75,3.5143096829789556e-76,6.795583376296954e-78,6.331085116319023e-79
1.8680688036166616e-15,0.1307866445643411,0.46346346346346345,0.0,0.0,0.0,0.07307307303988121,9.214836080093539e-36,1.3111077022348743e-16,6.515304327981763e-21,1.0760745525809485e-21,3.281871097403027e-18,7.798152816361125e-26,9.117961080037812e-17,4.3890493941449367e-23,0.0,0.46346346346346345,1.0708571436555519e-13,2.2579258477795645e-11,2.2579314263101737e-11,2.101089355865771e-11,6.043420365739261e-14,4.663574300530509e-14,3.399464547283177e-19,4.599132864258693e-25,6.23834623543071e-28,3.570484272357761e-34,4.143344833231718e-26,3.3591524467180774e-27,2.791425281086789e-34,7.458038012719974e-18,2.363612302267874e-18,3.194110590071501e-24,4.3325504887372014e-27,3.734543464268697e-22,1.1495521179363377e-29,1.8006364794394443e-60,4.307152540414433e-66,1.0473337226631834e-43,1.5784814762990267e-67,9.2833973237511e-73,8.956524705894506e-74,3.345071243825658e-75,3.227064871178869e-76
3.7361502759716066e-15,0.1307866445686822,0.46346346346346345,0.0,0.0,0.0,0.07307307300668912,1.4743826807289964e-34,5.244441176534903e-16,2.6061372035885013e-20,4.304304374661599e-21,1.3127582269916642e-17,6.23853514912945e-25,3.6471878655875455e-16,1.7556623670228924e-22,0.0,0.46346346346346345,2.1420119800329427e-13,4.515860294843734e-11,4.515882609043485e-11,4.202172695089801e-11,1.208685626097025e-13,9.327105146309318e-14,1.3597818026806637e-18,3.377400254756956e-24,9.187726072295592e-27,9.49518422410718e-33,3.3099744415041956e-25,2.682776214246897e-26,4.456937014085774e-33,2.9832097339272864e-17,9.454473681731407e-18,2.3456261254034753e-23,6.380938683639584e-26,1.4861429072896756e-21,9.1964686276888e-29,2.2970503448476983e-58,1.0140061386871066e-63,3.345971553798018e-42,2.208095659019401e-65,2.2259052259894843e-70,2.3637486911265577e-71,1.604199670226025e-72,1.703217987501897e-73
5.604231748326552e-15,0.13078664457302336,0.46346346346346345,0.0,0.0,0.0,0.07307307297349704,5.426714281024255e-34,1.1144430220826088e-15,5.538053102508741e-20,9.146637408089249e-21,2.789619968112804e-17,1.7838299006551986e-24,7.750263605388625e-16,3.730837247231204e-22,0.0,0.46346346346346345,3.213384640348637e-13,6.77378970688609e-11,6.773837124578359e-11,6.303240835157423e-11,1.8130273064744588e-13,1.3990579681447228e-13,2.8895248218888055e-18,9.206804573297063e-24,3.253291721644919e-26,4.0260449712596795e-32,9.456730171277852e-25,7.66362238022031e-26,1.638799710056536e-32,6.339299846296817e-17,2.0090753509974466e-17,6.394204678794457e-23,2.259439460513421e-25,3.1468423133547977e-21,2.6296188199207595e-28,1.184833137960863e-57,6.069106922123838e-63,1.5266300578281568e-41,1.2547279997775674e-64,1.3461585426567066e-69,1.5483808858531863e-70,1.1285672237840458e-71,1.2839061032811127e-72
