Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55)
1.0553472510427817e-17,0.13078664456002453,0.46346346346346345,0.0,0.0,0.0,0.07307307307288555,0.0,4.186315349023297e-21,2.080302863658417e-25,3.43586559593862e-26,1.0478827864905344e-22,1.407560682327971e-32,2.9113203597783648e-21,1.4013746859507466e-27,0.0,0.46346346346346345,6.048886512051934e-16,1.2755950721478116e-13,1.2755950892050044e-13,1.1869956338312927e-13,3.414178542952692e-16,2.6346619171192753e-16,1.0854412343674883e-23
2.1116113980465044e-17,0.13078664456004907,0.46346346346346345,0.0,0.0,0.0,0.07307307307269786,0.0,1.6756170976109154e-20,8.326632920253035e-25,1.375241621261021e-25,4.194261918387514e-22,1.1269043801920975e-31,1.1652868305976158e-20,5.609150759906426e-27,0.0,0.46346346346346345,1.2103036149968387e-15,2.5522983737398195e-13,2.5522984420130434e-13,2.375022481022489e-13,6.831323276097306e-16,5.271612638033369e-16,4.3445935262970856e-23
4.224139692053949e-17,0.13078664456009817,0.46346346346346345,0.0,0.0,0.0,0.07307307307232251,0.0,6.704650764600766e-20,3.331737794190591e-24,5.502757583889812e-25,1.6782510241031014e-21,9.018659568680517e-31,4.662664976343373e-20,2.244390872282441e-26,0.0,0.46346346346346345,2.421135881916524e-15,5.105704916997187e-13,5.105705190179008e-13,4.751075995335644e-13,1.3665612498235255e-15,1.0545513431232698e-15,1.7384031978584643e-22
8.44919628006884e-17,0.1307866445601963,0.46346346346346345,0.0,0.0,0.0,0.0730730730715718,0.0,2.6822967119023174e-19,1.3329120929568815e-23,2.2014611625238696e-24,6.714096338425573e-21,7.21629732003129e-30,1.8653694430735067e-19,8.979024489415337e-26,0.0,0.46346346346346345,4.8428097731013344e-15,1.0212517763805339e-12,1.0212518856710471e-12,9.503182303685101e-13,2.7334189965906133e-15,2.109331242311663e-15,6.954743794066448e-22
1.6899309456098618e-16,0.1307866445603927,0.46346346346346345,0.0,0.0,0.0,0.0730730730700704,0.0,1.0730058674285726e-18,5.332082506581316e-23,8.806559824361211e-24,2.6858566576278157e-20,5.773585078932298e-29,7.4620837486124915e-19,3.5919017410252116e-25,0.0,0.46346346346346345,9.686194984851583e-15,2.0426142498595404e-12,2.042614687057143e-12,1.9007392039277494e-12,5.467134099482869e-15,4.218890002883107e-15,2.7821231476520026e-21
3.379953580815818e-16,0.13078664456078543,0.46346346346346345,0.0,0.0,0.0,0.07307307306706756,0.0,4.292197003162725e-18,2.1329199553062874e-22,3.522766061935955e-23,1.0743860156908877e-19,4.619085841326792e-28,2.9849539214341778e-18,1.4368188670520982e-24,0.0,0.46346346346346345,1.9373115125865532e-14,4.08533881328713e-12,4.085340562148461e-12,3.801579998604316e-12,1.0934562742700363e-14,8.438003372809037e-15,1.1128939173790703e-20
6.759998851227729e-16,0.13078664456157088,0.46346346346346345,0.0,0.0,0.0,0.0730730730610619,0.0,1.7169128380930806e-17,8.531854710725162e-22,1.4091341255115868e-22,4.2976285826556143e-19,3.695353990368988e-27,1.1940050313254176e-17,5.747390047644219e-24,0.0,0.46346346346346345,3.874755427787492e-14,8.170786406021196e-12,8.170793401606903e-12,7.603256978195394e-12,2.186941377887269e-14,1.6876213507828362e-14,4.451661233379341e-20
1.3520089392051554e-15,0.13078664456314185,0.46346346346346345,0.0,0.0,0.0,0.07307307304905056,0.0,6.867714062793245e-17,3.412777647348049e-21,5.636586094353206e-22,1.7190665876450461e-18,2.9563144456016895e-26,4.776062074620586e-17,2.2989775240118454e-23,0.0,0.46346346346346345,7.749882806124083e-14,1.634167545500946e-11,1.634170343762146e-11,1.5206592498374095e-11,4.3739090850209657e-14,3.375256735881915e-14,1.7806786027888383e-19
2.70402704736992e-15,0.13078664456628372,0.46346346346346345,0.0,0.0,0.0,0.07307307302502788,0.0,2.74709387619645e-16,1.365118839459442e-20,2.254639708533385e-21,6.876282663554347e-18,2.365059459381968e-25,1.9104292384797513e-16,9.195941817077713e-23,0.0,0.46346346346346345,1.5501095754073071e-13,3.26834290071034e-11,3.268354093799684e-11,3.0413189783075595e-11,8.747834498919716e-14,6.75050093868677e-14,7.122718602407473e-19
4.0560451555346846e-15,0.1307866445694256,0.46346346346346345,0.0,0.0,0.0,0.07307307300100521,0.0,5.837574816426444e-16,2.9008831041931394e-20,4.791107457627659e-21,1.4612095109884506e-17,6.762592127465347e-25,4.0596604082592804e-16,1.9541383486810145e-22,0.0,0.46346346346346345,2.3253266892834834e-13,4.9025158013351613e-11,4.902539586667403e-11,4.5619713312479195e-11,1.3121749912484242e-13,1.0125718574324162e-13,1.513575261863508e-18
5.408063263699449e-15,0.13078664457256747,0.46346346346346345,0.0,0.0,0.0,0.07307307297698254,0.0,9.958210472322244e-16,4.948571109474103e-20,8.173057801406234e-21,2.4926491679965156e-17,1.4264258126090212e-24,6.925296233220806e-16,3.33352926553452e-22,0.0,0.46346346346346345,3.100639622194633e-13,6.536686247379097e-11,6.53672682236086e-11,6.082616308694283e-11,1.7495655325748968e-13,1.350090964301993e-13,2.5819759627542524e-18
8.112099480028978e-15,0.1307866445788513,0.46346346346346345,0.0,0.0,0.0,0.07307307292893721,0.0,2.061718018408388e-15,1.0245402508366325e-19,1.692124183201051e-20,5.1607025896655397e-17,3.896005886562808e-24,1.43379149412062e-15,6.901642244006354e-22,0.0,0.46346346346346345,4.651490369281906e-13,9.805021378727343e-11,9.80510538403929e-11,9.123888953865206e-11,2.624344268229383e-13,2.025122943012657e-13,5.3456318513832216e-18
1.0816135696358507e-14,0.1307866445851352,0.46346346346346345,0.0,0.0,0.0,0.07307307288089188,0.0,3.5064365007228676e-15,1.7424764663243346e-19,2.8778533297228703e-20,8.776983187298e-17,8.151735369934387e-24,2.4384980138814083e-15,1.173787150820147e-21,0.0,0.46346346346346345,6.202693476750661e-13,1.3073347483736848e-10,1.3073490354672636e-10,1.216513447701155e-10,3.499119326445558e-13,2.700145152298959e-13,9.091482307011214e-18
1.3520171912688037e-14,0.13078664459141912,0.46346346346346345,0.0,0.0,0.0,0.07307307283284654,0.0,5.357032663915218e-15,2.66211277373252e-19,4.396698420155134e-20,1.3409213287726036e-16,1.4839897848821567e-23,3.725464329088098e-15,1.793279019038351e-21,0.0,0.46346346346346345,7.754274112890078e-13,1.6341663917693762e-10,1.6341882192013684e-10,1.5206350941085114e-10,4.3738904445722647e-13,3.375156894495824e-13,1.3889670032095102e-17
1.8928244345347097e-14,0.1307866446039872,0.46346346346346345,0.0,0.0,0.0,0.07307307273675588,0.0,1.03013359024968e-14,5.1191577857635e-19,8.454642471540738e-20,2.578528256638401e-16,3.9181509165941197e-23,7.163890486151714e-15,3.448399603755561e-21,0.0,0.46346346346346345,1.0858591683240568e-12,2.2878267165137494e-10,2.2878686897944248e-10,2.1288694868313295e-10,6.123420613219676e-13,4.725148321162474e-13,2.6709063771810743e-17
2.9744389210665216e-14,0.13078664462912393,0.46346346346346345,0.0,0.0,0.0,0.07307307254457454,0.0,2.5131876952518603e-14,1.248923813751501e-18,2.0626481298155512e-19,6.290741711153907e-16,1.5150683567089597e-22,1.747747751495027e-14,8.412982071089892e-21,0.0,0.46346346346346345,1.7071823716025806e-12,3.595135590374653e-10,3.595237991913235e-10,3.3453028905704055e-10,9.622432976207622e-13,7.425003733697741e-13,6.516053177648436e-17
4.056053407598333e-14,0.13078664465426157,0.46346346346346345,0.0,0.0,0.0,0.0730730723523932,0.0,4.655719765727803e-14,2.3136807083681465e-18,3.8210761754284524e-19,1.1653663053194527e-15,3.7599844600335774e-22,3.2377195036522824e-14,1.5585214770958105e-20,0.0,0.46346346346346345,2.329119019179546e-12,4.90242875002846e-10,4.902618451371137e-10,4.561689079396214e-10,1.3121381319664422e-12,1.0124689086999286e-12,1.2070952417493768e-16
6.219282380661957e-14,0.13078664470453946,0.46346346346346345,0.0,0.0,0.0,0.07307307196803052,0.0,1.09185227651272e-13,5.426159248759775e-18,8.961068701707855e-19,2.7329814722162824e-15,1.3655973091398193e-21,7.592995852967143e-14,3.65503749936001e-20,0.0,0.46346346346346345,3.574832080433093e-12,7.516967941892024e-10,7.517412831047346e-10,6.994319864414917e-10,2.0119086014923353e-12,1.5523549829076326e-12,2.8307909233731058e-16
1.0545740326789205e-13,0.13078664480510596,0.46346346346346345,0.0,0.0,0.0,0.07307307119930517,0.0,3.1354314723465943e-13,1.5583002895956064e-17,2.5732802789146396e-18,7.848094472804681e-15,6.823752914634155e-21,2.1804196809488679e-13,1.0496135536287707e-19,0.0,0.46346346346346345,6.0736170655532545e-12,1.2745857825254542e-09,1.2747135423659296e-09,1.1859015134134713e-09,3.4113727510088855e-12,2.631923187235605e-12,8.128654673130371e-16
1.91986562190437e-13,0.13078664500628143,0.46346346346346345,0.0,0.0,0.0,0.07307306966185449,0.0,1.0386093459259923e-12,5.1624713496421066e-17,8.52372475632712e-18,2.5996031863393854e-14,4.229658915005482e-20,7.222402609361217e-13,3.4769053770721356e-19,0.0,0.4634634634634634,1.1100621331178094e-11,2.3202883654410346e-09,2.3207115871502505e-09,2.158614100319207e-09,6.2099939445428425e-12,4.790244143536692e-12,2.6923244926551073e-15
2.7851572111298194e-13,0.1307866452075136,0.46346346346346345,0.0,0.0,0.0,0.07307306812440383,0.0,2.185408739418729e-12,1.0863808976591715e-16,1.793490688387519e-17,5.4698725440342055e-14,1.2435673591131167e-19,1.5196752295322101e-12,7.316116251217543e-19,0.0,0.46346346346346334,1.6166870470893402e-11,3.365890429997016e-09,3.3667809923018165e-09,3.1310247952500672e-09,9.008205725800273e-12,6.9474782335297015e-12,5.664589555203736e-15
3.6504488003552687e-13,0.13078664540880242,0.46346346346346345,0.0,0.0,0.0,0.07307306658695317,0.0,3.753847001174238e-12,1.8662446900999452e-16,3.080580984774816e-17,9.395310412296571e-14,2.723502732042548e-19,2.610259529332474e-12,1.2566997481455162e-18,0.0,0.4634634634634633,2.1272363264162554e-11,4.411391985559709e-09,4.4129217466137205e-09,4.103133687960692e-09,1.1806008181335494e-11,9.10362602174566e-12,9.729135017863313e-15
4.515740389580718e-13,0.13078664561014786,0.46346346346346345,0.0,0.0,0.0,0.07307306504950256,0.0,5.743827151660612e-12,2.855852585075646e-16,4.713538697903041e-17,1.4375600670761155e-13,5.062704295658994e-19,3.993903244549341e-12,1.9229293729950073e-18,0.0,0.46346346346346323,2.6417098496734966e-11,5.456793041690493e-09,5.4591338385873435e-09,5.074940870847345e-09,1.460340140012336e-11,1.1258688090193227e-11,1.4885419079814067e-14
6.246323568031617e-13,0.13078664601300866,0.46346346346346345,0.0,0.0,0.0,0.07307306197460137,0.0,1.098805443160908e-11,5.46435322439236e-16,9.016669084049179e-17,2.7499568618124007e-13,1.305990242588144e-18,7.640036194872993e-12,3.678718738985791e-18,0.0,0.463463463463463,3.682429185075353e-11,7.547293690924642e-09,7.551771993018174e-09,7.0176504490535315e-09,2.0196960456572907e-11,1.5565557222289928e-11,2.847119755898887e-14
7.976906746482515e-13,0.13078664641609591,0.46346346346346345,0.0,0.0,0.0,0.07307305889970028,0.0,1.7917314836183028e-11,8.911996445051604e-16,1.4702044272221506e-16,4.483924659990264e-13,2.683767024620851e-18,1.2457354498137793e-11,5.998775579275213e-18,0.0,0.46346346346346284,4.738844095388929e-11,9.637392453988234e-09,9.644695363662611e-09,8.95915426930176e-09,2.5788883607014822e-11,1.986809028866883e-11,4.64175885502044e-14
9.707489924933415e-13,0.13078664681940946,0.46346346346346345,0.0,0.0,0.0,0.07307305582479927,0.0,2.653079228285577e-11,1.3198901939760313e-15,2.1768783148606242e-16,6.639197320949823e-13,4.808219379835262e-18,1.8445101134381708e-11,8.882885136677508e-18,0.0,0.46346346346346257,5.810953574907413e-11,1.1727089411138258e-08,1.1737903853786109e-08,1.0899453109497151e-08,3.137917160054171e-11,2.4166292189134893e-11,6.872003159242573e-14
1e-12,0.13078664762671527,0.46346346346346345,0.0,0.0,0.0,0.07307305530506722,0.0,2.8153014814823054e-11,1.400641635418559e-15,2.30996443819313e-16,7.045095104895163e-13,5.252776019888376e-18,1.9572755713439036e-11,9.426080402124846e-18,0.0,0.4634634634634625,5.993716297325257e-11,1.2080258638731085e-08,1.2091734468265101e-08,1.1227291168736517e-08,3.232390289054956e-11,2.4892363862707808e-11,7.29197262487607e-14
1.3168656281835212e-12,0.13078664762671527,0.46346346346346345,0.0,0.0,0.0,0.07307304967499745,0.0,4.88072269358041e-11,2.429096580647429e-15,4.0042928249767253e-16,1.2212622984828174e-12,1.1952569555961137e-17,3.3928937582322633e-11,1.6342427799204392e-17,0.0,0.46346346346346184,8.002252345532678e-11,1.5905278219712682e-08,1.592517581629679e-08,1.4776438872730413e-08,4.2554845029916315e-11,3.274972151807474e-11,1.263753680713175e-13
1.662982263873701e-12,0.13078664843492505,0.46346346346346345,0.0,0.0,0.0,0.07307304352519596,0.0,7.781104747047537e-11,3.874147182588826e-15,6.383229180966346e-16,1.946817583494201e-12,2.404310017293078e-17,5.4085691717234445e-11,2.6055685780072072e-17,0.0,0.46346346346346096,1.0256317738860749e-10,2.008186073779026e-08,2.0113587131795876e-08,1.8648613754115927e-08,5.3723986542585016e-11,4.131588305839519e-11,2.0140198444907267e-13
