Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112)
1.3311226244641039e-17,0.13078664456003092,0.46346346346346345,0.0,0.0,0.0,0.07307307307283654,2.3800383410796204e-44,6.6600471068572275e-21,3.3095727418591333e-25,5.466149786647832e-26,1.6670863148447475e-22,2.824469727644714e-32,4.631664709025063e-21,2.2294600661193904e-27,0.0,0.46346346346346345,7.629538317923186e-16,1.6089239383493833e-13,1.60892396668666e-13,1.4971723547372268e-13,4.3063458817539364e-16,3.323131817215196e-16,1.726838284790158e-23,1.8270626813162283e-31,1.7619893288802315e-36,8.050802787174054e-45,1.5028305026082372e-32,1.2187410154862682e-33,7.224925960131435e-43,3.7884814759445958e-22,1.2006460714796348e-22,1.2688935866110825e-30,1.2237001988146434e-35,1.9068135492781826e-26,4.163631960780333e-36,9.614194009091853e-76
2.6634017412170558e-17,0.1307866445600619,0.46346346346346345,0.0,0.0,0.0,0.07307307307259983,3.8111622983977464e-43,2.665754441995045e-20,1.3246916043285209e-24,2.1878843773873624e-25,6.672689924879766e-22,2.2612931182669494e-31,1.8538728754674892e-20,8.923651645940141e-27,0.0,0.46346346346346345,1.526572001864021e-15,3.219245691340979e-13,3.219245804763934e-13,2.9956453643513676e-13,8.616433029295601e-16,6.649150421959469e-16,6.911852996230357e-23,1.461747538513808e-30,2.819586676215684e-35,2.5744885104455567e-43,1.2031659327647872e-31,9.757219006395926e-33,1.1569120044350834e-41,1.516379822304614e-21,4.805713162427913e-22,1.0151825464259301e-29,1.958200800769298e-34,7.63194098294061e-26,3.333437226159157e-35,1.2330914888698083e-73
5.32795997472296e-17,0.13078664456012382,0.46346346346346345,0.0,0.0,0.0,0.07307307307212639,6.100341653656525e-42,1.0666489600863372e-19,5.300491972346935e-24,8.754386904631636e-25,2.6699452186353693e-21,1.8097216479402267e-30,7.41790584456321e-20,3.570624010716954e-26,0.0,0.46346346346346345,3.0538127736300394e-15,6.439889094885712e-13,6.439889548725259e-13,5.992591074345344e-13,1.7236606935956453e-15,1.3301186485760888e-15,2.7656411783461196e-22,1.1682232664436836e-29,4.507130187284846e-34,8.216712474406628e-42,9.628787986643342e-31,7.808549234425336e-32,1.8517566630152788e-40,6.067493866492815e-21,1.922911160191934e-21,8.113302240596777e-29,3.1301987361251454e-33,3.0535444383912037e-25,2.6677628662539086e-34,1.579895900247804e-71
1.0657076441734768e-16,0.13078664456024766,0.46346346346346345,0.0,0.0,0.0,0.07307307307117951,9.762532646268554e-41,4.267290021914259e-19,2.1205419877068714e-23,3.502324448200132e-24,1.0681520163107789e-20,1.4480521186095167e-29,2.967645011946714e-19,1.4284829036125876e-25,0.0,0.46346346346346345,6.108312043653176e-15,1.2881175492221362e-12,1.288117730787499e-12,1.1986481257396328e-12,3.447695319558847e-15,2.6605254030616898e-15,1.1064362946715735e-21,9.321755670748889e-29,7.193604887432253e-33,2.6139330305867033e-40,7.704179470041898e-30,6.2477195609519556e-31,2.963234401773264e-39,2.4273921588628778e-20,7.692896143287716e-21,6.473953610243645e-28,4.995954322108153e-32,1.221435769363594e-24,2.1346155966433727e-33,2.023132015175559e-69
2.1315309375758382e-16,0.13078664456049532,0.46346346346346345,0.0,0.0,0.0,0.07307307306928576,1.5621640991858064e-39,1.7070546278222981e-18,8.482858706326887e-23,1.4010435055775057e-23,4.272956382519994e-20,1.1585514350221197e-28,1.1871543359092836e-18,5.7144030095512435e-25,0.0,0.46346346346346345,1.2217381489668993e-14,2.576374664787762e-12,2.5763753911082565e-12,2.3974256675752488e-12,6.8957639500095554e-15,5.32133707893552e-15,4.426103267336105e-21,7.417149306189958e-28,1.1449749831650506e-31,8.264644099310714e-39,6.163426616137704e-29,4.998160435181899e-30,4.741084274448943e-38,9.710355040545625e-20,3.0774084044725294e-20,5.1512071764550595e-27,7.951847007094281e-31,4.88469447147592e-24,1.7078545889226208e-32,2.5898553858173907e-67
4.2631775243805613e-16,0.1307866445609907,0.46346346346346345,0.0,0.0,0.0,0.07307307306549825,2.499589591280452e-38,6.8284939420951075e-18,3.393281885588204e-22,5.604399730292935e-23,1.7092525666960488e-19,9.26884739672078e-28,4.748808328190137e-18,2.2858592926739014e-24,0.0,0.46346346346346345,2.4435804005619986e-14,5.152888240313164e-12,5.152891145712825e-12,4.7949787721497944e-12,1.3791898725009618e-14,1.064295309830456e-14,1.7705116644384256e-20,5.869491235389584e-27,1.8127758780042105e-30,2.582018621084794e-37,4.9301720402393755e-28,3.997935092827209e-29,7.584287944352168e-37,3.8842970022968312e-19,1.2310130589350252e-19,4.076361684503903e-26,1.2589729797162455e-29,1.9528012108469134e-23,1.3663484763551068e-31,5.801226170875691e-65
8.526470697990007e-16,0.1307866445619814,0.46346346346346345,0.0,0.0,0.0,0.07307307305792322,3.999444738411519e-37,2.73145121023041e-17,1.357340632971384e-21,2.24180363234257e-22,6.8371530773480405e-19,7.415247380710558e-27,1.8995601812061972e-17,9.14366373771022e-24,0.0,0.46346346346346345,4.887378353352889e-14,1.0305912768941903e-11,1.0305924390772686e-11,9.59007706492527e-12,2.7584158331415717e-14,2.1286155807615087e-14,7.082177336720765e-20,4.5956790985094796e-26,2.840704453379816e-29,7.881560356638871e-36,3.94294649557513e-27,3.197173054181474e-28,1.2129312608800172e-35,1.5537479582466097e-18,4.924149323501582e-19,3.1917029266611153e-25,1.9728719651213634e-28,7.802130204421509e-23,1.093104637021605e-30,7.445000867566432e-63
1.70530570452089e-15,0.13078664456396283,0.46346346346346345,0.0,0.0,0.0,0.07307307304277318,6.399191975319988e-36,1.0925900478664525e-16,5.429419870910902e-21,8.96729079320152e-22,2.734892015734384e-18,5.932257838091907e-26,7.598303644058956e-17,3.6575350121563735e-23,0.0,0.46346346346346345,9.775428057600989e-14,2.0611951336521784e-11,2.0611997824283428e-11,1.9180241985086796e-11,5.5168637769942985e-14,4.2572443909221254e-14,2.8328891342297146e-19,3.526064074754486e-25,4.364993785737132e-28,2.3021788347195962e-34,3.1523409415342896e-26,2.5557737155862398e-27,1.9388457519318175e-34,6.215035424658038e-18,1.9696773659962576e-18,2.448860215624655e-24,3.0315000409709186e-27,3.113521301589511e-22,8.744939504418878e-30,9.515274654832235e-61
3.4106229739646686e-15,0.13078664456792571,0.46346346346346345,0.0,0.0,0.0,0.07307307301247308,1.0238769368846926e-34,4.3703700151424547e-16,2.171780681063911e-20,3.5869225962366656e-21,1.0939647378374625e-17,4.745817679746463e-25,3.03932541654158e-16,1.4630471035896344e-22,0.0,0.46346346346346345,1.9553342662870922e-13,4.122398651305659e-11,4.1224172464773715e-11,3.836044516469233e-11,1.1033743755058716e-13,8.514455084993706e-14,1.1331530745727446e-18,2.6066284812958276e-24,6.470108468316802e-27,6.209222716158909e-33,2.5186079978272202e-25,2.0414593896001158e-26,3.096225467800963e-33,2.4860111095087853e-17,7.878731391749903e-18,1.8103185390190097e-23,4.493530387454156e-26,1.2395635490340855e-21,6.995991083825917e-29,1.2142088918279128e-58
5.115940243408447e-15,0.13078664457188863,0.46346346346346345,0.0,0.0,0.0,0.07307307298217298,3.768551917532961e-34,9.287031955090852e-16,4.6150433312841095e-20,7.622204368734186e-21,2.3246820179350372e-17,1.3570065594175246e-24,6.458559281426482e-16,3.1090172000509447e-22,0.0,0.46346346346346345,2.9333072467023013e-13,6.183597973105184e-11,6.183637487863761e-11,5.7540521684420534e-11,1.6550607823555044e-13,1.2771618853371915e-13,2.407941794851947e-18,7.131300219946388e-24,2.2977051296279282e-26,2.6473904593290116e-32,7.1962763528785205e-25,5.83212270543936e-26,1.1385697955249403e-32,5.282758444008844e-17,1.6742303729857635e-17,4.9527432160038004e-23,1.5957743565953058e-25,2.6255289723218195e-21,2.0004189407999406e-28,6.263134229000929e-58
