Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32)
1.3119687823621295e-17,0.1307866445600305,0.46346346346346345,0.0,0.0,0.0,0.07307307307283996,2.2459790386864367e-44,6.469760048725312e-21,3.215013520382565e-25,5.309974080448682e-26,1.6194552768825828e-22,2.704289821752135e-32,4.499331433537731e-21,2.1657612027548173e-27,0.0,0.46346346346346345,7.519754960011182e-16,1.5857727468806434e-13,1.5857727744082837e-13,1.4756291840455538e-13,4.2443808408785493e-16,3.275314480674512e-16,1.677500049525356e-23,1.7493394432910125e-31,1.6627586362913623e-36,7.488173881857944e-45,1.4388859566080418e-32,1.1668843433336268e-33,6.817972429780479e-43,3.680239150673488e-22,1.1663418983491768e-22,1.2149148586519048e-30,1.1547845604310799e-35,1.8523341485862043e-26,3.986471307807865e-36
2.6250774159687094e-17,0.130786644560061,0.46346346346346345,0.0,0.0,0.0,0.07307307307260665,3.596492748797423e-43,2.5895900310190747e-20,1.286843272551633e-24,2.125373396770134e-25,6.482041638148058e-22,2.1650761225376854e-31,1.800905080557431e-20,8.668690135657458e-27,0.0,0.46346346346346345,1.5046057500090498e-15,3.172923195398255e-13,3.1729233055805543e-13,2.952540308995506e-13,8.492449115412008e-16,6.553474215617391e-16,6.714371493606254e-23,1.3995787504761353e-30,2.6608204873704257e-35,2.3946234251663563e-43,1.1519721051975952e-31,9.342057054030527e-33,1.0917476399056797e-41,1.4730546866164901e-21,4.668407074796084e-22,9.72006369696368e-30,1.8479378013116828e-34,7.413893423183426e-26,3.191600983023486e-35
5.251294683181869e-17,0.13078664456012204,0.46346346346346345,0.0,0.0,0.0,0.07307307307214002,5.756730573614949e-42,1.0361732768349121e-19,5.14904934276775e-24,8.504261577254846e-25,2.5936610669996536e-21,1.732718814669838e-30,7.205965689835309e-20,3.468606154085558e-26,0.0,0.46346346346346345,3.0098705630297363e-15,6.347223992921833e-13,6.347224433794536e-13,5.906362258496371e-13,1.6988585287154235e-15,1.3109792572549932e-15,2.686622868207016e-22,1.1185604470172924e-29,4.2534231284386725e-34,7.642991708270506e-42,9.219092825474273e-31,7.476304276078522e-32,1.747455154805339e-40,5.894136915621157e-21,1.867970843505666e-21,7.768394297933811e-29,2.9539993558778778e-33,2.966306630631744e-25,2.5542507656203003e-34
1.0503729217608188e-16,0.13078664456024408,0.46346346346346345,0.0,0.0,0.0,0.07307307307120676,9.212643055052015e-41,4.145367460441335e-19,2.0599550723338404e-23,3.402258045600781e-24,1.0376333852476048e-20,1.386438161567872e-29,2.8828551642720756e-19,1.3876690841661367e-25,0.0,0.46346346346346345,6.020417409091016e-15,1.2695825189922427e-12,1.269582695370024e-12,1.181400495590218e-12,3.3980856121340135e-15,2.622242483460376e-15,1.0748238364976664e-21,8.925828377561258e-29,6.788936088165201e-33,2.431630841301056e-40,7.376378772725021e-30,5.981890361178508e-31,2.7963305529230346e-39,2.3580381105775598e-20,7.473099127987674e-21,6.1989823210196115e-28,4.7149120595841496e-32,1.1865426593391703e-24,2.0437886709628142e-33
2.1008598286460827e-16,0.1307866445604882,0.46346346346346345,0.0,0.0,0.0,0.07307307306934026,1.4741728161008444e-39,1.658281646922162e-18,8.240491303208057e-23,1.3610136992982964e-23,4.150871898242889e-20,1.1092556035175463e-28,1.1532356484459739e-18,5.551134174625238e-25,0.0,0.46346346346346345,1.204157998129813e-14,2.5393025991737566e-12,2.5393033047422383e-12,2.36292855443321e-12,6.796539175251941e-15,5.244767155147944e-15,4.2996432329830864e-21,7.102675830146474e-28,1.0806478434083391e-31,7.689576828638103e-39,5.901189442512571e-29,4.785504465893827e-30,4.474051006400254e-38,9.432916432283407e-20,2.9894824638753527e-20,4.932805433317898e-27,7.505095191127075e-31,4.745172192467265e-24,1.635186151097054e-32
4.2018336424166105e-16,0.13078664456097644,0.46346346346346345,0.0,0.0,0.0,0.07307307306560724,2.3587963843894064e-38,6.633394182910985e-18,3.29633096536337e-22,5.44427408904307e-23,1.660416766115007e-19,8.874462252980492e-28,4.6131281530318465e-18,2.220548885329187e-24,0.0,0.46346346346346345,2.4084180646090023e-14,5.078742122662524e-12,5.078744945050781e-12,4.725982749568081e-12,1.3593443886612152e-14,1.0489809375640686e-14,1.719925663910954e-20,5.621506365750924e-27,1.711186755867852e-30,2.403173872716417e-37,4.720417585659562e-28,3.827846331963135e-29,7.157141067252407e-37,3.7733171736950216e-19,1.195841268184037e-19,3.9041361252166444e-26,1.1884193051171624e-29,1.8970391927665045e-23,1.3082109694351164e-31
8.403781269957666e-16,0.13078664456195288,0.46346346346346345,0.0,0.0,0.0,0.07307307305814122,3.774169900439042e-37,2.65340980126847e-17,1.3185594646627549e-21,2.1777521522550193e-22,6.641805742931564e-19,7.099732145286359e-27,1.8452870834048387e-17,8.88241507039878e-24,0.0,0.46346346346346345,4.817048405749986e-14,1.0157618622144304e-11,1.0157629911922901e-11,9.452083449645943e-12,2.7187243649840916e-14,2.0979865325179826e-14,6.879829786391613e-20,4.402835864065346e-26,2.682289688384464e-29,7.340453966606493e-36,3.775211298216381e-27,3.0611692218002585e-28,1.1446269420307722e-35,1.5093552280406617e-18,4.783459428451946e-19,3.0577730370160787e-25,1.8628526908538394e-28,7.579470056742068e-23,1.046593532510175e-30
1.6807676525039778e-15,0.13078664456390582,0.46346346346346345,0.0,0.0,0.0,0.07307307304320917,6.038747718422644e-36,1.0613732327063541e-16,5.274293529951563e-21,8.711082902948604e-22,2.6567521610373233e-18,5.679843243857283e-26,7.381209656096882e-17,3.5530331106930077e-23,0.0,0.46346346346346345,9.634749921014725e-14,2.0315361431135044e-11,2.031540659067589e-11,1.8904254089134715e-11,5.437480453841912e-14,4.1959863259138496e-14,2.75194973966787e-19,3.3800190773194053e-25,4.123836569736476e-28,2.1467525113198882e-34,3.0182668156483895e-26,2.4470815600927232e-27,1.8296879614679367e-34,6.037463532766377e-18,1.9134009356313464e-18,2.3474314435531927e-24,2.8640154916380623e-27,3.024768938093657e-22,8.372846328289924e-30
3.3615467035204e-15,0.1307866445678117,0.46346346346346345,0.0,0.0,0.0,0.07307307301334508,9.662055087311229e-35,4.245502647226845e-16,2.1097297573153187e-20,3.484439427986168e-21,1.062708536357986e-17,4.543885749695412e-25,2.9524878689917216e-16,1.4212450439336164e-22,0.0,0.46346346346346345,1.9271916285494034e-13,4.063080628930703e-11,4.0630986928125663e-11,3.78084723262489e-11,1.0874977176475651e-13,8.391940327190372e-14,1.100777503220421e-18,2.501196999960286e-24,6.118641262990759e-27,5.802508684011913e-33,2.411532627625883e-25,1.9546832489304893e-26,2.9219867673849424e-33,2.4149826597146523e-17,7.65362527082483e-18,1.7370955276821483e-23,4.249433629653406e-26,1.2043103310288894e-21,6.698314886920746e-29
5.042325754536822e-15,0.13078664457171754,0.46346346346346345,0.0,0.0,0.0,0.07307307298348098,3.5562824953145294e-34,9.021689176582254e-16,4.4831848155363507e-20,7.404428057191617e-21,2.2582623428999726e-17,1.2992667151533531e-24,6.27402993551298e-16,3.020186107563991e-22,0.0,0.46346346346346345,2.891084598594188e-13,6.094621038775128e-11,6.094659424542807e-11,5.671256752230418e-11,1.6312458444097327e-13,1.258784874348429e-13,2.3391441102459822e-18,6.84662717209377e-24,2.1738605992389023e-26,2.4760809110289855e-32,6.890409868523604e-25,5.584287557187933e-26,1.0745113687144826e-32,5.131823743866887e-17,1.626395354457171e-17,4.7550347269169106e-23,1.5097630830595439e-25,2.5509772758164287e-21,1.915302040065897e-28
